date,date,ticker,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
12/11/14,12/11/14,ADBE,0.36,0.299,0.310909091,2014,4,1
9/16/14,9/16/14,ADBE,0.28,0.259,0.281481481,2014,3,1
6/17/14,6/17/14,ADBE,0.37,0.294,0.310555556,2014,2,1
3/18/14,3/18/14,ADBE,0.3,0.253,0.258421053,2014,1,1
12/12/13,12/12/13,ADBE,0.32,0.318,0.318571429,2013,4,1
9/17/13,9/17/13,ADBE,0.32,0.336,0.353333333,2013,3,0
6/18/13,6/18/13,ADBE,0.36,0.332,0.357222222,2013,2,1
3/19/13,3/19/13,ADBE,0.35,0.31,0.331538462,2013,1,1
12/13/12,12/13/12,ADBE,0.61,0.57,0.595714286,2012,4,1
9/19/12,9/19/12,ADBE,0.58,0.58,0.586428571,2012,3,0
6/19/12,6/19/12,ADBE,0.6,0.59,0.561818182,2012,2,1
3/19/12,3/19/12,ADBE,0.57,0.57,0.61,2012,1,0
12/15/11,12/15/11,ADBE,0.67,0.6,0.62,2011,4,1
9/20/11,9/20/11,ADBE,0.55,0.54,None,2011,3,1
5/1/11,5/1/11,ADBE,0.55,0.51,None,2011,2,1
2/1/11,2/1/11,ADBE,0.58,0.57,None,2011,1,1
11/1/10,11/1/10,ADBE,0.56,0.52,None,2010,4,1
8/1/10,8/1/10,ADBE,0.54,0.49,None,2010,3,1
5/1/10,5/1/10,ADBE,0.44,0.42,None,2010,2,1
2/1/10,2/1/10,ADBE,0.4,0.37,None,2010,1,1
11/1/09,11/1/09,ADBE,0.39,0.37,None,2009,4,1
8/1/09,8/1/09,ADBE,0.35,0.34,None,2009,3,1
5/1/09,5/1/09,ADBE,0.35,0.35,None,2009,2,0
2/1/09,2/1/09,ADBE,0.45,0.44,None,2009,1,1
11/1/08,11/1/08,ADBE,0.6,0.59,None,2008,4,1
8/1/08,8/1/08,ADBE,0.5,0.46,None,2008,3,1
5/1/08,5/1/08,ADBE,0.5,0.46,None,2008,2,1
2/1/08,2/1/08,ADBE,0.48,0.45,None,2008,1,1
11/1/07,11/1/07,ADBE,0.49,0.48,None,2007,4,1
8/1/07,8/1/07,ADBE,0.45,0.41,None,2007,3,1
5/1/07,5/1/07,ADBE,0.37,0.36,None,2007,2,1
2/1/07,2/1/07,ADBE,0.3,0.29,None,2007,1,1
11/1/06,11/1/06,ADBE,0.33,0.33,None,2006,4,0
8/1/06,8/1/06,ADBE,0.29,0.26,None,2006,3,1
5/1/06,5/1/06,ADBE,0.31,0.3,None,2006,2,1
2/1/06,2/1/06,ADBE,0.32,0.29,None,2006,1,1
11/1/05,11/1/05,ADBE,0.3,0.29,None,2005,4,1
8/1/05,8/1/05,ADBE,0.29,0.27,None,2005,3,1
5/1/05,5/1/05,ADBE,0.28,0.27,None,2005,2,1
2/1/05,2/1/05,ADBE,0.265,0.25,None,2005,1,1
11/1/04,11/1/04,ADBE,0.22,0.21,None,2004,4,1
8/1/04,8/1/04,ADBE,0.215,0.195,None,2004,3,1
5/1/04,5/1/04,ADBE,0.22,0.21,None,2004,2,1
2/1/04,2/1/04,ADBE,0.25,0.2,None,2004,1,1
11/1/03,11/1/03,ADBE,0.17,0.16,None,2003,4,1
8/1/03,8/1/03,ADBE,0.14,0.125,None,2003,3,1
5/1/03,5/1/03,ADBE,0.14,0.13,None,2003,2,1
2/1/03,2/1/03,ADBE,0.125,0.11,None,2003,1,1
11/1/02,11/1/02,ADBE,0.125,0.115,None,2002,4,1
8/1/02,8/1/02,ADBE,0.11,0.095,None,2002,3,1
5/1/02,5/1/02,ADBE,0.135,0.125,None,2002,2,1
2/1/02,2/1/02,ADBE,0.11,0.1,None,2002,1,1
11/1/01,11/1/01,ADBE,0.1,0.105,None,2001,4,0
8/1/01,8/1/01,ADBE,0.14,0.14,None,2001,3,0
5/1/01,5/1/01,ADBE,0.17,0.143,None,2001,2,1
2/1/01,2/1/01,ADBE,0.165,0.135,None,2001,1,1
11/1/00,11/1/00,ADBE,0.17,0.145,None,2000,4,1
8/1/00,8/1/00,ADBE,0.145,0.13,None,2000,3,1
5/1/00,5/1/00,ADBE,0.13,0.121,None,2000,2,1
2/1/00,2/1/00,ADBE,0.12,0.108,None,2000,1,1
