date,date,ticker,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
11/25/14,11/25/14,ADI,0.69,0.679,0.686363636,2014,4,1
8/26/14,8/26/14,ADI,0.63,0.626,0.642142857,2014,3,1
5/20/14,5/20/14,ADI,0.59,0.562,0.565,2014,2,1
2/18/14,2/18/14,ADI,0.49,0.483,0.495,2014,1,1
11/26/13,11/26/13,ADI,0.62,0.582,0.591666667,2013,4,1
8/20/13,8/20/13,ADI,0.57,0.544,0.55,2013,3,1
5/21/13,5/21/13,ADI,0.52,0.523,0.516,2013,2,0
2/19/13,2/19/13,ADI,0.44,0.444,None,2013,1,0
11/27/12,11/27/12,ADI,0.58,0.57,0.575,2012,4,1
8/21/12,8/21/12,ADI,0.56,0.56,None,2012,3,0
5/22/12,5/22/12,ADI,0.53,0.51,None,2012,2,1
2/22/12,2/22/12,ADI,0.46,0.48,None,2012,1,0
11/21/11,11/21/11,ADI,0.6,0.63,None,2011,4,0
8/16/11,8/16/11,ADI,0.71,0.73,None,2011,3,0
5/17/11,5/17/11,ADI,0.75,0.68,None,2011,2,1
2/15/11,2/15/11,ADI,0.66,0.65,None,2011,1,1
11/22/10,11/22/10,ADI,0.73,0.7,None,2010,4,1
8/17/10,8/17/10,ADI,0.65,0.6,None,2010,3,1
4/1/10,4/1/10,ADI,0.55,0.5,None,2010,2,1
1/1/10,1/1/10,ADI,0.43,0.38,None,2010,1,1
10/1/09,10/1/09,ADI,0.36,0.26,None,2009,4,1
7/1/09,7/1/09,ADI,0.22,0.19,None,2009,3,1
4/1/09,4/1/09,ADI,0.21,0.09,None,2009,2,1
1/1/09,1/1/09,ADI,0.18,0.16,None,2009,1,1
10/1/08,10/1/08,ADI,0.49,0.45,None,2008,4,1
7/1/08,7/1/08,ADI,0.49,0.44,None,2008,3,1
4/1/08,4/1/08,ADI,0.44,0.41,None,2008,2,1
1/1/08,1/1/08,ADI,0.44,0.4,None,2008,1,1
10/1/07,10/1/07,ADI,0.38,0.38,None,2007,4,0
7/1/07,7/1/07,ADI,0.38,0.36,None,2007,3,1
4/1/07,4/1/07,ADI,0.36,0.36,None,2007,2,0
1/1/07,1/1/07,ADI,0.36,0.37,None,2007,1,0
10/1/06,10/1/06,ADI,0.4,0.36,None,2006,4,1
7/1/06,7/1/06,ADI,0.43,0.405,None,2006,3,1
4/1/06,4/1/06,ADI,0.38,0.36,None,2006,2,1
1/1/06,1/1/06,ADI,0.37,0.36,None,2006,1,1
10/1/05,10/1/05,ADI,0.36,0.35,None,2005,4,1
7/1/05,7/1/05,ADI,0.32,0.31,None,2005,3,1
4/1/05,4/1/05,ADI,0.31,0.3,None,2005,2,1
1/1/05,1/1/05,ADI,0.28,0.29,None,2005,1,0
10/1/04,10/1/04,ADI,0.35,0.333,None,2004,4,1
7/1/04,7/1/04,ADI,0.43,0.45,None,2004,3,0
4/1/04,4/1/04,ADI,0.39,0.35,None,2004,2,1
1/1/04,1/1/04,ADI,0.3,0.28,None,2004,1,1
10/1/03,10/1/03,ADI,0.25,0.23,None,2003,4,1
7/1/03,7/1/03,ADI,0.21,0.21,None,2003,3,0
4/1/03,4/1/03,ADI,0.19,0.18,None,2003,2,1
1/1/03,1/1/03,ADI,0.17,0.16,None,2003,1,1
10/1/02,10/1/02,ADI,0.16,0.16,None,2002,4,0
7/1/02,7/1/02,ADI,0.15,0.15,None,2002,3,0
4/1/02,4/1/02,ADI,0.13,0.12,None,2002,2,1
1/1/02,1/1/02,ADI,0.11,0.11,None,2002,1,0
10/1/01,10/1/01,ADI,0.14,0.12,None,2001,4,1
7/1/01,7/1/01,ADI,0.17,0.17,None,2001,3,0
4/1/01,4/1/01,ADI,0.31,0.32,None,2001,2,0
1/1/01,1/1/01,ADI,0.5,0.5,None,2001,1,0
10/1/00,10/1/00,ADI,0.54,0.5,None,2000,4,1
7/1/00,7/1/00,ADI,0.43,0.37,None,2000,3,1
4/1/00,4/1/00,ADI,0.32,0.28,None,2000,2,1
1/1/00,1/1/00,ADI,0.25,0.22,None,2000,1,1
