date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-07-31,ADP,2014-07-31,0.63,0.627,0.652,2014,4,1
2014-04-30,ADP,2014-04-30,1.06,1.077,1.086,2014,3,0
2014-02-05,ADP,2014-02-05,0.78,0.77,0.783333333333,2014,2,1
2013-10-30,ADP,2013-10-30,0.68,0.661,0.663333333333,2014,1,1
2013-08-01,ADP,2013-08-01,0.55,0.572,0.586,2013,4,0
2013-05-03,ADP,2013-05-03,0.99,0.982,0.988181818182,2013,3,1
2013-02-05,ADP,2013-02-05,0.72,0.713,0.715,2013,2,1
2012-10-30,ADP,2012-10-30,0.62,0.62,None,2013,1,0
2012-08-01,ADP,2012-08-01,0.53,0.53,None,2012,4,0
2012-05-01,ADP,2012-05-01,0.92,0.91,None,2012,3,1
2012-01-25,ADP,2012-01-25,0.68,0.68,None,2012,2,0
2011-10-26,ADP,2011-10-26,0.61,0.61,None,2012,1,0
2011-07-28,ADP,2011-07-28,0.48,0.49,None,2011,4,0
2011-05-02,ADP,2011-05-02,0.85,0.85,None,2011,3,0
2011-01-26,ADP,2011-01-26,0.62,0.61,None,2011,2,1
2010-10-27,ADP,2010-10-27,0.56,0.53,None,2011,1,1
2010-07-29,ADP,2010-07-29,0.42,0.42,None,2010,4,0
2010-04-27,ADP,2010-04-27,0.79,0.79,None,2010,3,0
2010-02-02,ADP,2010-02-02,0.6,0.6,None,2010,2,0
2009-09-01,ADP,2009-09-01,0.56,0.56,None,2010,1,0
2009-06-01,ADP,2009-06-01,0.45,0.45,None,2009,4,0
2009-03-01,ADP,2009-03-01,0.8,0.8,None,2009,3,0
2008-12-01,ADP,2008-12-01,0.59,0.6,None,2009,2,0
2008-09-01,ADP,2008-09-01,0.54,0.56,None,2009,1,0
2008-06-01,ADP,2008-06-01,0.42,0.41,None,2008,4,1
2008-03-01,ADP,2008-03-01,0.77,0.75,None,2008,3,1
2007-12-01,ADP,2007-12-01,0.53,0.53,None,2008,2,0
2007-09-01,ADP,2007-09-01,0.45,0.43,None,2008,1,1
2007-06-01,ADP,2007-06-01,0.35,0.36,None,2007,4,0
2007-03-01,ADP,2007-03-01,0.74,0.71,None,2007,3,1
2006-12-01,ADP,2006-12-01,0.52,0.51,None,2007,2,1
2006-09-01,ADP,2006-09-01,0.43,0.435,None,2007,1,0
2006-06-01,ADP,2006-06-01,0.44,0.46,None,2006,4,0
2006-03-01,ADP,2006-03-01,0.61,0.63,None,2006,3,0
2005-12-01,ADP,2005-12-01,0.52,0.5,None,2006,2,1
2005-09-01,ADP,2005-09-01,0.43,0.4,None,2006,1,1
2005-06-01,ADP,2005-06-01,0.44,0.44,None,2005,4,0
2005-03-01,ADP,2005-03-01,0.57,0.57,None,2005,3,0
2004-12-01,ADP,2004-12-01,0.42,0.42,None,2005,2,0
2004-09-01,ADP,2004-09-01,0.35,0.33,None,2005,1,1
2004-06-01,ADP,2004-06-01,0.36,0.35,None,2004,4,1
2004-03-01,ADP,2004-03-01,0.5,0.5,None,2004,3,0
2003-12-01,ADP,2003-12-01,0.38,0.37,None,2004,2,1
2003-09-01,ADP,2003-09-01,0.32,0.28,None,2004,1,1
2003-06-01,ADP,2003-06-01,0.36,0.38,None,2003,4,0
2003-03-01,ADP,2003-03-01,0.54,0.52,None,2003,3,1
2002-12-01,ADP,2002-12-01,0.43,0.43,None,2003,2,0
2002-09-01,ADP,2002-09-01,0.34,0.33,None,2003,1,1
2002-06-01,ADP,2002-06-01,0.46,0.47,None,2002,4,0
2002-03-01,ADP,2002-03-01,0.56,0.55,None,2002,3,1
2001-12-01,ADP,2001-12-01,0.42,0.41,None,2002,2,1
2001-09-01,ADP,2001-09-01,0.31,0.31,None,2002,1,0
2001-06-01,ADP,2001-06-01,0.4,0.41,None,2001,4,0
2001-03-01,ADP,2001-03-01,0.49,0.48,None,2001,3,1
2000-12-01,ADP,2000-12-01,0.36,0.36,None,2001,2,0
2000-09-01,ADP,2000-09-01,0.27,0.27,None,2001,1,0
2000-06-01,ADP,2000-06-01,0.35,0.35,None,2000,4,0
2000-03-01,ADP,2000-03-01,0.42,0.41,None,2000,3,1
1999-12-01,ADP,1999-12-01,0.31,0.32,None,2000,2,0
1999-09-01,ADP,1999-09-01,0.23,0.23,None,2000,1,0
