date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-02-26,ADSK,2014-02-26,0.4,0.335,0.346,2014,4,1
2013-11-21,ADSK,2013-11-21,0.41,0.388,0.408571428571,2014,3,1
2013-08-22,ADSK,2013-08-22,0.45,0.417,0.424285714286,2014,2,1
2013-05-16,ADSK,2013-05-16,0.42,0.446,0.473333333333,2014,1,0
2013-02-25,ADSK,2013-02-25,0.53,0.494,0.494166666667,2013,4,1
2012-11-15,ADSK,2012-11-15,0.47,0.43,0.434,2013,3,1
2012-08-23,ADSK,2012-08-23,0.48,0.49,0.488095238095,2013,2,0
2012-05-17,ADSK,2012-05-17,0.47,0.47,0.48525,2013,1,0
2012-02-23,ADSK,2012-02-23,0.46,0.45,None,2012,4,1
2011-11-15,ADSK,2011-11-15,0.44,0.41,None,2012,3,1
2011-08-18,ADSK,2011-08-18,0.44,0.41,None,2012,2,1
2011-05-19,ADSK,2011-05-19,0.4,0.37,None,2012,1,1
2011-02-24,ADSK,2011-02-24,0.35,0.34,None,2011,4,1
2010-11-18,ADSK,2010-11-18,0.32,0.32,None,2011,3,0
2010-08-12,ADSK,2010-08-12,0.36,0.27,None,2011,2,1
2010-05-19,ADSK,2010-05-19,0.29,0.22,None,2011,1,1
2010-02-23,ADSK,2010-02-23,0.3,0.3,None,2010,4,0
2009-11-17,ADSK,2009-11-17,0.26,0.27,None,2010,3,0
2009-07-01,ADSK,2009-07-01,0.24,0.24,None,2010,2,0
2009-04-01,ADSK,2009-04-01,0.18,0.18,None,2010,1,0
2009-01-01,ADSK,2009-01-01,0.31,0.21,None,2009,4,1
2008-10-01,ADSK,2008-10-01,0.56,0.53,None,2009,3,1
2008-07-01,ADSK,2008-07-01,0.56,0.52,None,2009,2,1
2008-04-01,ADSK,2008-04-01,0.56,0.48,None,2009,1,1
2008-01-01,ADSK,2008-01-01,0.5,0.54,None,2008,4,0
2007-10-01,ADSK,2007-10-01,0.49,0.48,None,2008,3,1
2007-07-01,ADSK,2007-07-01,0.44,0.43,None,2008,2,1
2007-04-01,ADSK,2007-04-01,0.44,0.44,None,2008,1,0
2007-01-01,ADSK,2007-01-01,0.41,0.46,None,2007,4,0
2006-10-01,ADSK,2006-10-01,0.3,0.37,None,2007,3,0
2006-07-01,ADSK,2006-07-01,0.47,0.38,None,2007,2,1
2006-04-01,ADSK,2006-04-01,0.32,0.32,None,2007,1,0
2006-01-01,ADSK,2006-01-01,0.37,0.35,None,2006,4,1
2005-10-01,ADSK,2005-10-01,0.31,0.3,None,2006,3,1
2005-07-01,ADSK,2005-07-01,0.29,0.24,None,2006,2,1
2005-04-01,ADSK,2005-04-01,0.3,0.28,None,2006,1,1
2005-01-01,ADSK,2005-01-01,0.3,0.28,None,2005,4,1
2004-10-01,ADSK,2004-10-01,0.19,0.17,None,2005,3,1
2004-07-01,ADSK,2004-07-01,0.17,0.148,None,2005,2,1
2004-04-01,ADSK,2004-04-01,0.205,0.15,None,2005,1,1
2004-01-01,ADSK,2004-01-01,0.225,0.145,None,2004,4,1
2003-10-01,ADSK,2003-10-01,0.1,0.075,None,2004,3,1
2003-07-01,ADSK,2003-07-01,0.055,0.05,None,2004,2,1
2003-04-01,ADSK,2003-04-01,0.035,0.02,None,2004,1,1
2003-01-01,ADSK,2003-01-01,0.035,0.03,None,2003,4,1
2002-10-01,ADSK,2002-10-01,0.025,0.02,None,2003,3,1
2002-07-01,ADSK,2002-07-01,0.065,0.05,None,2003,2,1
2002-04-01,ADSK,2002-04-01,0.08,0.075,None,2003,1,1
2002-01-01,ADSK,2002-01-01,0.165,0.14,None,2002,4,1
2001-10-01,ADSK,2001-10-01,0.09,0.096,None,2002,3,0
2001-07-01,ADSK,2001-07-01,0.135,0.118,None,2002,2,1
2001-04-01,ADSK,2001-04-01,0.145,0.119,None,2002,1,1
2001-01-01,ADSK,2001-01-01,0.143,0.136,None,2001,4,1
2000-10-01,ADSK,2000-10-01,0.095,0.073,None,2001,3,1
2000-07-01,ADSK,2000-07-01,0.108,0.093,None,2001,2,1
2000-04-01,ADSK,2000-04-01,0.123,0.105,None,2001,1,1
2000-01-01,ADSK,2000-01-01,0.12,0.095,None,2000,4,1
1999-10-01,ADSK,1999-10-01,0.068,0.019,None,2000,3,1
1999-07-01,ADSK,1999-07-01,0.023,0.04,None,2000,2,0
1999-04-01,ADSK,1999-04-01,0.038,0.053,None,2000,1,0
