date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-02-10,AKAM,2015-02-10,0.7,0.636,0.660909090909,2014,4,1
2014-10-29,AKAM,2014-10-29,0.62,0.567,0.5925,2014,3,1
2014-07-30,AKAM,2014-07-30,0.58,0.548,0.570952380952,2014,2,1
2014-05-01,AKAM,2014-05-01,0.58,0.534,0.546842105263,2014,1,1
2014-02-05,AKAM,2014-02-05,0.55,0.512,0.538888888889,2013,4,1
2013-10-23,AKAM,2013-10-23,0.5,0.463,0.476470588235,2013,3,1
2013-07-24,AKAM,2013-07-24,0.46,0.455,0.47,2013,2,1
2013-04-24,AKAM,2013-04-24,0.43,0.467,0.487777777778,2013,1,0
2013-02-06,AKAM,2013-02-06,0.54,0.496,0.521538461538,2012,4,1
2012-10-24,AKAM,2012-10-24,0.43,0.41,0.433846153846,2012,3,1
2012-07-25,AKAM,2012-07-25,0.43,0.37,0.376923076923,2012,2,1
2012-04-25,AKAM,2012-04-25,0.41,0.38,0.403333333333,2012,1,1
2012-02-08,AKAM,2012-02-08,0.45,0.4,0.394285714286,2011,4,1
2011-10-26,AKAM,2011-10-26,0.34,0.33,0.3375,2011,3,1
2011-07-27,AKAM,2011-07-27,0.35,0.36,None,2011,2,0
2011-03-01,AKAM,2011-03-01,0.38,0.37,None,2011,1,1
2010-12-01,AKAM,2010-12-01,0.4,0.38,None,2010,4,1
2010-09-01,AKAM,2010-09-01,0.34,0.33,None,2010,3,1
2010-06-01,AKAM,2010-06-01,0.34,0.34,None,2010,2,0
2010-03-01,AKAM,2010-03-01,0.35,0.31,None,2010,1,1
2009-12-01,AKAM,2009-12-01,0.34,0.43,None,2009,4,0
2009-09-01,AKAM,2009-09-01,0.28,0.35,None,2009,3,0
2009-06-01,AKAM,2009-06-01,0.29,0.4,None,2009,2,0
2009-03-01,AKAM,2009-03-01,0.31,0.4,None,2009,1,0
2008-12-01,AKAM,2008-12-01,0.44,0.4,None,2008,4,1
2008-09-01,AKAM,2008-09-01,0.4,0.39,None,2008,3,1
2008-06-01,AKAM,2008-06-01,0.41,0.41,None,2008,2,0
2008-03-01,AKAM,2008-03-01,0.41,0.39,None,2008,1,1
2007-12-01,AKAM,2007-12-01,0.41,0.37,None,2007,4,1
2007-09-01,AKAM,2007-09-01,0.34,0.33,None,2007,3,1
2007-06-01,AKAM,2007-06-01,0.3,0.3,None,2007,2,0
2007-03-01,AKAM,2007-03-01,0.28,0.28,None,2007,1,0
2006-12-01,AKAM,2006-12-01,0.27,0.26,None,2006,4,1
2006-09-01,AKAM,2006-09-01,0.24,0.22,None,2006,3,1
2006-06-01,AKAM,2006-06-01,0.2,0.18,None,2006,2,1
2006-03-01,AKAM,2006-03-01,0.17,0.16,None,2006,1,1
2005-12-01,AKAM,2005-12-01,0.16,0.15,None,2005,4,1
2005-09-01,AKAM,2005-09-01,0.14,0.14,None,2005,3,0
2005-06-01,AKAM,2005-06-01,0.11,0.11,None,2005,2,0
2005-03-01,AKAM,2005-03-01,0.1,0.1,None,2005,1,0
2004-12-01,AKAM,2004-12-01,0.1,0.1,None,2004,4,0
2004-09-01,AKAM,2004-09-01,0.09,0.09,None,2004,3,0
2004-06-01,AKAM,2004-06-01,0.08,0.07,None,2004,2,1
2004-03-01,AKAM,2004-03-01,0.04,0.035,None,2004,1,1
2003-12-01,AKAM,2003-12-01,0.01,0.0,None,2003,4,1
2003-09-01,AKAM,2003-09-01,0.0,0.0,None,2003,3,0
2003-06-01,AKAM,2003-06-01,0.0,0.0,None,2003,2,0
2003-03-01,AKAM,2003-03-01,0.0,0.0,None,2003,1,0
2002-12-01,AKAM,2002-12-01,0.0,0.0,None,2002,4,0
2002-09-01,AKAM,2002-09-01,0.0,0.0,None,2002,3,0
2002-06-01,AKAM,2002-06-01,0.0,0.0,None,2002,2,0
2002-03-01,AKAM,2002-03-01,0.0,0.0,None,2002,1,0
2001-12-01,AKAM,2001-12-01,0.0,0.0,None,2001,4,0
2001-09-01,AKAM,2001-09-01,0.0,0.0,None,2001,3,0
2001-06-01,AKAM,2001-06-01,0.0,0.0,None,2001,2,0
2001-03-01,AKAM,2001-03-01,0.0,0.0,None,2001,1,0
2000-12-01,AKAM,2000-12-01,0.0,0.0,None,2000,4,0
2000-09-01,AKAM,2000-09-01,0.0,0.0,None,2000,3,0
2000-06-01,AKAM,2000-06-01,0.0,0.0,None,2000,2,0
2000-03-01,AKAM,2000-03-01,0.0,0.0,None,2000,1,0
