date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-11-13,AMAT,2014-11-13,0.27,0.268,0.278823529412,2014,4,1
2014-08-14,AMAT,2014-08-14,0.28,0.268,0.28,2014,3,1
2014-05-15,AMAT,2014-05-15,0.28,0.277,0.292631578947,2014,2,1
2014-02-12,AMAT,2014-02-12,0.23,0.224,0.234166666667,2014,1,1
2013-11-14,AMAT,2013-11-14,0.19,0.179,0.168571428571,2013,4,1
2013-08-15,AMAT,2013-08-15,0.18,0.191,0.196666666667,2013,3,0
2013-05-16,AMAT,2013-05-16,0.16,0.132,0.149,2013,2,1
2013-02-13,AMAT,2013-02-13,0.06,0.029,0.049,2013,1,1
2012-11-15,AMAT,2012-11-15,0.06,0.03,0.06,2012,4,1
2012-08-15,AMAT,2012-08-15,0.24,0.22,0.2275,2012,3,1
2012-05-17,AMAT,2012-05-17,0.27,0.24,0.21,2012,2,1
2012-02-16,AMAT,2012-02-16,0.18,0.12,None,2012,1,1
2011-11-16,AMAT,2011-11-16,0.21,0.19,None,2011,4,1
2011-07-01,AMAT,2011-07-01,0.35,0.33,None,2011,3,1
2011-04-01,AMAT,2011-04-01,0.38,0.37,None,2011,2,1
2011-01-01,AMAT,2011-01-01,0.36,0.33,None,2011,1,1
2010-10-01,AMAT,2010-10-01,0.36,0.31,None,2010,4,1
2010-07-01,AMAT,2010-07-01,0.17,0.25,None,2010,3,0
2010-04-01,AMAT,2010-04-01,0.22,0.21,None,2010,2,1
2010-01-01,AMAT,2010-01-01,0.13,0.13,None,2010,1,0
2009-10-01,AMAT,2009-10-01,0.11,0.03,None,2009,4,1
2009-07-01,AMAT,2009-07-01,-0.02,0.0,None,2009,3,0
2009-04-01,AMAT,2009-04-01,-0.12,0.0,None,2009,2,0
2009-01-01,AMAT,2009-01-01,-0.02,0.0,None,2009,1,0
2008-10-01,AMAT,2008-10-01,0.2,0.145,None,2008,4,1
2008-07-01,AMAT,2008-07-01,0.17,0.14,None,2008,3,1
2008-04-01,AMAT,2008-04-01,0.26,0.22,None,2008,2,1
2008-01-01,AMAT,2008-01-01,0.25,0.2,None,2008,1,1
2007-10-01,AMAT,2007-10-01,0.34,0.285,None,2007,4,1
2007-07-01,AMAT,2007-07-01,0.37,0.31,None,2007,3,1
2007-04-01,AMAT,2007-04-01,0.34,0.28,None,2007,2,1
2007-01-01,AMAT,2007-01-01,0.27,0.27,None,2007,1,0
2006-10-01,AMAT,2006-10-01,0.3,0.31,None,2006,4,0
2006-07-01,AMAT,2006-07-01,0.33,0.3,None,2006,3,1
2006-04-01,AMAT,2006-04-01,0.26,0.23,None,2006,2,1
2006-01-01,AMAT,2006-01-01,0.19,0.17,None,2006,1,1
2005-10-01,AMAT,2005-10-01,0.15,0.14,None,2005,4,1
2005-07-01,AMAT,2005-07-01,0.15,0.14,None,2005,3,1
2005-04-01,AMAT,2005-04-01,0.18,0.17,None,2005,2,1
2005-01-01,AMAT,2005-01-01,0.17,0.15,None,2005,1,1
2004-10-01,AMAT,2004-10-01,0.27,0.26,None,2004,4,1
2004-07-01,AMAT,2004-07-01,0.26,0.25,None,2004,3,1
2004-04-01,AMAT,2004-04-01,0.22,0.19,None,2004,2,1
2004-01-01,AMAT,2004-01-01,0.12,0.08,None,2004,1,1
2003-10-01,AMAT,2003-10-01,0.06,0.05,None,2003,4,1
2003-07-01,AMAT,2003-07-01,0.05,0.04,None,2003,3,1
2003-04-01,AMAT,2003-04-01,0.03,0.02,None,2003,2,1
2003-01-01,AMAT,2003-01-01,0.0,0.02,None,2003,1,0
2002-10-01,AMAT,2002-10-01,0.09,0.08,None,2002,4,1
2002-07-01,AMAT,2002-07-01,0.07,0.05,None,2002,3,1
2002-04-01,AMAT,2002-04-01,0.03,0.015,None,2002,2,1
2002-01-01,AMAT,2002-01-01,0.01,0.0,None,2002,1,1
2001-10-01,AMAT,2001-10-01,0.015,0.02,None,2001,4,0
2001-07-01,AMAT,2001-07-01,0.025,0.015,None,2001,3,1
2001-04-01,AMAT,2001-04-01,0.16,0.163,None,2001,2,0
2001-01-01,AMAT,2001-01-01,0.33,0.308,None,2001,1,1
2000-10-01,AMAT,2000-10-01,0.385,0.38,None,2000,4,1
2000-07-01,AMAT,2000-07-01,0.35,0.34,None,2000,3,1
2000-04-01,AMAT,2000-04-01,0.275,0.265,None,2000,2,1
2000-01-01,AMAT,2000-01-01,0.19,0.19,None,2000,1,0
