date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-02-05,ATVI,2015-02-05,0.94,0.882,0.933888888889,2014,4,1
2014-11-04,ATVI,2014-11-04,0.23,0.122,0.151785714286,2014,3,1
2014-08-05,ATVI,2014-08-05,0.06,0.016,0.0519230769231,2014,2,1
2014-05-06,ATVI,2014-05-06,0.19,0.099,0.119545454545,2014,1,1
2014-02-06,ATVI,2014-02-06,0.79,0.728,0.757916666667,2013,4,1
2013-11-06,ATVI,2013-11-06,0.08,0.035,0.0493333333333,2013,3,1
2013-08-01,ATVI,2013-08-01,0.08,0.068,0.08875,2013,2,1
2013-05-08,ATVI,2013-05-08,0.17,0.108,0.129333333333,2013,1,1
2013-02-07,ATVI,2013-02-07,0.78,0.708,0.717857142857,2012,4,1
2012-11-07,ATVI,2012-11-07,0.15,0.08,0.0908333333333,2012,3,1
2012-08-02,ATVI,2012-08-02,0.2,0.12,0.1375,2012,2,1
2012-05-09,ATVI,2012-05-09,0.06,0.04,0.0292307692308,2012,1,1
2012-02-09,ATVI,2012-02-09,0.62,0.55,0.575,2011,4,1
2011-11-08,ATVI,2011-11-08,0.07,0.02,None,2011,3,1
2011-08-03,ATVI,2011-08-03,0.1,0.05,None,2011,2,1
2011-05-09,ATVI,2011-05-09,0.13,0.08,None,2011,1,1
2011-02-09,ATVI,2011-02-09,0.53,0.51,None,2010,4,1
2010-11-04,ATVI,2010-11-04,0.12,0.09,None,2010,3,1
2010-08-05,ATVI,2010-08-05,0.06,0.05,None,2010,2,1
2010-05-06,ATVI,2010-05-06,0.09,0.04,None,2010,1,1
2010-02-10,ATVI,2010-02-10,0.49,0.44,None,2009,4,1
2009-11-05,ATVI,2009-11-05,0.04,0.04,None,2009,3,0
2009-08-05,ATVI,2009-08-05,0.08,0.07,None,2009,2,1
2009-03-01,ATVI,2009-03-01,0.08,0.04,None,2009,1,1
2008-12-01,ATVI,2008-12-01,0.31,0.29,None,2008,4,1
2008-09-01,ATVI,2008-09-01,0.07,0.04,None,2008,3,1
2008-03-01,ATVI,2008-03-01,0.15,0.0,None,2008,1,1
2006-12-01,ATVI,2006-12-01,0.14,0.21,None,2007,3,0
2006-09-01,ATVI,2006-09-01,0.08,0.0,None,2007,2,1
2006-06-01,ATVI,2006-06-01,0.0,0.0,None,2007,1,0
2006-03-01,ATVI,2006-03-01,0.0,0.0,None,2006,4,0
2005-12-01,ATVI,2005-12-01,0.115,0.178,None,2006,3,0
2005-09-01,ATVI,2005-09-01,0.0,0.0,None,2006,2,0
2005-06-01,ATVI,2005-06-01,0.0,0.0,None,2006,1,0
2005-03-01,ATVI,2005-03-01,0.008,0.004,None,2005,4,1
2004-12-01,ATVI,2004-12-01,0.177,0.155,None,2005,3,1
2004-09-01,ATVI,2004-09-01,0.048,0.025,None,2005,2,1
2004-06-01,ATVI,2004-06-01,0.023,0.014,None,2005,1,1
2004-03-01,ATVI,2004-03-01,0.011,0.003,None,2004,4,1
2003-12-01,ATVI,2003-12-01,0.148,0.126,None,2004,3,1
2003-09-01,ATVI,2003-09-01,0.0,0.0,None,2004,2,0
2003-06-01,ATVI,2003-06-01,0.008,0.0,None,2004,1,1
2003-03-01,ATVI,2003-03-01,0.0,0.0,None,2003,4,0
2002-12-01,ATVI,2002-12-01,0.079,0.074,None,2003,3,1
2002-09-01,ATVI,2002-09-01,0.016,0.013,None,2003,2,1
2002-06-01,ATVI,2002-06-01,0.039,0.023,None,2003,1,1
2002-03-01,ATVI,2002-03-01,0.021,0.014,None,2002,4,1
2001-12-01,ATVI,2001-12-01,0.083,0.073,None,2002,3,1
2001-09-01,ATVI,2001-09-01,0.005,0.001,None,2002,2,1
2001-06-01,ATVI,2001-06-01,0.0,0.0,None,2002,1,0
2001-03-01,ATVI,2001-03-01,0.003,0.001,None,2001,4,1
2000-12-01,ATVI,2000-12-01,0.058,0.05,None,2001,3,1
2000-09-01,ATVI,2000-09-01,0.014,0.008,None,2001,2,1
2000-06-01,ATVI,2000-06-01,0.0,0.0,None,2001,1,0
2000-03-01,ATVI,2000-03-01,0.008,0.0,None,2000,4,1
1999-12-01,ATVI,1999-12-01,0.063,0.0,None,2000,3,1
1999-09-01,ATVI,1999-09-01,0.003,0.0,None,2000,2,1
1999-06-01,ATVI,1999-06-01,0.0,0.0,None,2000,1,0
