date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-01-29,BRCM,2015-01-29,0.9,0.866,0.89375,2014,4,1
2014-10-21,BRCM,2014-10-21,0.91,0.833,0.848928571429,2014,3,1
2014-07-22,BRCM,2014-07-22,0.65,0.611,0.622083333333,2014,2,1
2014-04-24,BRCM,2014-04-24,0.51,0.461,0.480526315789,2014,1,1
2014-01-30,BRCM,2014-01-30,0.6,0.563,0.575,2013,4,1
2013-10-22,BRCM,2013-10-22,0.76,0.69,0.702,2013,3,1
2013-07-23,BRCM,2013-07-23,0.7,0.696,0.723636363636,2013,2,1
2013-04-23,BRCM,2013-04-23,0.65,0.565,0.587894736842,2013,1,1
2013-01-29,BRCM,2013-01-29,0.76,0.73,0.751818181818,2012,4,1
2012-10-23,BRCM,2012-10-23,0.79,0.77,0.781666666667,2012,3,1
2012-07-24,BRCM,2012-07-24,0.72,0.67,0.675714285714,2012,2,1
2012-05-01,BRCM,2012-05-01,0.65,0.55,0.595714285714,2012,1,1
2012-01-31,BRCM,2012-01-31,0.68,0.65,None,2011,4,1
2011-10-25,BRCM,2011-10-25,0.81,0.77,None,2011,3,1
2011-07-25,BRCM,2011-07-25,0.72,0.63,None,2011,2,1
2011-04-26,BRCM,2011-04-26,0.68,0.59,None,2011,1,1
2011-02-01,BRCM,2011-02-01,0.83,0.74,None,2010,4,1
2010-09-01,BRCM,2010-09-01,0.8,0.71,None,2010,3,1
2010-06-01,BRCM,2010-06-01,0.74,0.62,None,2010,2,1
2010-03-01,BRCM,2010-03-01,0.64,0.47,None,2010,1,1
2009-12-01,BRCM,2009-12-01,0.3,0.44,None,2009,4,0
2009-09-01,BRCM,2009-09-01,0.16,0.335,None,2009,3,0
2009-06-01,BRCM,2009-06-01,0.03,0.13,None,2009,2,0
2009-03-01,BRCM,2009-03-01,-0.19,0.03,None,2009,1,0
2008-12-01,BRCM,2008-12-01,0.08,0.26,None,2008,4,0
2008-09-01,BRCM,2008-09-01,0.31,0.44,None,2008,3,0
2008-06-01,BRCM,2008-06-01,0.25,0.35,None,2008,2,0
2008-03-01,BRCM,2008-03-01,0.14,0.275,None,2008,1,0
2007-12-01,BRCM,2007-12-01,0.16,0.11,None,2007,4,1
2007-09-01,BRCM,2007-09-01,0.05,0.07,None,2007,3,0
2007-06-01,BRCM,2007-06-01,0.08,0.08,None,2007,2,0
2007-03-01,BRCM,2007-03-01,0.1,0.1,None,2007,1,0
2006-12-01,BRCM,2006-12-01,0.15,0.155,None,2006,4,0
2006-09-01,BRCM,2006-09-01,0.15,0.16,None,2006,3,0
2006-06-01,BRCM,2006-06-01,0.18,0.2,None,2006,2,0
2006-03-01,BRCM,2006-03-01,0.22,0.18,None,2006,1,1
2005-12-01,BRCM,2005-12-01,0.33299999999999996,0.293,None,2005,4,1
2005-09-01,BRCM,2005-09-01,0.26,0.253,None,2005,3,1
2005-06-01,BRCM,2005-06-01,0.22699999999999998,0.16699999999999998,None,2005,2,1
2005-03-01,BRCM,2005-03-01,0.153,0.147,None,2005,1,1
2004-12-01,BRCM,2004-12-01,0.153,0.147,None,2004,4,1
2004-09-01,BRCM,2004-09-01,0.24,0.22699999999999998,None,2004,3,1
2004-06-01,BRCM,2004-06-01,0.233,0.213,None,2004,2,1
2004-03-01,BRCM,2004-03-01,0.193,0.18,None,2004,1,1
2003-12-01,BRCM,2003-12-01,0.127,0.107,None,2003,4,1
2003-09-01,BRCM,2003-09-01,0.09300000000000001,0.087,None,2003,3,1
2003-06-01,BRCM,2003-06-01,0.067,0.06,None,2003,2,1
2003-03-01,BRCM,2003-03-01,0.04,0.013000000000000001,None,2003,1,1
2002-12-01,BRCM,2002-12-01,0.0,0.0,None,2002,4,0
2002-09-01,BRCM,2002-09-01,0.0,0.0,None,2002,3,0
2002-06-01,BRCM,2002-06-01,0.0,0.0,None,2002,2,0
2002-03-01,BRCM,2002-03-01,0.0,0.0,None,2002,1,0
2001-12-01,BRCM,2001-12-01,0.0,0.0,None,2001,4,0
2001-09-01,BRCM,2001-09-01,0.0,0.0,None,2001,3,0
2001-06-01,BRCM,2001-06-01,0.0,0.0,None,2001,2,0
2001-03-01,BRCM,2001-03-01,0.06,0.06,None,2001,1,0
2000-12-01,BRCM,2000-12-01,0.213,0.207,None,2000,4,1
2000-09-01,BRCM,2000-09-01,0.2,0.16,None,2000,3,1
2000-06-01,BRCM,2000-06-01,0.153,0.147,None,2000,2,1
2000-03-01,BRCM,2000-03-01,0.12,0.107,None,2000,1,1
