date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-05-15,CA,2014-05-15,0.61,0.604,0.63,2014,4,1
2014-01-21,CA,2014-01-21,0.84,0.718,0.746153846154,2014,3,1
2013-10-24,CA,2013-10-24,0.86,0.716,0.73,2014,2,1
2013-07-24,CA,2013-07-24,0.78,0.734,None,2014,1,1
2013-05-07,CA,2013-05-07,0.68,0.562,0.5725,2013,4,1
2013-01-22,CA,2013-01-22,0.63,0.61,0.62,2013,3,1
2012-10-25,CA,2012-10-25,0.59,0.59,0.611666666667,2013,2,0
2012-07-26,CA,2012-07-26,0.63,0.61,0.615,2013,1,1
2012-05-10,CA,2012-05-10,0.56,0.52,0.556666666667,2012,4,1
2012-01-24,CA,2012-01-24,0.65,0.54,None,2012,3,1
2011-10-26,CA,2011-10-26,0.51,0.49,None,2012,2,1
2011-07-20,CA,2011-07-20,0.55,0.51,None,2012,1,1
2011-05-12,CA,2011-05-12,0.48,0.5,None,2011,4,0
2011-01-25,CA,2011-01-25,0.5,0.49,None,2011,3,1
2010-10-21,CA,2010-10-21,0.48,0.47,None,2011,2,1
2010-07-21,CA,2010-07-21,0.45,0.42,None,2011,1,1
2010-03-01,CA,2010-03-01,0.37,0.34,None,2010,4,1
2009-12-01,CA,2009-12-01,0.46,0.43,None,2010,3,1
2009-09-01,CA,2009-09-01,0.45,0.42,None,2010,2,1
2009-06-01,CA,2009-06-01,0.44,0.42,None,2010,1,1
2009-03-01,CA,2009-03-01,0.31,0.29,None,2009,4,1
2008-12-01,CA,2008-12-01,0.43,0.43,None,2009,3,0
2008-09-01,CA,2008-09-01,0.4,0.42,None,2009,2,0
2008-06-01,CA,2008-06-01,0.4,0.42,None,2009,1,0
2008-03-01,CA,2008-03-01,0.22,0.29,None,2008,4,0
2007-12-01,CA,2007-12-01,0.36,0.245,None,2008,3,1
2007-09-01,CA,2007-09-01,0.32,0.25,None,2008,2,1
2007-06-01,CA,2007-06-01,0.29,0.235,None,2008,1,1
2007-03-01,CA,2007-03-01,0.2,0.19,None,2007,4,1
2006-12-01,CA,2006-12-01,0.24,0.215,None,2007,3,1
2006-09-01,CA,2006-09-01,0.25,0.2,None,2007,2,1
2006-06-01,CA,2006-06-01,0.17,0.13,None,2007,1,1
2006-03-01,CA,2006-03-01,0.14,0.14,None,2006,4,0
2005-12-01,CA,2005-12-01,0.24,0.24,None,2006,3,0
2005-09-01,CA,2005-09-01,0.24,0.24,None,2006,2,0
2005-06-01,CA,2005-06-01,0.22,0.22,None,2006,1,0
2005-03-01,CA,2005-03-01,0.2,0.2,None,2005,4,0
2004-12-01,CA,2004-12-01,0.19,0.19,None,2005,3,0
2004-09-01,CA,2004-09-01,0.18,0.16,None,2005,2,1
2004-06-01,CA,2004-06-01,0.21,0.18,None,2005,1,1
2004-03-01,CA,2004-03-01,0.18,0.17,None,2004,4,1
2003-12-01,CA,2003-12-01,0.16,0.15,None,2004,3,1
2003-09-01,CA,2003-09-01,0.14,0.14,None,2004,2,0
2003-06-01,CA,2003-06-01,0.14,0.09,None,2004,1,1
2003-03-01,CA,2003-03-01,0.08,0.06,None,2003,4,1
2002-12-01,CA,2002-12-01,0.05,0.04,None,2003,3,1
2002-09-01,CA,2002-09-01,0.04,0.02,None,2003,2,1
2002-06-01,CA,2002-06-01,0.02,0.0,None,2003,1,1
2002-03-01,CA,2002-03-01,0.0,0.0,None,2002,4,0
2001-12-01,CA,2001-12-01,0.71,0.61,None,2002,3,1
2001-09-01,CA,2001-09-01,0.61,0.53,None,2002,2,1
2001-06-01,CA,2001-06-01,0.55,0.48,None,2002,1,1
2001-03-01,CA,2001-03-01,0.47,0.47,None,2001,4,0
2000-12-01,CA,2000-12-01,0.42,0.4,None,2001,3,1
2000-09-01,CA,2000-09-01,0.54,0.525,None,2001,2,1
2000-06-01,CA,2000-06-01,0.14,0.14,None,2001,1,0
2000-03-01,CA,2000-03-01,1.13,1.13,None,2000,4,0
1999-12-01,CA,1999-12-01,0.91,0.76,None,2000,3,1
1999-09-01,CA,1999-09-01,0.75,0.745,None,2000,2,1
1999-06-01,CA,1999-06-01,0.49,0.39,None,2000,1,1
