date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-02-10,CERN,2015-02-10,0.47,0.466,0.474761904762,2014,4,1
2014-10-23,CERN,2014-10-23,0.42,0.421,0.426666666667,2014,3,0
2014-07-24,CERN,2014-07-24,0.4,0.396,0.403076923077,2014,2,1
2014-04-24,CERN,2014-04-24,0.37,0.371,0.377857142857,2014,1,0
2014-02-04,CERN,2014-02-04,0.39,0.389,0.396875,2013,4,1
2013-10-24,CERN,2013-10-24,0.35,0.354,0.357142857143,2013,3,0
2013-07-25,CERN,2013-07-25,0.34,0.338,0.344444444444,2013,2,1
2013-04-25,CERN,2013-04-25,0.33,0.32,0.325454545455,2013,1,1
2013-02-05,CERN,2013-02-05,0.34,0.32,0.331818181818,2012,4,1
2012-10-25,CERN,2012-10-25,0.3,0.3,0.309,2012,3,0
2012-07-26,CERN,2012-07-26,0.3,0.28,0.28,2012,2,1
2012-04-26,CERN,2012-04-26,0.27,0.25,0.262857142857,2012,1,1
2012-02-07,CERN,2012-02-07,0.28,0.27,None,2011,4,1
2011-10-27,CERN,2011-10-27,0.24,0.24,0.253333333333,2011,3,0
2011-07-28,CERN,2011-07-28,0.22,0.22,None,2011,2,0
2011-04-28,CERN,2011-04-28,0.2,0.19,None,2011,1,1
2011-02-08,CERN,2011-02-08,0.22,0.21,None,2010,4,1
2010-10-28,CERN,2010-10-28,0.19,0.19,None,2010,3,0
2010-07-28,CERN,2010-07-28,0.18,0.17,None,2010,2,1
2010-04-28,CERN,2010-04-28,0.16,0.15,None,2010,1,1
2010-02-09,CERN,2010-02-09,0.19,0.17,None,2009,4,1
2009-10-28,CERN,2009-10-28,0.16,0.14,None,2009,3,1
2009-06-01,CERN,2009-06-01,0.14,0.14,None,2009,2,0
2009-03-01,CERN,2009-03-01,0.13,0.12,None,2009,1,1
2008-12-01,CERN,2008-12-01,0.17,0.15,None,2008,4,1
2008-09-01,CERN,2008-09-01,0.14,0.13,None,2008,3,1
2008-06-01,CERN,2008-06-01,0.13,0.12,None,2008,2,1
2008-03-01,CERN,2008-03-01,0.12,0.1,None,2008,1,1
2007-12-01,CERN,2007-12-01,0.13,0.12,None,2007,4,1
2007-09-01,CERN,2007-09-01,0.1,0.1,None,2007,3,0
2007-06-01,CERN,2007-06-01,0.09,0.09,None,2007,2,0
2007-03-01,CERN,2007-03-01,0.08,0.08,None,2007,1,0
2006-12-01,CERN,2006-12-01,0.1,0.09,None,2006,4,1
2006-09-01,CERN,2006-09-01,0.08,0.08,None,2006,3,0
2006-06-01,CERN,2006-06-01,0.08,0.08,None,2006,2,0
2006-03-01,CERN,2006-03-01,0.07,0.07,None,2006,1,0
2005-12-01,CERN,2005-12-01,0.09,0.09,None,2005,4,0
2005-09-01,CERN,2005-09-01,0.07,0.07,None,2005,3,0
2005-06-01,CERN,2005-06-01,0.06,0.06,None,2005,2,0
2005-03-01,CERN,2005-03-01,0.05,0.05,None,2005,1,0
2004-12-01,CERN,2004-12-01,0.07,0.07,None,2004,4,0
2004-09-01,CERN,2004-09-01,0.06,0.06,None,2004,3,0
2004-06-01,CERN,2004-06-01,0.05,0.05,None,2004,2,0
2004-03-01,CERN,2004-03-01,0.04,0.04,None,2004,1,0
2003-12-01,CERN,2003-12-01,0.06,0.05,None,2003,4,1
2003-09-01,CERN,2003-09-01,0.04,0.04,None,2003,3,0
2003-06-01,CERN,2003-06-01,0.03,0.03,None,2003,2,0
2003-03-01,CERN,2003-03-01,0.02,0.02,None,2003,1,0
2002-12-01,CERN,2002-12-01,0.05,0.05,None,2002,4,0
2002-09-01,CERN,2002-09-01,0.05,0.05,None,2002,3,0
2002-06-01,CERN,2002-06-01,0.04,0.04,None,2002,2,0
2002-03-01,CERN,2002-03-01,0.04,0.03,None,2002,1,1
2001-12-01,CERN,2001-12-01,0.04,0.04,None,2001,4,0
2001-09-01,CERN,2001-09-01,0.03,0.03,None,2001,3,0
2001-06-01,CERN,2001-06-01,0.03,0.02,None,2001,2,1
2001-03-01,CERN,2001-03-01,0.02,0.02,None,2001,1,0
2000-12-01,CERN,2000-12-01,0.03,0.02,None,2000,4,1
2000-09-01,CERN,2000-09-01,0.02,0.02,None,2000,3,0
2000-06-01,CERN,2000-06-01,0.02,0.01,None,2000,2,1
2000-03-01,CERN,2000-03-01,0.01,0.0,None,2000,1,1
