date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-08-13,CSCO,2014-08-13,0.55,0.527,0.540526315789,2014,4,1
2014-05-14,CSCO,2014-05-14,0.51,0.477,0.491206896552,2014,3,1
2014-02-12,CSCO,2014-02-12,0.47,0.458,0.464038461538,2014,2,1
2013-11-13,CSCO,2013-11-13,0.53,0.502,0.510303030303,2014,1,1
2013-08-14,CSCO,2013-08-14,0.52,0.513,0.5244,2013,4,1
2013-05-15,CSCO,2013-05-15,0.51,0.491,0.507142857143,2013,3,1
2013-02-13,CSCO,2013-02-13,0.51,0.479,0.501111111111,2013,2,1
2012-11-13,CSCO,2012-11-13,0.48,0.46,0.470967741935,2013,1,1
2012-08-15,CSCO,2012-08-15,0.47,0.46,0.471739130435,2012,4,1
2012-05-09,CSCO,2012-05-09,0.48,0.47,0.486136363636,2012,3,1
2012-02-08,CSCO,2012-02-08,0.47,0.43,0.4525,2012,2,1
2011-11-09,CSCO,2011-11-09,0.43,0.39,None,2012,1,1
2011-08-10,CSCO,2011-08-10,0.4,0.38,None,2011,4,1
2011-05-11,CSCO,2011-05-11,0.42,0.37,None,2011,3,1
2011-02-09,CSCO,2011-02-09,0.37,0.35,None,2011,2,1
2010-10-01,CSCO,2010-10-01,0.42,0.4,None,2011,1,1
2010-07-01,CSCO,2010-07-01,0.43,0.43,None,2010,4,0
2010-04-01,CSCO,2010-04-01,0.42,0.42,None,2010,3,0
2010-01-01,CSCO,2010-01-01,0.4,0.4,None,2010,2,0
2009-10-01,CSCO,2009-10-01,0.36,0.36,None,2010,1,0
2009-07-01,CSCO,2009-07-01,0.31,0.289,None,2009,4,1
2009-04-01,CSCO,2009-04-01,0.3,0.25,None,2009,3,1
2009-01-01,CSCO,2009-01-01,0.32,0.3,None,2009,2,1
2008-10-01,CSCO,2008-10-01,0.42,0.36,None,2009,1,1
2008-07-01,CSCO,2008-07-01,0.42,0.39,None,2008,4,1
2008-04-01,CSCO,2008-04-01,0.38,0.36,None,2008,3,1
2008-01-01,CSCO,2008-01-01,0.38,0.38,None,2008,2,0
2007-10-01,CSCO,2007-10-01,0.4,0.36,None,2008,1,1
2007-07-01,CSCO,2007-07-01,0.36,0.35,None,2007,4,1
2007-04-01,CSCO,2007-04-01,0.34,0.33,None,2007,3,1
2007-01-01,CSCO,2007-01-01,0.33,0.31,None,2007,2,1
2006-10-01,CSCO,2006-10-01,0.31,0.29,None,2007,1,1
2006-07-01,CSCO,2006-07-01,0.3,0.28,None,2006,4,1
2006-04-01,CSCO,2006-04-01,0.29,0.26,None,2006,3,1
2006-01-01,CSCO,2006-01-01,0.26,0.25,None,2006,2,1
2005-10-01,CSCO,2005-10-01,0.25,0.24,None,2006,1,1
2005-07-01,CSCO,2005-07-01,0.25,0.25,None,2005,4,0
2005-04-01,CSCO,2005-04-01,0.23,0.22,None,2005,3,1
2005-01-01,CSCO,2005-01-01,0.22,0.22,None,2005,2,0
2004-10-01,CSCO,2004-10-01,0.21,0.21,None,2005,1,0
2004-07-01,CSCO,2004-07-01,0.21,0.2,None,2004,4,1
2004-04-01,CSCO,2004-04-01,0.19,0.18,None,2004,3,1
2004-01-01,CSCO,2004-01-01,0.18,0.17,None,2004,2,1
2003-10-01,CSCO,2003-10-01,0.17,0.15,None,2004,1,1
2003-07-01,CSCO,2003-07-01,0.15,0.15,None,2003,4,0
2003-04-01,CSCO,2003-04-01,0.15,0.14,None,2003,3,1
2003-01-01,CSCO,2003-01-01,0.15,0.13,None,2003,2,1
2002-10-01,CSCO,2002-10-01,0.14,0.13,None,2003,1,1
2002-07-01,CSCO,2002-07-01,0.14,0.12,None,2002,4,1
2002-04-01,CSCO,2002-04-01,0.11,0.09,None,2002,3,1
2002-01-01,CSCO,2002-01-01,0.09,0.05,None,2002,2,1
2001-10-01,CSCO,2001-10-01,0.04,0.02,None,2002,1,1
2001-07-01,CSCO,2001-07-01,0.02,0.02,None,2001,4,0
2001-04-01,CSCO,2001-04-01,0.03,0.01,None,2001,3,1
2001-01-01,CSCO,2001-01-01,0.18,0.19,None,2001,2,0
2000-10-01,CSCO,2000-10-01,0.18,0.17,None,2001,1,1
2000-07-01,CSCO,2000-07-01,0.16,0.15,None,2000,4,1
2000-04-01,CSCO,2000-04-01,0.14,0.135,None,2000,3,1
2000-01-01,CSCO,2000-01-01,0.12,0.125,None,2000,2,0
1999-10-01,CSCO,1999-10-01,0.11,0.12,None,2000,1,0
