date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-02-04,CTSH,2015-02-04,0.67,0.647,0.6494736842109999,2014,4,1
2014-11-05,CTSH,2014-11-05,0.66,0.5870000000000001,0.6155555555560001,2014,3,1
2014-08-06,CTSH,2014-08-06,0.61,0.58,0.615333333333,2014,2,1
2014-05-07,CTSH,2014-05-07,0.57,0.562,0.576666666667,2014,1,1
2014-02-05,CTSH,2014-02-05,0.53,0.53,0.545333333333,2013,4,0
2013-11-05,CTSH,2013-11-05,0.53,0.5,0.532,2013,3,1
2013-08-06,CTSH,2013-08-06,0.5,0.49,0.51,2013,2,1
2013-05-08,CTSH,2013-05-08,0.47,0.46,0.488333333333,2013,1,1
2013-02-07,CTSH,2013-02-07,0.46,0.46,0.470625,2012,4,0
2012-11-07,CTSH,2012-11-07,0.46,0.44,0.438333333333,2012,3,1
2012-08-06,CTSH,2012-08-06,0.41,0.4,0.41,2012,2,1
2012-05-07,CTSH,2012-05-07,0.4,0.4,0.4225,2012,1,0
2012-02-08,CTSH,2012-02-08,0.39,0.39,0.393333333333,2011,4,0
2011-11-02,CTSH,2011-11-02,0.37,0.36,0.0,2011,3,1
2011-08-02,CTSH,2011-08-02,0.34,0.33,0.0,2011,2,1
2011-05-03,CTSH,2011-05-03,0.36,0.32,0.0,2011,1,1
2011-02-07,CTSH,2011-02-07,0.35,0.33,0.0,2010,4,1
2010-11-01,CTSH,2010-11-01,0.35,0.3,0.0,2010,3,1
2010-08-03,CTSH,2010-08-03,0.3,0.26,0.0,2010,2,1
2010-05-04,CTSH,2010-05-04,0.27,0.24,0.0,2010,1,1
2009-12-01,CTSH,2009-12-01,0.25,0.0,0.0,2009,4,1
2009-09-01,CTSH,2009-09-01,0.24,0.0,0.0,2009,3,1
2009-06-01,CTSH,2009-06-01,0.25,0.19,0.0,2009,2,1
2009-03-01,CTSH,2009-03-01,0.21,0.19,0.0,2009,1,1
2008-12-01,CTSH,2008-12-01,0.21,0.19,0.0,2008,4,1
2008-09-01,CTSH,2008-09-01,0.2,0.19,0.0,2008,3,1
2008-06-01,CTSH,2008-06-01,0.2,0.18,0.0,2008,2,1
2008-03-01,CTSH,2008-03-01,0.19,0.16,0.0,2008,1,1
2007-12-01,CTSH,2007-12-01,0.18,0.16,0.0,2007,4,1
2007-09-01,CTSH,2007-09-01,0.17,0.14,0.0,2007,3,1
2007-06-01,CTSH,2007-06-01,0.15,0.13,0.0,2007,2,1
2007-03-01,CTSH,2007-03-01,0.13,0.12,0.0,2007,1,1
2006-12-01,CTSH,2006-12-01,0.12,0.11,0.0,2006,4,1
2006-09-01,CTSH,2006-09-01,0.1,0.1,0.0,2006,3,0
2006-06-01,CTSH,2006-06-01,0.09,0.08,0.0,2006,2,1
2006-03-01,CTSH,2006-03-01,0.08,0.07,0.0,2006,1,1
2005-12-01,CTSH,2005-12-01,0.08,0.07,0.0,2005,4,1
2005-09-01,CTSH,2005-09-01,0.07,0.07,0.0,2005,3,0
2005-06-01,CTSH,2005-06-01,0.06,0.06,0.0,2005,2,0
2005-03-01,CTSH,2005-03-01,0.06,0.05,0.0,2005,1,1
2004-12-01,CTSH,2004-12-01,0.05,0.05,0.0,2004,4,0
2004-09-01,CTSH,2004-09-01,0.05,0.05,0.0,2004,3,0
2004-06-01,CTSH,2004-06-01,0.04,0.04,0.0,2004,2,0
2004-03-01,CTSH,2004-03-01,0.04,0.03,0.0,2004,1,1
2003-12-01,CTSH,2003-12-01,0.03,0.03,0.0,2003,4,0
2003-09-01,CTSH,2003-09-01,0.03,0.03,0.0,2003,3,0
2003-06-01,CTSH,2003-06-01,0.03,0.02,0.0,2003,2,1
2003-03-01,CTSH,2003-03-01,0.02,0.02,0.0,2003,1,0
2002-12-01,CTSH,2002-12-01,0.02,0.02,0.0,2002,4,0
2002-09-01,CTSH,2002-09-01,0.02,0.02,0.0,2002,3,0
2002-06-01,CTSH,2002-06-01,0.02,0.02,0.0,2002,2,0
2002-03-01,CTSH,2002-03-01,0.01,0.01,0.0,2002,1,0
2001-12-01,CTSH,2001-12-01,0.01,0.01,0.0,2001,4,0
2001-09-01,CTSH,2001-09-01,0.01,0.01,0.0,2001,3,0
2001-06-01,CTSH,2001-06-01,0.01,0.01,0.0,2001,2,0
2001-03-01,CTSH,2001-03-01,0.01,0.01,0.0,2001,1,0
2000-12-01,CTSH,2000-12-01,0.01,0.01,0.0,2000,4,0
2000-09-01,CTSH,2000-09-01,0.01,0.01,0.0,2000,3,0
2000-06-01,CTSH,2000-06-01,0.01,0.0,0.0,2000,2,1
2000-03-01,CTSH,2000-03-01,0.013999999999999999,0.0,0.0,2000,1,1
