date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-01-28,CTXS,2015-01-28,1.1,1.035,1.05789473684,2014,4,1
2014-10-22,CTXS,2014-10-22,0.75,0.726,0.7596,2014,3,1
2014-07-23,CTXS,2014-07-23,0.78,0.605,0.62375,2014,2,1
2014-04-23,CTXS,2014-04-23,0.64,0.584,0.602352941176,2014,1,1
2014-01-29,CTXS,2014-01-29,1.04,0.977,0.9782352941179999,2013,4,1
2013-10-23,CTXS,2013-10-23,0.7,0.6940000000000001,0.694444444444,2013,3,1
2013-07-24,CTXS,2013-07-24,0.66,0.627,0.648,2013,2,1
2013-04-24,CTXS,2013-04-24,0.62,0.631,0.656363636364,2013,1,0
2013-01-30,CTXS,2013-01-30,0.9,0.84,0.8604347826090001,2012,4,1
2012-10-24,CTXS,2012-10-24,0.68,0.65,0.67875,2012,3,1
2012-07-25,CTXS,2012-07-25,0.71,0.59,0.607857142857,2012,2,1
2012-04-25,CTXS,2012-04-25,0.59,0.51,0.548421052632,2012,1,1
2012-01-25,CTXS,2012-01-25,0.78,0.76,0.7659999999999999,2011,4,1
2011-10-27,CTXS,2011-10-27,0.64,0.58,0.0,2011,3,1
2011-06-01,CTXS,2011-06-01,0.57,0.55,0.0,2011,2,1
2011-03-01,CTXS,2011-03-01,0.5,0.42,0.0,2011,1,1
2010-12-01,CTXS,2010-12-01,0.65,0.6,0.0,2010,4,1
2010-09-01,CTXS,2010-09-01,0.62,0.49,0.0,2010,3,1
2010-06-01,CTXS,2010-06-01,0.41,0.45,0.0,2010,2,0
2010-03-01,CTXS,2010-03-01,0.4,0.4,0.0,2010,1,0
2009-12-01,CTXS,2009-12-01,0.66,0.51,0.0,2009,4,1
2009-09-01,CTXS,2009-09-01,0.43,0.41,0.0,2009,3,1
2009-06-01,CTXS,2009-06-01,0.39,0.38,0.0,2009,2,1
2009-03-01,CTXS,2009-03-01,0.32,0.31,0.0,2009,1,1
2008-12-01,CTXS,2008-12-01,0.48,0.47,0.0,2008,4,1
2008-09-01,CTXS,2008-09-01,0.43,0.37,0.0,2008,3,1
2008-06-01,CTXS,2008-06-01,0.38,0.36,0.0,2008,2,1
2008-03-01,CTXS,2008-03-01,0.35,0.34,0.0,2008,1,1
2007-12-01,CTXS,2007-12-01,0.49,0.43,0.0,2007,4,1
2007-09-01,CTXS,2007-09-01,0.41,0.38,0.0,2007,3,1
2007-06-01,CTXS,2007-06-01,0.38,0.37,0.0,2007,2,1
2007-03-01,CTXS,2007-03-01,0.31,0.35,0.0,2007,1,0
2006-12-01,CTXS,2006-12-01,0.39,0.38,0.0,2006,4,1
2006-09-01,CTXS,2006-09-01,0.34,0.33,0.0,2006,3,1
2006-06-01,CTXS,2006-06-01,0.33,0.33,0.0,2006,2,0
2006-03-01,CTXS,2006-03-01,0.33,0.28,0.0,2006,1,1
2005-12-01,CTXS,2005-12-01,0.36,0.317,0.0,2005,4,1
2005-09-01,CTXS,2005-09-01,0.29,0.25,0.0,2005,3,1
2005-06-01,CTXS,2005-06-01,0.27,0.25,0.0,2005,2,1
2005-03-01,CTXS,2005-03-01,0.24,0.23,0.0,2005,1,1
2004-12-01,CTXS,2004-12-01,0.29,0.27,0.0,2004,4,1
2004-09-01,CTXS,2004-09-01,0.24,0.2,0.0,2004,3,1
2004-06-01,CTXS,2004-06-01,0.18,0.18,0.0,2004,2,0
2004-03-01,CTXS,2004-03-01,0.19,0.18,0.0,2004,1,1
2003-12-01,CTXS,2003-12-01,0.22,0.19,0.0,2003,4,1
2003-09-01,CTXS,2003-09-01,0.19,0.17,0.0,2003,3,1
2003-06-01,CTXS,2003-06-01,0.18,0.16,0.0,2003,2,1
2003-03-01,CTXS,2003-03-01,0.19,0.12,0.0,2003,1,1
2002-12-01,CTXS,2002-12-01,0.23,0.15,0.0,2002,4,1
2002-09-01,CTXS,2002-09-01,0.1,0.06,0.0,2002,3,1
2002-06-01,CTXS,2002-06-01,0.06,0.06,0.0,2002,2,0
2002-03-01,CTXS,2002-03-01,0.16,0.15,0.0,2002,1,1
2001-12-01,CTXS,2001-12-01,0.21,0.2,0.0,2001,4,1
2001-09-01,CTXS,2001-09-01,0.21,0.19,0.0,2001,3,1
2001-06-01,CTXS,2001-06-01,0.19,0.17,0.0,2001,2,1
2001-03-01,CTXS,2001-03-01,0.17,0.165,0.0,2001,1,1
2000-12-01,CTXS,2000-12-01,0.16,0.15,0.0,2000,4,1
2000-09-01,CTXS,2000-09-01,0.14,0.12,0.0,2000,3,1
2000-06-01,CTXS,2000-06-01,0.1,0.1,0.0,2000,2,0
2000-03-01,CTXS,2000-03-01,0.21,0.2,0.0,2000,1,1
