date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-05-06,EA,2014-05-06,0.48,0.10300000000000001,0.115789473684,2014,4,1
2014-01-28,EA,2014-01-28,1.26,1.2329999999999999,1.2405,2014,3,1
2013-10-29,EA,2013-10-29,0.33,0.11900000000000001,0.128235294118,2014,2,1
2013-07-23,EA,2013-07-23,-0.4,-0.59,-0.56,2014,1,1
2013-05-07,EA,2013-05-07,0.55,0.5710000000000001,0.56375,2013,4,0
2013-01-30,EA,2013-01-30,0.57,0.57,0.59,2013,3,0
2012-10-30,EA,2012-10-30,0.15,0.11,0.0757142857143,2013,2,1
2012-07-31,EA,2012-07-31,-0.41,-0.42,-0.40399999999999997,2013,1,1
2012-05-07,EA,2012-05-07,0.17,0.17,0.12300000000000001,2012,4,0
2012-02-01,EA,2012-02-01,0.99,0.93,0.96,2012,3,1
2011-10-27,EA,2011-10-27,0.05,-0.04,-0.08,2012,2,1
2011-07-26,EA,2011-07-26,-0.37,-0.39,0.0,2012,1,1
2011-05-04,EA,2011-05-04,0.25,0.22,0.0,2011,4,1
2011-02-01,EA,2011-02-01,0.59,0.56,0.0,2011,3,1
2010-11-02,EA,2010-11-02,0.1,-0.1,0.0,2011,2,1
2010-06-01,EA,2010-06-01,-0.24,-0.35,0.0,2011,1,1
2010-03-01,EA,2010-03-01,0.07,0.07,0.0,2010,4,0
2009-12-01,EA,2009-12-01,0.33,0.33,0.0,2010,3,0
2009-09-01,EA,2009-09-01,0.06,0.06,0.0,2010,2,0
2009-06-01,EA,2009-06-01,-0.02,-0.02,0.0,2010,1,0
2009-03-01,EA,2009-03-01,-0.37,0.0,0.0,2009,4,0
2008-12-01,EA,2008-12-01,0.56,0.89,0.0,2009,3,0
2008-09-01,EA,2008-09-01,-0.06,0.0,0.0,2009,2,0
2008-06-01,EA,2008-06-01,-0.42,0.0,0.0,2009,1,0
2008-03-01,EA,2008-03-01,-0.42,0.0,0.0,2008,4,0
2007-12-01,EA,2007-12-01,0.9,0.9,0.0,2008,3,0
2007-09-01,EA,2007-09-01,0.27,0.19,0.0,2008,2,1
2007-06-01,EA,2007-06-01,0.0,0.0,0.0,2008,1,0
2007-03-01,EA,2007-03-01,0.06,0.02,0.0,2007,4,1
2006-12-01,EA,2006-12-01,0.63,0.57,0.0,2007,3,1
2006-09-01,EA,2006-09-01,0.21,0.01,0.0,2007,2,1
2006-06-01,EA,2006-06-01,0.0,0.0,0.0,2007,1,0
2006-03-01,EA,2006-03-01,0.14,0.09,0.0,2006,4,1
2005-12-01,EA,2005-12-01,0.86,0.9,0.0,2006,3,0
2005-09-01,EA,2005-09-01,0.15,0.04,0.0,2006,2,1
2005-06-01,EA,2005-06-01,0.0,0.0,0.0,2006,1,0
2005-03-01,EA,2005-03-01,0.09,0.09,0.0,2005,4,0
2004-12-01,EA,2004-12-01,1.23,1.175,0.0,2005,3,1
2004-09-01,EA,2004-09-01,0.31,0.34,0.0,2005,2,0
2004-06-01,EA,2004-06-01,0.08,0.05,0.0,2005,1,1
2004-03-01,EA,2004-03-01,0.25,0.21,0.0,2004,4,1
2003-12-01,EA,2003-12-01,1.26,1.19,0.0,2004,3,1
2003-09-01,EA,2003-09-01,0.25,0.225,0.0,2004,2,1
2003-06-01,EA,2003-06-01,0.065,0.01,0.0,2004,1,1
2003-03-01,EA,2003-03-01,0.2,0.17,0.0,2003,4,1
2002-12-01,EA,2002-12-01,0.895,0.795,0.0,2003,3,1
2002-09-01,EA,2002-09-01,0.175,0.08800000000000001,0.0,2003,2,1
2002-06-01,EA,2002-06-01,0.03,0.0,0.0,2003,1,1
2002-03-01,EA,2002-03-01,0.195,0.145,0.0,2002,4,1
2001-12-01,EA,2001-12-01,0.515,0.445,0.0,2002,3,1
2001-09-01,EA,2001-09-01,0.0,0.0,0.0,2002,2,0
2001-06-01,EA,2001-06-01,0.0,0.0,0.0,2002,1,0
2001-03-01,EA,2001-03-01,0.0,0.0,0.0,2001,4,0
2000-12-01,EA,2000-12-01,0.33,0.34299999999999997,0.0,2001,3,0
2000-09-01,EA,2000-09-01,0.0,0.0,0.0,2001,2,0
2000-06-01,EA,2000-06-01,0.0,0.0,0.0,2001,1,0
2000-03-01,EA,2000-03-01,0.03,0.0,0.0,2000,4,1
1999-12-01,EA,1999-12-01,0.345,0.368,0.0,2000,3,0
1999-09-01,EA,1999-09-01,0.07,0.0,0.0,2000,2,1
1999-06-01,EA,1999-06-01,0.01,0.0,0.0,2000,1,1
