date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-02-19,EQIX,2015-02-19,0.56,0.767,0.972,2014,4,0
2014-10-29,EQIX,2014-10-29,0.81,0.875,0.884,2014,3,0
2014-07-30,EQIX,2014-07-30,0.22,0.807,0.828,2014,2,0
2014-04-30,EQIX,2014-04-30,0.81,0.73,0.766666666667,2014,1,1
2014-02-19,EQIX,2014-02-19,0.88,0.784,0.79875,2013,4,1
2013-10-23,EQIX,2013-10-23,0.72,0.575,0.58,2013,3,1
2013-07-24,EQIX,2013-07-24,0.09,0.593,0.636666666667,2013,2,0
2013-04-24,EQIX,2013-04-24,0.71,0.746,0.833333333333,2013,1,0
2013-02-13,EQIX,2013-02-13,0.88,0.624,0.602727272727,2012,4,1
2012-10-30,EQIX,2012-10-30,0.57,0.57,0.0,2012,3,0
2012-07-25,EQIX,2012-07-25,0.72,0.6,0.0,2012,2,1
2012-04-25,EQIX,2012-04-25,0.72,0.49,0.0,2012,1,1
2012-02-15,EQIX,2012-02-15,0.35,0.44,0.0,2011,4,0
2011-10-26,EQIX,2011-10-26,0.19,0.43,0.56,2011,3,0
2011-07-27,EQIX,2011-07-27,0.64,0.47,0.0,2011,2,1
2011-04-27,EQIX,2011-04-27,0.53,0.29,0.0,2011,1,1
2011-02-09,EQIX,2011-02-09,0.29,0.23,0.0,2010,4,1
2010-10-26,EQIX,2010-10-26,0.24,0.26,0.0,2010,3,0
2010-07-28,EQIX,2010-07-28,-0.05,0.25,0.0,2010,2,0
2010-03-01,EQIX,2010-03-01,0.35,0.43,0.0,2010,1,0
2009-12-01,EQIX,2009-12-01,0.44,0.33,0.0,2009,4,1
2009-09-01,EQIX,2009-09-01,0.47,0.31,0.0,2009,3,1
2009-06-01,EQIX,2009-06-01,0.44,0.325,0.0,2009,2,1
2009-03-01,EQIX,2009-03-01,0.4,0.16,0.0,2009,1,1
2008-12-01,EQIX,2008-12-01,-0.19,0.24,0.0,2008,4,0
2008-09-01,EQIX,2008-09-01,0.15,0.12,0.0,2008,3,1
2008-06-01,EQIX,2008-06-01,0.02,0.16,0.0,2008,2,0
2008-03-01,EQIX,2008-03-01,0.1,0.0,0.0,2008,1,1
2007-12-01,EQIX,2007-12-01,-0.17,0.0,0.0,2007,4,0
2007-09-01,EQIX,2007-09-01,0.2,0.0,0.0,2007,3,1
2007-06-01,EQIX,2007-06-01,0.05,0.0,0.0,2007,2,1
2007-03-01,EQIX,2007-03-01,0.0,0.0,0.0,2007,1,0
2006-12-01,EQIX,2006-12-01,0.02,0.0,0.0,2006,4,1
2006-09-01,EQIX,2006-09-01,0.0,0.0,0.0,2006,3,0
2006-06-01,EQIX,2006-06-01,0.0,0.0,0.0,2006,2,0
2006-03-01,EQIX,2006-03-01,0.1,0.03,0.0,2006,1,1
2005-12-01,EQIX,2005-12-01,0.05,0.025,0.0,2005,4,1
2005-09-01,EQIX,2005-09-01,0.0,0.0,0.0,2005,3,0
2005-06-01,EQIX,2005-06-01,0.0,0.0,0.0,2005,2,0
2005-03-01,EQIX,2005-03-01,0.0,0.0,0.0,2005,1,0
2004-12-01,EQIX,2004-12-01,0.0,0.0,0.0,2004,4,0
2004-09-01,EQIX,2004-09-01,0.0,0.0,0.0,2004,3,0
2004-06-01,EQIX,2004-06-01,0.0,0.0,0.0,2004,2,0
2004-03-01,EQIX,2004-03-01,0.0,0.0,0.0,2004,1,0
2003-12-01,EQIX,2003-12-01,0.0,0.0,0.0,2003,4,0
2003-09-01,EQIX,2003-09-01,0.0,0.0,0.0,2003,3,0
2003-06-01,EQIX,2003-06-01,0.0,0.0,0.0,2003,2,0
2003-03-01,EQIX,2003-03-01,0.0,0.0,0.0,2003,1,0
2002-12-01,EQIX,2002-12-01,0.0,0.0,0.0,2002,4,0
2002-09-01,EQIX,2002-09-01,0.0,0.0,0.0,2002,3,0
2002-06-01,EQIX,2002-06-01,0.0,0.0,0.0,2002,2,0
2002-03-01,EQIX,2002-03-01,0.0,0.0,0.0,2002,1,0
2001-12-01,EQIX,2001-12-01,0.0,0.0,0.0,2001,4,0
2001-09-01,EQIX,2001-09-01,0.0,0.0,0.0,2001,3,0
2001-06-01,EQIX,2001-06-01,0.0,0.0,0.0,2001,2,0
2001-03-01,EQIX,2001-03-01,0.0,0.0,0.0,2001,1,0
2000-12-01,EQIX,2000-12-01,0.0,0.0,0.0,2000,4,0
2000-09-01,EQIX,2000-09-01,0.0,0.0,0.0,2000,3,0
2000-06-01,EQIX,2000-06-01,0.0,0.0,0.0,2000,2,0
2000-03-01,EQIX,2000-03-01,0.0,0.0,0.0,2000,1,0
