date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-10-29,FFIV,2014-10-29,1.57,1.4769999999999999,1.4908571428600002,2014,4,1
2014-07-23,FFIV,2014-07-23,1.39,1.348,1.36034482759,2014,3,1
2014-04-23,FFIV,2014-04-23,1.27,1.25,1.26136363636,2014,2,1
2014-01-22,FFIV,2014-01-22,1.22,1.193,1.215,2014,1,1
2013-10-23,FFIV,2013-10-23,1.26,1.188,1.2004761904799999,2013,4,1
2013-07-24,FFIV,2013-07-24,1.12,1.083,1.07857142857,2013,3,1
2013-04-24,FFIV,2013-04-24,1.07,1.088,1.09454545455,2013,2,0
2013-01-23,FFIV,2013-01-23,1.14,1.15,1.15868421053,2013,1,0
2012-10-24,FFIV,2012-10-24,1.12,1.18,1.18526315789,2012,4,0
2012-07-18,FFIV,2012-07-18,1.14,1.14,1.1425,2012,3,0
2012-04-18,FFIV,2012-04-18,1.09,1.07,1.09533333333,2012,2,1
2012-01-18,FFIV,2012-01-18,1.03,1.01,1.0233333333299999,2012,1,1
2011-10-25,FFIV,2011-10-25,1.06,0.98,0.9740000000000001,2011,4,1
2011-07-20,FFIV,2011-07-20,0.97,0.91,0.0,2011,3,1
2011-04-20,FFIV,2011-04-20,0.88,0.85,0.0,2011,2,1
2011-01-19,FFIV,2011-01-19,0.88,0.83,0.0,2011,1,1
2010-10-26,FFIV,2010-10-26,0.79,0.72,0.0,2010,4,1
2010-07-21,FFIV,2010-07-21,0.66,0.59,0.0,2010,3,1
2010-03-01,FFIV,2010-03-01,0.56,0.54,0.0,2010,2,1
2009-12-01,FFIV,2009-12-01,0.52,0.49,0.0,2010,1,1
2009-09-01,FFIV,2009-09-01,0.5,0.41,0.0,2009,4,1
2009-06-01,FFIV,2009-06-01,0.4,0.37,0.0,2009,3,1
2009-03-01,FFIV,2009-03-01,0.38,0.38,0.0,2009,2,0
2008-12-01,FFIV,2008-12-01,0.4,0.49,0.0,2009,1,0
2008-09-01,FFIV,2008-09-01,0.41,0.2,0.0,2008,4,1
2008-06-01,FFIV,2008-06-01,0.37,0.22,0.0,2008,3,1
2008-03-01,FFIV,2008-03-01,0.35,0.21,0.0,2008,2,1
2007-12-01,FFIV,2007-12-01,0.33,0.21,0.0,2008,1,1
2007-09-01,FFIV,2007-09-01,0.4,0.11,0.0,2007,4,1
2007-06-01,FFIV,2007-06-01,0.255,0.25,0.0,2007,3,1
2007-03-01,FFIV,2007-03-01,0.235,0.23,0.0,2007,2,1
2006-12-01,FFIV,2006-12-01,0.265,0.225,0.0,2007,1,1
2006-09-01,FFIV,2006-09-01,0.215,0.205,0.0,2006,4,1
2006-06-01,FFIV,2006-06-01,0.205,0.205,0.0,2006,3,0
2006-03-01,FFIV,2006-03-01,0.245,0.25,0.0,2006,2,0
2005-12-01,FFIV,2005-12-01,0.235,0.225,0.0,2006,1,1
2005-09-01,FFIV,2005-09-01,0.235,0.19,0.0,2005,4,1
2005-06-01,FFIV,2005-06-01,0.175,0.17,0.0,2005,3,1
2005-03-01,FFIV,2005-03-01,0.155,0.145,0.0,2005,2,1
2004-12-01,FFIV,2004-12-01,0.13,0.105,0.0,2005,1,1
2004-09-01,FFIV,2004-09-01,0.14,0.105,0.0,2004,4,1
2004-06-01,FFIV,2004-06-01,0.1,0.09,0.0,2004,3,1
2004-03-01,FFIV,2004-03-01,0.08,0.07,0.0,2004,2,1
2003-12-01,FFIV,2003-12-01,0.055,0.035,0.0,2004,1,1
2003-09-01,FFIV,2003-09-01,0.025,0.015,0.0,2003,4,1
2003-06-01,FFIV,2003-06-01,0.025,0.02,0.0,2003,3,1
2003-03-01,FFIV,2003-03-01,0.015,0.01,0.0,2003,2,1
2002-12-01,FFIV,2002-12-01,0.01,0.0,0.0,2003,1,1
2002-09-01,FFIV,2002-09-01,0.0,0.0,0.0,2002,4,0
2002-06-01,FFIV,2002-06-01,0.0,0.0,0.0,2002,3,0
2002-03-01,FFIV,2002-03-01,0.0,0.0,0.0,2002,2,0
2001-12-01,FFIV,2001-12-01,0.0,0.0,0.0,2002,1,0
2001-09-01,FFIV,2001-09-01,0.0,0.0,0.0,2001,4,0
2001-06-01,FFIV,2001-06-01,0.0,0.0,0.0,2001,3,0
2001-03-01,FFIV,2001-03-01,0.0,0.0,0.0,2001,2,0
2000-12-01,FFIV,2000-12-01,0.0,0.0,0.0,2001,1,0
2000-09-01,FFIV,2000-09-01,0.08,0.075,0.0,2000,4,1
2000-06-01,FFIV,2000-06-01,0.085,0.083,0.0,2000,3,1
2000-03-01,FFIV,2000-03-01,0.09,0.09,0.0,2000,2,0
1999-12-01,FFIV,1999-12-01,0.09,0.0,0.0,2000,1,1
