date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-02-06,FLIR,2015-02-06,0.52,0.486,0.495,2014,4,1
2014-10-24,FLIR,2014-10-24,0.39,0.349,0.3625,2014,3,1
2014-07-24,FLIR,2014-07-24,0.31,0.345,0.34333333333300003,2014,2,0
2014-04-25,FLIR,2014-04-25,0.25,0.258,0.245,2014,1,0
2014-02-07,FLIR,2014-02-07,0.2,0.365,0.0,2013,4,0
2013-10-24,FLIR,2013-10-24,0.32,0.32899999999999996,0.0,2013,3,0
2013-07-25,FLIR,2013-07-25,0.35,0.36700000000000005,0.0,2013,2,0
2013-04-26,FLIR,2013-04-26,0.35,0.344,0.35333333333300004,2013,1,1
2013-02-07,FLIR,2013-02-07,0.52,0.494,0.0,2012,4,1
2012-10-25,FLIR,2012-10-25,0.37,0.35,0.0,2012,3,1
2012-07-26,FLIR,2012-07-26,0.31,0.28,0.0,2012,2,1
2012-04-27,FLIR,2012-04-27,0.31,0.33,0.0,2012,1,0
2012-02-10,FLIR,2012-02-10,0.49,0.45,0.0,2011,4,1
2011-10-20,FLIR,2011-10-20,0.42,0.36,0.0,2011,3,1
2011-07-22,FLIR,2011-07-22,0.36,0.34,0.0,2011,2,1
2011-04-29,FLIR,2011-04-29,0.32,0.36,0.0,2011,1,0
2011-02-09,FLIR,2011-02-09,0.43,0.44,0.0,2010,4,0
2010-10-21,FLIR,2010-10-21,0.39,0.38,0.0,2010,3,1
2010-07-22,FLIR,2010-07-22,0.37,0.35,0.0,2010,2,1
2010-04-23,FLIR,2010-04-23,0.35,0.34,0.0,2010,1,1
2010-02-11,FLIR,2010-02-11,0.38,0.39,0.0,2009,4,0
2009-10-21,FLIR,2009-10-21,0.38,0.35,0.0,2009,3,1
2009-07-23,FLIR,2009-07-23,0.35,0.35100000000000003,0.0,2009,2,0
2009-03-01,FLIR,2009-03-01,0.35,0.3,0.0,2009,1,1
2008-12-01,FLIR,2008-12-01,0.41,0.38,0.0,2008,4,1
2008-09-01,FLIR,2008-09-01,0.35,0.315,0.0,2008,3,1
2008-06-01,FLIR,2008-06-01,0.29,0.27,0.0,2008,2,1
2008-03-01,FLIR,2008-03-01,0.24,0.22,0.0,2008,1,1
2007-12-01,FLIR,2007-12-01,0.3,0.29,0.0,2007,4,1
2007-09-01,FLIR,2007-09-01,0.22,0.195,0.0,2007,3,1
2007-06-01,FLIR,2007-06-01,0.19,0.18,0.0,2007,2,1
2007-03-01,FLIR,2007-03-01,0.175,0.145,0.0,2007,1,1
2006-12-01,FLIR,2006-12-01,0.265,0.25,0.0,2006,4,1
2006-09-01,FLIR,2006-09-01,0.15,0.14800000000000002,0.0,2006,3,1
2006-06-01,FLIR,2006-06-01,0.14,0.14,0.0,2006,2,0
2006-03-01,FLIR,2006-03-01,0.085,0.085,0.0,2006,1,0
2005-12-01,FLIR,2005-12-01,0.215,0.205,0.0,2005,4,1
2005-09-01,FLIR,2005-09-01,0.11,0.11,0.0,2005,3,0
2005-06-01,FLIR,2005-06-01,0.155,0.135,0.0,2005,2,1
2005-03-01,FLIR,2005-03-01,0.095,0.095,0.0,2005,1,0
2004-12-01,FLIR,2004-12-01,0.155,0.145,0.0,2004,4,1
2004-09-01,FLIR,2004-09-01,0.11,0.115,0.0,2004,3,0
2004-06-01,FLIR,2004-06-01,0.125,0.098,0.0,2004,2,1
2004-03-01,FLIR,2004-03-01,0.09,0.078,0.0,2004,1,1
2003-12-01,FLIR,2003-12-01,0.11,0.1,0.0,2003,4,1
2003-09-01,FLIR,2003-09-01,0.08,0.075,0.0,2003,3,1
2003-06-01,FLIR,2003-06-01,0.068,0.075,0.0,2003,2,0
2003-03-01,FLIR,2003-03-01,0.064,0.065,0.0,2003,1,0
2002-12-01,FLIR,2002-12-01,0.08900000000000001,0.085,0.0,2002,4,1
2002-09-01,FLIR,2002-09-01,0.075,0.064,0.0,2002,3,1
2002-06-01,FLIR,2002-06-01,0.068,0.068,0.0,2002,2,0
2002-03-01,FLIR,2002-03-01,0.061,0.059000000000000004,0.0,2002,1,1
2001-12-01,FLIR,2001-12-01,0.076,0.062,0.0,2001,4,1
2001-09-01,FLIR,2001-09-01,0.048,0.0,0.0,2001,3,1
2001-06-01,FLIR,2001-06-01,0.045,0.0,0.0,2001,2,1
2001-03-01,FLIR,2001-03-01,0.034,0.0,0.0,2001,1,1
2000-12-01,FLIR,2000-12-01,0.023,0.0,0.0,2000,4,1
2000-09-01,FLIR,2000-09-01,0.0,0.0,0.0,2000,3,0
2000-06-01,FLIR,2000-06-01,0.0,0.0,0.0,2000,2,0
2000-03-01,FLIR,2000-03-01,0.0,0.0,0.0,2000,1,0
