date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-02-19,FTR,2015-02-19,0.04,0.048,0.0528571428571,2014,4,0
2014-11-03,FTR,2014-11-03,0.05,0.036000000000000004,0.04,2014,3,1
2014-08-05,FTR,2014-08-05,0.05,0.047,0.0,2014,2,1
2014-05-06,FTR,2014-05-06,0.05,0.06,0.06,2014,1,0
2014-02-24,FTR,2014-02-24,0.07,0.065,0.076,2013,4,1
2013-11-05,FTR,2013-11-05,0.06,0.057999999999999996,0.0,2013,3,1
2013-08-07,FTR,2013-08-07,0.06,0.055,0.0,2013,2,1
2013-05-06,FTR,2013-05-06,0.05,0.059000000000000004,0.0,2013,1,0
2013-02-21,FTR,2013-02-21,0.06,0.067,0.0,2012,4,0
2012-11-06,FTR,2012-11-06,0.07,0.07,0.0,2012,3,0
2012-07-31,FTR,2012-07-31,0.08,0.04,0.0,2012,2,1
2012-05-07,FTR,2012-05-07,0.05,0.06,0.0,2012,1,0
2012-02-23,FTR,2012-02-23,0.07,0.05,0.0,2011,4,1
2011-11-03,FTR,2011-11-03,0.05,0.18,0.0,2011,3,0
2011-08-03,FTR,2011-08-03,0.06,0.16,0.0,2011,2,0
2011-05-05,FTR,2011-05-05,0.06,0.13,0.0,2011,1,0
2011-02-23,FTR,2011-02-23,0.05,0.09,0.0,2010,4,0
2010-11-08,FTR,2010-11-08,0.09,0.11,0.0,2010,3,0
2010-08-04,FTR,2010-08-04,0.19,0.07,0.0,2010,2,1
2010-05-06,FTR,2010-05-06,0.16,0.04,0.0,2010,1,1
2010-02-24,FTR,2010-02-24,0.15,0.157,0.0,2009,4,0
2009-09-01,FTR,2009-09-01,0.18,0.16,0.0,2009,3,1
2009-06-01,FTR,2009-06-01,0.11,0.12,0.0,2009,2,0
2009-03-01,FTR,2009-03-01,0.12,0.135,0.0,2009,1,0
2008-12-01,FTR,2008-12-01,0.11,0.15,0.0,2008,4,0
2008-09-01,FTR,2008-09-01,0.15,0.16,0.0,2008,3,0
2008-06-01,FTR,2008-06-01,0.15,0.16,0.0,2008,2,0
2008-03-01,FTR,2008-03-01,0.14,0.16,0.0,2008,1,0
2007-12-01,FTR,2007-12-01,0.18,0.16,0.0,2007,4,1
2007-09-01,FTR,2007-09-01,0.16,0.16,0.0,2007,3,0
2007-06-01,FTR,2007-06-01,0.12,0.17,0.0,2007,2,0
2007-03-01,FTR,2007-03-01,0.13,0.15,0.0,2007,1,0
2006-12-01,FTR,2006-12-01,0.2,0.16,0.0,2006,4,1
2006-09-01,FTR,2006-09-01,0.16,0.17,0.0,2006,3,0
2006-06-01,FTR,2006-06-01,0.17,0.15,0.0,2006,2,1
2006-03-01,FTR,2006-03-01,0.14,0.14,0.0,2006,1,0
2005-12-01,FTR,2005-12-01,0.18,0.138,0.0,2005,4,1
2005-09-01,FTR,2005-09-01,0.12,0.12,0.0,2005,3,0
2005-06-01,FTR,2005-06-01,0.13,0.12,0.0,2005,2,1
2005-03-01,FTR,2005-03-01,0.12,0.12,0.0,2005,1,0
2004-12-01,FTR,2004-12-01,0.14,0.12,0.0,2004,4,1
2004-09-01,FTR,2004-09-01,0.16,0.1,0.0,2004,3,1
2004-06-01,FTR,2004-06-01,0.11,0.1,0.0,2004,2,1
2004-03-01,FTR,2004-03-01,0.11,0.106,0.0,2004,1,1
