date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-01-29,GOOGL,2015-01-29,6.88,7.132999999999999,7.198707482989999,2014,4,0
2014-10-16,GOOGL,2014-10-16,6.35,6.4639999999999995,6.54519685039,2014,3,0
2014-07-17,GOOGL,2014-07-17,6.08,6.229,6.25346938776,2014,2,0
2014-04-16,GOOGL,2014-04-16,6.27,6.19,6.2476635514,2014,1,1
2014-01-30,GOOGL,2014-01-30,6.01,6.19,6.185533980580001,2013,4,0
2013-10-17,GOOGL,2013-10-17,5.37,5.17,5.22931818182,2013,3,1
2013-07-18,GOOGL,2013-07-18,4.78,5.4,5.55509433962,2013,2,0
2013-04-18,GOOGL,2013-04-18,5.79,5.31,5.35371428571,2013,1,1
2013-01-22,GOOGL,2013-01-22,5.33,5.29,5.32521367521,2012,4,1
2012-10-18,GOOGL,2012-10-18,4.51,5.33,5.36401869159,2012,3,0
2012-07-19,GOOGL,2012-07-19,5.06,5.02,5.16591549296,2012,2,1
2012-04-12,GOOGL,2012-04-12,5.04,4.83,4.8380952381,2012,1,1
2012-01-19,GOOGL,2012-01-19,4.75,5.25,5.23954545455,2011,4,0
2011-10-13,GOOGL,2011-10-13,4.86,4.37,4.69333333333,2011,3,1
2011-06-01,GOOGL,2011-06-01,4.37,3.93,0.0,2011,2,1
2011-03-01,GOOGL,2011-03-01,4.04,4.07,0.0,2011,1,0
2010-12-01,GOOGL,2010-12-01,4.38,4.05,0.0,2010,4,1
2010-09-01,GOOGL,2010-09-01,3.82,3.35,0.0,2010,3,1
2010-06-01,GOOGL,2010-06-01,3.23,3.26,0.0,2010,2,0
2010-03-01,GOOGL,2010-03-01,3.38,3.3,0.0,2010,1,1
2009-12-01,GOOGL,2009-12-01,3.4,3.26,0.0,2009,4,1
2009-09-01,GOOGL,2009-09-01,2.95,2.72,0.0,2009,3,1
2009-06-01,GOOGL,2009-06-01,2.68,2.54,0.0,2009,2,1
2009-03-01,GOOGL,2009-03-01,2.58,2.46,0.0,2009,1,1
2008-12-01,GOOGL,2008-12-01,2.55,2.49,0.0,2008,4,1
2008-09-01,GOOGL,2008-09-01,2.55,2.37,0.0,2008,3,1
2008-06-01,GOOGL,2008-06-01,2.46,2.35,0.0,2008,2,1
2008-03-01,GOOGL,2008-03-01,2.42,2.26,0.0,2008,1,1
2007-12-01,GOOGL,2007-12-01,2.22,2.24,0.0,2007,4,0
2007-09-01,GOOGL,2007-09-01,1.96,1.89,0.0,2007,3,1
2007-06-01,GOOGL,2007-06-01,1.78,1.8,0.0,2007,2,0
2007-03-01,GOOGL,2007-03-01,1.84,1.65,0.0,2007,1,1
2006-12-01,GOOGL,2006-12-01,1.59,1.46,0.0,2006,4,1
2006-09-01,GOOGL,2006-09-01,1.31,1.2,0.0,2006,3,1
2006-06-01,GOOGL,2006-06-01,1.25,1.11,0.0,2006,2,1
2006-03-01,GOOGL,2006-03-01,1.15,1.0,0.0,2006,1,1
2005-12-01,GOOGL,2005-12-01,0.77,0.89,0.0,2005,4,0
2005-09-01,GOOGL,2005-09-01,0.76,0.68,0.0,2005,3,1
2005-06-01,GOOGL,2005-06-01,0.68,0.61,0.0,2005,2,1
2005-03-01,GOOGL,2005-03-01,0.65,0.46,0.0,2005,1,1
2004-12-01,GOOGL,2004-12-01,0.46,0.39,0.0,2004,4,1
2004-09-01,GOOGL,2004-09-01,0.35,0.28,0.0,2004,3,1
2004-06-01,GOOGL,2004-06-01,0.29,0.0,0.0,2004,2,1
2004-03-01,GOOGL,2004-03-01,0.24,0.0,0.0,2004,1,1
