date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-01-15,INTC,2015-01-15,0.74,0.664,0.6655339805830001,2014,4,1
2014-10-14,INTC,2014-10-14,0.66,0.65,0.657586206897,2014,3,1
2014-07-15,INTC,2014-07-15,0.55,0.523,0.512533333333,2014,2,1
2014-04-15,INTC,2014-04-15,0.38,0.369,0.387222222222,2014,1,1
2014-01-16,INTC,2014-01-16,0.51,0.52,0.535714285714,2013,4,0
2013-10-15,INTC,2013-10-15,0.58,0.531,0.51875,2013,3,1
2013-07-17,INTC,2013-07-17,0.39,0.395,0.39607142857100003,2013,2,0
2013-04-16,INTC,2013-04-16,0.4,0.41600000000000004,0.425952380952,2013,1,0
2013-01-17,INTC,2013-01-17,0.51,0.45,0.520972222222,2012,4,1
2012-10-16,INTC,2012-10-16,0.58,0.5,0.5160526315789999,2012,3,1
2012-07-17,INTC,2012-07-17,0.54,0.52,0.539722222222,2012,2,1
2012-04-17,INTC,2012-04-17,0.56,0.5,0.5724,2012,1,1
2012-01-19,INTC,2012-01-19,0.64,0.61,0.663333333333,2011,4,1
2011-10-18,INTC,2011-10-18,0.69,0.61,0.63,2011,3,1
2011-07-20,INTC,2011-07-20,0.59,0.51,0.0,2011,2,1
2011-04-19,INTC,2011-04-19,0.58,0.46,0.0,2011,1,1
2011-01-13,INTC,2011-01-13,0.56,0.53,0.0,2010,4,1
2010-09-01,INTC,2010-09-01,0.52,0.5,0.0,2010,3,1
2010-06-01,INTC,2010-06-01,0.51,0.43,0.0,2010,2,1
2010-03-01,INTC,2010-03-01,0.43,0.38,0.0,2010,1,1
2009-12-01,INTC,2009-12-01,0.55,0.45,0.0,2009,4,1
2009-09-01,INTC,2009-09-01,0.33,0.27,0.0,2009,3,1
2009-06-01,INTC,2009-06-01,0.18,0.08,0.0,2009,2,1
2009-03-01,INTC,2009-03-01,0.11,0.02,0.0,2009,1,1
2008-12-01,INTC,2008-12-01,0.15,0.04,0.0,2008,4,1
2008-09-01,INTC,2008-09-01,0.15,0.34,0.0,2008,3,0
2008-06-01,INTC,2008-06-01,0.28,0.25,0.0,2008,2,1
2008-03-01,INTC,2008-03-01,0.29,0.25,0.0,2008,1,1
2007-12-01,INTC,2007-12-01,0.41,0.4,0.0,2007,4,1
2007-09-01,INTC,2007-09-01,0.3,0.3,0.0,2007,3,0
2007-06-01,INTC,2007-06-01,0.19,0.19,0.0,2007,2,0
2007-03-01,INTC,2007-03-01,0.22,0.22,0.0,2007,1,0
2006-12-01,INTC,2006-12-01,0.25,0.24,0.0,2006,4,1
2006-09-01,INTC,2006-09-01,0.21,0.17,0.0,2006,3,1
2006-06-01,INTC,2006-06-01,0.15,0.13,0.0,2006,2,1
2006-03-01,INTC,2006-03-01,0.23,0.22,0.0,2006,1,1
2005-12-01,INTC,2005-12-01,0.4,0.43,0.0,2005,4,0
2005-09-01,INTC,2005-09-01,0.38,0.36,0.0,2005,3,1
2005-06-01,INTC,2005-06-01,0.33,0.33,0.0,2005,2,0
2005-03-01,INTC,2005-03-01,0.34,0.31,0.0,2005,1,1
2004-12-01,INTC,2004-12-01,0.33,0.31,0.0,2004,4,1
2004-09-01,INTC,2004-09-01,0.264,0.27,0.0,2004,3,0
2004-06-01,INTC,2004-06-01,0.27,0.27,0.0,2004,2,0
2004-03-01,INTC,2004-03-01,0.27699999999999997,0.27,0.0,2004,1,1
2003-12-01,INTC,2003-12-01,0.27,0.25,0.0,2003,4,1
2003-09-01,INTC,2003-09-01,0.25,0.23,0.0,2003,3,1
2003-06-01,INTC,2003-06-01,0.14,0.13,0.0,2003,2,1
2003-03-01,INTC,2003-03-01,0.14,0.12,0.0,2003,1,1
2002-12-01,INTC,2002-12-01,0.16,0.14,0.0,2002,4,1
2002-09-01,INTC,2002-09-01,0.11,0.13,0.0,2002,3,0
2002-06-01,INTC,2002-06-01,0.1,0.11,0.0,2002,2,0
2002-03-01,INTC,2002-03-01,0.15,0.15,0.0,2002,1,0
2001-12-01,INTC,2001-12-01,0.15,0.11,0.0,2001,4,1
2001-09-01,INTC,2001-09-01,0.1,0.1,0.0,2001,3,0
2001-06-01,INTC,2001-06-01,0.12,0.11,0.0,2001,2,1
2001-03-01,INTC,2001-03-01,0.16,0.15,0.0,2001,1,1
2000-12-01,INTC,2000-12-01,0.38,0.38,0.0,2000,4,0
2000-09-01,INTC,2000-09-01,0.41,0.38,0.0,2000,3,1
2000-06-01,INTC,2000-06-01,0.5,0.49,0.0,2000,2,1
2000-03-01,INTC,2000-03-01,0.44,0.348,0.0,2000,1,1
