date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-08-21,INTU,2014-08-21,-0.01,0.073,0.0792857142857,2014,4,0
2014-05-20,INTU,2014-05-20,3.53,3.495,3.48733333333,2014,3,1
2014-02-20,INTU,2014-02-20,0.02,0.153,0.191538461538,2014,2,0
2013-11-21,INTU,2013-11-21,-0.06,-0.091,-0.0842857142857,2014,1,1
2013-08-20,INTU,2013-08-20,0.0,0.027999999999999997,0.04625,2013,4,0
2013-05-21,INTU,2013-05-21,2.97,2.949,2.9395,2013,3,1
2013-02-21,INTU,2013-02-21,0.33,0.425,0.437647058824,2013,2,0
2012-11-15,INTU,2012-11-15,-0.03,-0.06,-0.058421052631599996,2013,1,1
2012-08-21,INTU,2012-08-21,0.06,0.06,0.0642105263158,2012,4,0
2012-05-17,INTU,2012-05-17,2.51,2.48,2.4795652173900002,2012,3,1
2012-02-21,INTU,2012-02-21,0.51,0.45,0.0,2012,2,1
2011-11-17,INTU,2011-11-17,-0.1,-0.12,0.0,2012,1,1
2011-08-18,INTU,2011-08-18,0.02,0.0,0.0,2011,4,1
2011-05-19,INTU,2011-05-19,2.33,2.27,0.0,2011,3,1
2011-02-17,INTU,2011-02-17,0.32,0.3,0.0,2011,2,1
2010-11-18,INTU,2010-11-18,-0.08,-0.12,0.0,2011,1,1
2010-08-19,INTU,2010-08-19,-0.05,-0.05,0.0,2010,4,0
2010-05-20,INTU,2010-05-20,1.89,1.89,0.0,2010,3,0
2010-02-18,INTU,2010-02-18,0.38,0.38,0.0,2010,2,0
2009-10-01,INTU,2009-10-01,-0.1,-0.1,0.0,2010,1,0
2009-07-01,INTU,2009-07-01,-0.1,0.0,0.0,2009,4,0
2009-04-01,INTU,2009-04-01,1.68,1.605,0.0,2009,3,1
2009-01-01,INTU,2009-01-01,0.34,0.265,0.0,2009,2,1
2008-10-01,INTU,2008-10-01,-0.09,-0.1,0.0,2009,1,1
2008-07-01,INTU,2008-07-01,-0.08,0.0,0.0,2008,4,0
2008-04-01,INTU,2008-04-01,-0.08,1.33,0.0,2008,3,0
2008-01-01,INTU,2008-01-01,1.39,0.36,0.0,2008,2,1
2007-10-01,INTU,2007-10-01,-0.1,0.0,0.0,2008,1,0
2007-07-01,INTU,2007-07-01,-0.02,0.0,0.0,2007,4,0
2007-04-01,INTU,2007-04-01,1.13,1.07,0.0,2007,3,1
2007-01-01,INTU,2007-01-01,0.45,0.42,0.0,2007,2,1
2006-10-01,INTU,2006-10-01,0.0,0.0,0.0,2007,1,0
2006-07-01,INTU,2006-07-01,0.0,0.0,0.0,2006,4,0
2006-04-01,INTU,2006-04-01,0.855,0.845,0.0,2006,3,1
2006-01-01,INTU,2006-01-01,0.485,0.475,0.0,2006,2,1
2005-10-01,INTU,2005-10-01,0.0,0.0,0.0,2006,1,0
2005-07-01,INTU,2005-07-01,0.0,0.0,0.0,2005,4,0
2005-04-01,INTU,2005-04-01,0.775,0.775,0.0,2005,3,0
2005-01-01,INTU,2005-01-01,0.41,0.38,0.0,2005,2,1
2004-10-01,INTU,2004-10-01,0.0,0.0,0.0,2005,1,0
2004-07-01,INTU,2004-07-01,0.0,0.0,0.0,2004,4,0
2004-04-01,INTU,2004-04-01,0.6,0.58,0.0,2004,3,1
2004-01-01,INTU,2004-01-01,0.385,0.349,0.0,2004,2,1
2003-10-01,INTU,2003-10-01,0.0,0.0,0.0,2004,1,0
2003-07-01,INTU,2003-07-01,0.0,0.0,0.0,2003,4,0
2003-04-01,INTU,2003-04-01,0.525,0.51,0.0,2003,3,1
2003-01-01,INTU,2003-01-01,0.305,0.285,0.0,2003,2,1
2002-10-01,INTU,2002-10-01,0.0,0.0,0.0,2003,1,0
2002-07-01,INTU,2002-07-01,0.0,0.0,0.0,2002,4,0
2002-04-01,INTU,2002-04-01,0.375,0.36,0.0,2002,3,1
2002-01-01,INTU,2002-01-01,0.305,0.285,0.0,2002,2,1
2001-10-01,INTU,2001-10-01,0.0,0.0,0.0,2002,1,0
2001-07-01,INTU,2001-07-01,0.0,0.0,0.0,2001,4,0
2001-04-01,INTU,2001-04-01,0.275,0.265,0.0,2001,3,1
2001-01-01,INTU,2001-01-01,0.24,0.225,0.0,2001,2,1
2000-10-01,INTU,2000-10-01,0.0,0.0,0.0,2001,1,0
2000-07-01,INTU,2000-07-01,0.0,0.0,0.0,2000,4,0
2000-04-01,INTU,2000-04-01,0.18,0.165,0.0,2000,3,1
2000-01-01,INTU,2000-01-01,0.22,0.22,0.0,2000,2,0
1999-10-01,INTU,1999-10-01,0.0,0.0,0.0,2000,1,0
