date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-07-24,KLAC,2014-07-24,0.8,0.895,0.9111111111110001,2014,4,0
2014-04-24,KLAC,2014-04-24,1.23,1.102,1.085,2014,3,1
2014-01-23,KLAC,2014-01-23,0.85,0.7859999999999999,0.8733333333329999,2014,2,1
2013-10-24,KLAC,2013-10-24,0.68,0.657,0.0,2014,1,1
2013-07-25,KLAC,2013-07-25,0.82,0.7859999999999999,0.8079999999999999,2013,4,1
2013-04-25,KLAC,2013-04-25,1.01,0.8590000000000001,0.8825,2013,3,1
2013-01-24,KLAC,2013-01-24,0.63,0.56,0.5733333333330001,2013,2,1
2012-10-25,KLAC,2012-10-25,0.84,0.87,0.0,2013,1,0
2012-07-26,KLAC,2012-07-26,1.49,1.32,0.0,2012,4,1
2012-04-26,KLAC,2012-04-26,1.27,1.09,0.0,2012,3,1
2012-01-26,KLAC,2012-01-26,0.72,0.66,0.0,2012,2,1
2011-10-27,KLAC,2011-10-27,1.17,1.165,0.0,2012,1,1
2011-07-28,KLAC,2011-07-28,1.5,1.403,0.0,2011,4,1
2011-04-28,KLAC,2011-04-28,1.31,1.24,0.0,2011,3,1
2011-01-27,KLAC,2011-01-27,1.1,1.05,0.0,2011,2,1
2010-10-28,KLAC,2010-10-28,0.99,0.85,0.0,2011,1,1
2010-07-29,KLAC,2010-07-29,0.7,0.6,0.0,2010,4,1
2010-04-29,KLAC,2010-04-29,0.41,0.34,0.0,2010,3,1
2009-12-01,KLAC,2009-12-01,0.28,0.275,0.0,2010,2,1
2009-09-01,KLAC,2009-09-01,0.15,0.01,0.0,2010,1,1
2009-06-01,KLAC,2009-06-01,-0.09,0.0,0.0,2009,4,0
2009-03-01,KLAC,2009-03-01,-0.34,0.0,0.0,2009,3,0
2008-12-01,KLAC,2008-12-01,-0.12,0.0,0.0,2009,2,0
2008-09-01,KLAC,2008-09-01,0.32,0.34,0.0,2009,1,0
2008-06-01,KLAC,2008-06-01,0.6,0.57,0.0,2008,4,1
2008-03-01,KLAC,2008-03-01,0.67,0.62,0.0,2008,3,1
2007-12-01,KLAC,2007-12-01,0.75,0.7,0.0,2008,2,1
2007-09-01,KLAC,2007-09-01,0.75,0.75,0.0,2008,1,0
2007-06-01,KLAC,2007-06-01,0.9,0.85,0.0,2007,4,1
2007-03-01,KLAC,2007-03-01,0.88,0.78,0.0,2007,3,1
2006-12-01,KLAC,2006-12-01,0.72,0.705,0.0,2007,2,1
2006-09-01,KLAC,2006-09-01,0.67,0.67,0.0,2007,1,0
2006-06-01,KLAC,2006-06-01,0.65,0.605,0.0,2006,4,1
2006-03-01,KLAC,2006-03-01,0.48,0.42,0.0,2006,3,1
2005-12-01,KLAC,2005-12-01,0.5,0.47,0.0,2006,2,1
2005-09-01,KLAC,2005-09-01,0.5,0.48,0.0,2006,1,1
2005-06-01,KLAC,2005-06-01,0.52,0.47,0.0,2005,4,1
2005-03-01,KLAC,2005-03-01,0.61,0.55,0.0,2005,3,1
2004-12-01,KLAC,2004-12-01,0.61,0.59,0.0,2005,2,1
2004-09-01,KLAC,2004-09-01,0.58,0.56,0.0,2005,1,1
2004-06-01,KLAC,2004-06-01,0.48,0.45,0.0,2004,4,1
2004-03-01,KLAC,2004-03-01,0.33,0.29,0.0,2004,3,1
2003-12-01,KLAC,2003-12-01,0.22,0.19,0.0,2004,2,1
2003-09-01,KLAC,2003-09-01,0.18,0.17,0.0,2004,1,1
2003-06-01,KLAC,2003-06-01,0.15,0.14300000000000002,0.0,2003,4,1
2003-03-01,KLAC,2003-03-01,0.14,0.12,0.0,2003,3,1
2002-12-01,KLAC,2002-12-01,0.15,0.14,0.0,2003,2,1
2002-09-01,KLAC,2002-09-01,0.23,0.23,0.0,2003,1,0
2002-06-01,KLAC,2002-06-01,0.23,0.2,0.0,2002,4,1
2002-03-01,KLAC,2002-03-01,0.17,0.15,0.0,2002,3,1
2001-12-01,KLAC,2001-12-01,0.25,0.23,0.0,2002,2,1
2001-09-01,KLAC,2001-09-01,0.44,0.43,0.0,2002,1,1
2001-06-01,KLAC,2001-06-01,0.29,0.26,0.0,2001,4,1
2001-03-01,KLAC,2001-03-01,0.48,0.44,0.0,2001,3,1
2000-12-01,KLAC,2000-12-01,0.57,0.56,0.0,2001,2,1
2000-09-01,KLAC,2000-09-01,0.54,0.51,0.0,2001,1,1
2000-06-01,KLAC,2000-06-01,0.47,0.43,0.0,2000,4,1
2000-03-01,KLAC,2000-03-01,0.38,0.35,0.0,2000,3,1
1999-12-01,KLAC,1999-12-01,0.26,0.24,0.0,2000,2,1
1999-09-01,KLAC,1999-09-01,0.19,0.17,0.0,2000,1,1
