date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-07-22,LLTC,2014-07-22,0.59,0.505,0.504545454545,2014,4,1
2014-04-15,LLTC,2014-04-15,0.48,0.465,0.47733333333300004,2014,3,1
2014-01-14,LLTC,2014-01-14,0.44,0.44,0.455882352941,2014,2,0
2013-10-15,LLTC,2013-10-15,0.47,0.451,0.465,2014,1,1
2013-07-23,LLTC,2013-07-23,0.44,0.42200000000000004,0.44222222222199997,2013,4,1
2013-04-16,LLTC,2013-04-16,0.48,0.429,0.465,2013,3,1
2013-01-15,LLTC,2013-01-15,0.4,0.4,0.425,2013,2,0
2012-10-16,LLTC,2012-10-16,0.45,0.46,0.48058823529399997,2013,1,0
2012-07-24,LLTC,2012-07-24,0.5,0.47,0.482857142857,2012,4,1
2012-04-17,LLTC,2012-04-17,0.49,0.42,0.446,2012,3,1
2012-01-17,LLTC,2012-01-17,0.45,0.39,0.0,2012,2,1
2011-10-18,LLTC,2011-10-18,0.53,0.48,0.0,2012,1,1
2011-07-26,LLTC,2011-07-26,0.76,0.56,0.0,2011,4,1
2011-04-19,LLTC,2011-04-19,0.69,0.56,0.0,2011,3,1
2011-01-18,LLTC,2011-01-18,0.7,0.58,0.0,2011,2,1
2010-10-12,LLTC,2010-10-12,0.67,0.62,0.0,2011,1,1
2010-07-20,LLTC,2010-07-20,0.66,0.59,0.0,2010,4,1
2010-04-13,LLTC,2010-04-13,0.52,0.46,0.0,2010,3,1
2010-01-12,LLTC,2010-01-12,0.41,0.35,0.0,2010,2,1
2009-09-01,LLTC,2009-09-01,0.34,0.29,0.0,2010,1,1
2009-06-01,LLTC,2009-06-01,0.31,0.22,0.0,2009,4,1
2009-03-01,LLTC,2009-03-01,0.31,0.22,0.0,2009,3,1
2008-12-01,LLTC,2008-12-01,0.46,0.35,0.0,2009,2,1
2008-09-01,LLTC,2008-09-01,0.52,0.29,0.0,2009,1,1
2008-06-01,LLTC,2008-06-01,0.51,0.45,0.0,2008,4,1
2008-03-01,LLTC,2008-03-01,0.49,0.43,0.0,2008,3,1
2007-12-01,LLTC,2007-12-01,0.46,0.41,0.0,2008,2,1
2007-09-01,LLTC,2007-09-01,0.45,0.38,0.0,2008,1,1
2007-06-01,LLTC,2007-06-01,0.36,0.345,0.0,2007,4,1
2007-03-01,LLTC,2007-03-01,0.32,0.32,0.0,2007,3,0
2006-12-01,LLTC,2006-12-01,0.34,0.34,0.0,2007,2,0
2006-09-01,LLTC,2006-09-01,0.37,0.37,0.0,2007,1,0
2006-06-01,LLTC,2006-06-01,0.37,0.37,0.0,2006,4,0
2006-03-01,LLTC,2006-03-01,0.35,0.35,0.0,2006,3,0
2005-12-01,LLTC,2005-12-01,0.36,0.36,0.0,2006,2,0
2005-09-01,LLTC,2005-09-01,0.35,0.34,0.0,2006,1,1
2005-06-01,LLTC,2005-06-01,0.34,0.33,0.0,2005,4,1
2005-03-01,LLTC,2005-03-01,0.39,0.32,0.0,2005,3,1
2004-12-01,LLTC,2004-12-01,0.33,0.32,0.0,2005,2,1
2004-09-01,LLTC,2004-09-01,0.33,0.32,0.0,2005,1,1
2004-06-01,LLTC,2004-06-01,0.31,0.3,0.0,2004,4,1
2004-03-01,LLTC,2004-03-01,0.27,0.25,0.0,2004,3,1
2003-12-01,LLTC,2003-12-01,0.23,0.23,0.0,2004,2,0
2003-09-01,LLTC,2003-09-01,0.22,0.21,0.0,2004,1,1
2003-06-01,LLTC,2003-06-01,0.21,0.2,0.0,2003,4,1
2003-03-01,LLTC,2003-03-01,0.19,0.19,0.0,2003,3,0
2002-12-01,LLTC,2002-12-01,0.18,0.17,0.0,2003,2,1
2002-09-01,LLTC,2002-09-01,0.17,0.17,0.0,2003,1,0
2002-06-01,LLTC,2002-06-01,0.17,0.17,0.0,2002,4,0
2002-03-01,LLTC,2002-03-01,0.16,0.15,0.0,2002,3,1
2001-12-01,LLTC,2001-12-01,0.14,0.14,0.0,2002,2,0
2001-09-01,LLTC,2001-09-01,0.14,0.14,0.0,2002,1,0
2001-06-01,LLTC,2001-06-01,0.26,0.26,0.0,2001,4,0
2001-03-01,LLTC,2001-03-01,0.38,0.36,0.0,2001,3,1
2000-12-01,LLTC,2000-12-01,0.34,0.33,0.0,2001,2,1
2000-09-01,LLTC,2000-09-01,0.31,0.29,0.0,2001,1,1
2000-06-01,LLTC,2000-06-01,0.27,0.255,0.0,2000,4,1
2000-03-01,LLTC,2000-03-01,0.23,0.22,0.0,2000,3,1
1999-12-01,LLTC,1999-12-01,0.2,0.19,0.0,2000,2,1
1999-09-01,LLTC,1999-09-01,0.18,0.17,0.0,2000,1,1
