date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-07-30,LRCX,2014-07-30,1.25,1.2209999999999999,1.22714285714,2014,4,1
2014-04-23,LRCX,2014-04-23,1.26,1.16,1.175,2014,3,1
2014-01-29,LRCX,2014-01-29,1.1,1.0270000000000001,1.0688888888899999,2014,2,1
2013-10-23,LRCX,2013-10-23,0.81,0.7090000000000001,0.0,2014,1,1
2013-07-31,LRCX,2013-07-31,0.8,0.725,0.0,2013,4,1
2013-04-24,LRCX,2013-04-24,0.44,0.37799999999999995,0.4475,2013,3,1
2013-01-23,LRCX,2013-01-23,0.45,0.45,0.506,2013,2,0
2012-10-17,LRCX,2012-10-17,0.53,0.41,0.0,2013,1,1
2012-07-25,LRCX,2012-07-25,0.6,0.63,0.0,2012,4,0
2012-04-18,LRCX,2012-04-18,0.5,0.45,0.0,2012,3,1
2012-01-25,LRCX,2012-01-25,0.34,0.3,0.0,2012,2,1
2011-10-19,LRCX,2011-10-19,0.63,0.65,0.0,2012,1,0
2011-07-27,LRCX,2011-07-27,1.14,1.09,0.0,2011,4,1
2011-04-20,LRCX,2011-04-20,1.45,1.36,0.0,2011,3,1
2011-01-26,LRCX,2011-01-26,1.74,1.57,0.0,2011,2,1
2010-10-20,LRCX,2010-10-20,1.52,1.38,0.0,2011,1,1
2010-07-28,LRCX,2010-07-28,1.17,1.17,0.0,2010,4,0
2010-04-21,LRCX,2010-04-21,0.94,0.94,0.0,2010,3,0
2010-01-27,LRCX,2010-01-27,0.47,0.47,0.0,2010,2,0
2009-09-01,LRCX,2009-09-01,0.03,0.03,0.0,2010,1,0
2009-06-01,LRCX,2009-06-01,-0.45,0.0,0.0,2009,4,0
2009-03-01,LRCX,2009-03-01,-0.71,0.0,0.0,2009,3,0
2008-12-01,LRCX,2008-12-01,-0.09,0.47,0.0,2009,2,0
2008-09-01,LRCX,2008-09-01,0.26,0.03,0.0,2009,1,1
2008-06-01,LRCX,2008-06-01,0.6,0.39,0.0,2008,4,1
2008-03-01,LRCX,2008-03-01,0.87,0.91,0.0,2008,3,0
2007-12-01,LRCX,2007-12-01,0.94,1.03,0.0,2008,2,0
2007-09-01,LRCX,2007-09-01,1.18,1.295,0.0,2008,1,0
2007-06-01,LRCX,2007-06-01,1.26,1.27,0.0,2007,4,0
2007-03-01,LRCX,2007-03-01,1.15,1.06,0.0,2007,3,1
2006-12-01,LRCX,2006-12-01,1.15,1.1,0.0,2007,2,1
2006-09-01,LRCX,2006-09-01,1.13,1.02,0.0,2007,1,1
2006-06-01,LRCX,2006-06-01,0.96,0.83,0.0,2006,4,1
2006-03-01,LRCX,2006-03-01,0.65,0.61,0.0,2006,3,1
2005-12-01,LRCX,2005-12-01,0.55,0.38,0.0,2006,2,1
2005-09-01,LRCX,2005-09-01,0.35,0.3,0.0,2006,1,1
2005-06-01,LRCX,2005-06-01,0.47,0.43,0.0,2005,4,1
2005-03-01,LRCX,2005-03-01,0.44,0.43,0.0,2005,3,1
2004-12-01,LRCX,2004-12-01,0.59,0.53,0.0,2005,2,1
2004-09-01,LRCX,2004-09-01,0.64,0.58,0.0,2005,1,1
2004-06-01,LRCX,2004-06-01,0.37,0.25,0.0,2004,4,1
2004-03-01,LRCX,2004-03-01,0.14,0.1,0.0,2004,3,1
2003-12-01,LRCX,2003-12-01,0.07,0.05,0.0,2004,2,1
2003-09-01,LRCX,2003-09-01,0.04,0.03,0.0,2004,1,1
2003-06-01,LRCX,2003-06-01,0.02,0.02,0.0,2003,4,0
2003-03-01,LRCX,2003-03-01,0.03,0.0,0.0,2003,3,1
2002-12-01,LRCX,2002-12-01,0.02,0.0,0.0,2003,2,1
2002-09-01,LRCX,2002-09-01,0.02,0.01,0.0,2003,1,1
2002-06-01,LRCX,2002-06-01,0.0,0.0,0.0,2002,4,0
2002-03-01,LRCX,2002-03-01,0.0,0.0,0.0,2002,3,0
2001-12-01,LRCX,2001-12-01,0.03,0.0,0.0,2002,2,1
2001-09-01,LRCX,2001-09-01,0.21,0.16,0.0,2002,1,1
2001-06-01,LRCX,2001-06-01,0.28,0.15,0.0,2001,4,1
2001-03-01,LRCX,2001-03-01,0.33,0.36,0.0,2001,3,0
2000-12-01,LRCX,2000-12-01,0.58,0.53,0.0,2001,2,1
2000-09-01,LRCX,2000-09-01,0.48,0.43,0.0,2001,1,1
2000-06-01,LRCX,2000-06-01,0.45,0.43,0.0,2000,4,1
2000-03-01,LRCX,2000-03-01,0.37,0.365,0.0,2000,3,1
1999-12-01,LRCX,1999-12-01,0.33,0.24,0.0,2000,2,1
1999-09-01,LRCX,1999-09-01,0.19,0.17,0.0,2000,1,1
