date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-05-06,MCHP,2014-05-06,0.64,0.614,0.616666666667,2014,4,1
2014-01-30,MCHP,2014-01-30,0.61,0.601,0.606,2014,3,1
2013-10-30,MCHP,2013-10-30,0.63,0.603,0.0,2014,2,1
2013-07-31,MCHP,2013-07-31,0.57,0.54,0.5625,2014,1,1
2013-05-02,MCHP,2013-05-02,0.49,0.466,0.0,2013,4,1
2013-02-07,MCHP,2013-02-07,0.41,0.39399999999999996,0.0,2013,3,1
2012-11-08,MCHP,2012-11-08,0.48,0.48,0.0,2013,2,0
2012-08-02,MCHP,2012-08-02,0.48,0.44,0.0,2013,1,1
2012-05-03,MCHP,2012-05-03,0.46,0.41,0.0,2012,4,1
2012-02-02,MCHP,2012-02-02,0.42,0.37,0.0,2012,3,1
2011-11-03,MCHP,2011-11-03,0.46,0.46,0.0,2012,2,0
2011-08-04,MCHP,2011-08-04,0.55,0.54,0.0,2012,1,1
2011-05-05,MCHP,2011-05-05,0.59,0.57,0.0,2011,4,1
2011-01-27,MCHP,2011-01-27,0.58,0.57,0.0,2011,3,1
2010-11-04,MCHP,2010-11-04,0.63,0.58,0.0,2011,2,1
2010-08-05,MCHP,2010-08-05,0.58,0.51,0.0,2011,1,1
2010-05-05,MCHP,2010-05-05,0.46,0.4,0.0,2010,4,1
2009-12-01,MCHP,2009-12-01,0.38,0.37,0.0,2010,3,1
2009-09-01,MCHP,2009-09-01,0.29,0.24,0.0,2010,2,1
2009-06-01,MCHP,2009-06-01,0.19,0.15,0.0,2010,1,1
2009-03-01,MCHP,2009-03-01,0.15,0.11,0.0,2009,4,1
2008-12-01,MCHP,2008-12-01,0.22,0.37,0.0,2009,3,0
2008-09-01,MCHP,2008-09-01,0.44,0.24,0.0,2009,2,1
2008-06-01,MCHP,2008-06-01,0.43,0.15,0.0,2009,1,1
2008-03-01,MCHP,2008-03-01,0.43,0.37,0.0,2008,4,1
2007-12-01,MCHP,2007-12-01,0.39,0.345,0.0,2008,3,1
2007-09-01,MCHP,2007-09-01,0.38,0.35,0.0,2008,2,1
2007-06-01,MCHP,2007-06-01,0.39,0.36,0.0,2008,1,1
2007-03-01,MCHP,2007-03-01,0.34,0.33,0.0,2007,4,1
2006-12-01,MCHP,2006-12-01,0.33,0.33,0.0,2007,3,0
2006-09-01,MCHP,2006-09-01,0.36,0.36,0.0,2007,2,0
2006-06-01,MCHP,2006-06-01,0.35,0.35,0.0,2007,1,0
2006-03-01,MCHP,2006-03-01,0.35,0.35,0.0,2006,4,0
2005-12-01,MCHP,2005-12-01,0.33,0.32,0.0,2006,3,1
2005-09-01,MCHP,2005-09-01,0.31,0.3,0.0,2006,2,1
2005-06-01,MCHP,2005-06-01,0.29,0.28,0.0,2006,1,1
2005-03-01,MCHP,2005-03-01,0.27,0.25,0.0,2005,4,1
2004-12-01,MCHP,2004-12-01,0.25,0.25,0.0,2005,3,0
2004-09-01,MCHP,2004-09-01,0.29,0.29,0.0,2005,2,0
2004-06-01,MCHP,2004-06-01,0.27,0.26,0.0,2005,1,1
2004-03-01,MCHP,2004-03-01,0.22,0.2,0.0,2004,4,1
2003-12-01,MCHP,2003-12-01,0.19,0.19,0.0,2004,3,0
2003-09-01,MCHP,2003-09-01,0.17,0.17,0.0,2004,2,0
2003-06-01,MCHP,2003-06-01,0.16,0.15,0.0,2004,1,1
2003-03-01,MCHP,2003-03-01,0.16,0.16,0.0,2003,4,0
2002-12-01,MCHP,2002-12-01,0.18,0.17,0.0,2003,3,1
2002-09-01,MCHP,2002-09-01,0.17,0.17,0.0,2003,2,0
2002-06-01,MCHP,2002-06-01,0.15,0.15,0.0,2003,1,0
2002-03-01,MCHP,2002-03-01,0.13,0.127,0.0,2002,4,1
2001-12-01,MCHP,2001-12-01,0.11,0.113,0.0,2002,3,0
2001-09-01,MCHP,2001-09-01,0.11,0.109,0.0,2002,2,1
2001-06-01,MCHP,2001-06-01,0.11,0.107,0.0,2002,1,1
2001-03-01,MCHP,2001-03-01,0.127,0.147,0.0,2001,4,0
2000-12-01,MCHP,2000-12-01,0.22699999999999998,0.217,0.0,2001,3,1
2000-09-01,MCHP,2000-09-01,0.22,0.22,0.0,2001,2,0
2000-06-01,MCHP,2000-06-01,0.196,0.182,0.0,2001,1,1
2000-03-01,MCHP,2000-03-01,0.165,0.16699999999999998,0.0,2000,4,0
1999-12-01,MCHP,1999-12-01,0.142,0.138,0.0,2000,3,1
1999-09-01,MCHP,1999-09-01,0.129,0.12,0.0,2000,2,1
1999-06-01,MCHP,1999-06-01,0.111,0.111,0.0,2000,1,0
