date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-07-22,MSFT,2014-07-22,0.55,0.598,0.643896103896,2014,4,0
2014-04-24,MSFT,2014-04-24,0.68,0.62,0.6675,2014,3,1
2014-01-23,MSFT,2014-01-23,0.78,0.6729999999999999,0.688196721311,2014,2,1
2013-10-24,MSFT,2013-10-24,0.62,0.5429999999999999,0.5556666666669999,2014,1,1
2013-07-18,MSFT,2013-07-18,0.66,0.742,0.750606060606,2013,4,0
2013-04-18,MSFT,2013-04-18,0.72,0.674,0.7102564102560001,2013,3,1
2013-01-24,MSFT,2013-01-24,0.76,0.75,0.76375,2013,2,1
2012-10-18,MSFT,2012-10-18,0.65,0.58,0.597826086957,2013,1,1
2012-07-19,MSFT,2012-07-19,0.67,0.62,0.639047619048,2012,4,1
2012-04-19,MSFT,2012-04-19,0.6,0.57,0.61375,2012,3,1
2012-01-19,MSFT,2012-01-19,0.78,0.76,0.791666666667,2012,2,1
2011-10-20,MSFT,2011-10-20,0.68,0.68,0.715454545455,2012,1,0
2011-07-21,MSFT,2011-07-21,0.69,0.58,0.0,2011,4,1
2011-04-28,MSFT,2011-04-28,0.56,0.56,0.0,2011,3,0
2011-01-27,MSFT,2011-01-27,0.77,0.68,0.0,2011,2,1
2010-09-01,MSFT,2010-09-01,0.62,0.55,0.0,2011,1,1
2010-06-01,MSFT,2010-06-01,0.51,0.51,0.0,2010,4,0
2010-03-01,MSFT,2010-03-01,0.45,0.45,0.0,2010,3,0
2009-12-01,MSFT,2009-12-01,0.74,0.74,0.0,2010,2,0
2009-09-01,MSFT,2009-09-01,0.4,0.4,0.0,2010,1,0
2009-06-01,MSFT,2009-06-01,0.36,0.37,0.0,2009,4,0
2009-03-01,MSFT,2009-03-01,0.39,0.39,0.0,2009,3,0
2008-12-01,MSFT,2008-12-01,0.47,0.74,0.0,2009,2,0
2008-09-01,MSFT,2008-09-01,0.48,0.4,0.0,2009,1,1
2008-06-01,MSFT,2008-06-01,0.48,0.47,0.0,2008,4,1
2008-03-01,MSFT,2008-03-01,0.47,0.445,0.0,2008,3,1
2007-12-01,MSFT,2007-12-01,0.5,0.46,0.0,2008,2,1
2007-09-01,MSFT,2007-09-01,0.45,0.39,0.0,2008,1,1
2007-06-01,MSFT,2007-06-01,0.31,0.31,0.0,2007,4,0
2007-03-01,MSFT,2007-03-01,0.5,0.46,0.0,2007,3,1
2006-12-01,MSFT,2006-12-01,0.26,0.24,0.0,2007,2,1
2006-09-01,MSFT,2006-09-01,0.35,0.31,0.0,2007,1,1
2006-06-01,MSFT,2006-06-01,0.31,0.3,0.0,2006,4,1
2006-03-01,MSFT,2006-03-01,0.32,0.33,0.0,2006,3,0
2005-12-01,MSFT,2005-12-01,0.36,0.37,0.0,2006,2,0
2005-09-01,MSFT,2005-09-01,0.34,0.34,0.0,2006,1,0
2005-06-01,MSFT,2005-06-01,0.33,0.31,0.0,2005,4,1
2005-03-01,MSFT,2005-03-01,0.32,0.32,0.0,2005,3,0
2004-12-01,MSFT,2004-12-01,0.35,0.33,0.0,2005,2,1
2004-09-01,MSFT,2004-09-01,0.31,0.3,0.0,2005,1,1
2004-06-01,MSFT,2004-06-01,0.28,0.28,0.0,2004,4,0
2004-03-01,MSFT,2004-03-01,0.34,0.29,0.0,2004,3,1
2003-12-01,MSFT,2003-12-01,0.34,0.3,0.0,2004,2,1
2003-09-01,MSFT,2003-09-01,0.3,0.29,0.0,2004,1,1
2003-06-01,MSFT,2003-06-01,0.23,0.24,0.0,2003,4,0
2003-03-01,MSFT,2003-03-01,0.26,0.24,0.0,2003,3,1
2002-12-01,MSFT,2002-12-01,0.265,0.23,0.0,2003,2,1
2002-09-01,MSFT,2002-09-01,0.275,0.21,0.0,2003,1,1
2002-06-01,MSFT,2002-06-01,0.21,0.21,0.0,2002,4,0
2002-03-01,MSFT,2002-03-01,0.245,0.255,0.0,2002,3,0
2001-12-01,MSFT,2001-12-01,0.245,0.21,0.0,2002,2,1
2001-09-01,MSFT,2001-09-01,0.215,0.195,0.0,2002,1,1
2001-06-01,MSFT,2001-06-01,0.215,0.21,0.0,2001,4,1
2001-03-01,MSFT,2001-03-01,0.22,0.21,0.0,2001,3,1
2000-12-01,MSFT,2000-12-01,0.235,0.233,0.0,2001,2,1
2000-09-01,MSFT,2000-09-01,0.23,0.205,0.0,2001,1,1
2000-06-01,MSFT,2000-06-01,0.22,0.215,0.0,2000,4,1
2000-03-01,MSFT,2000-03-01,0.215,0.215,0.0,2000,3,0
1999-12-01,MSFT,1999-12-01,0.22,0.223,0.0,2000,2,0
1999-09-01,MSFT,1999-09-01,0.2,0.17,0.0,2000,1,1
