date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-05-21,NTAP,2014-05-21,0.84,0.795,0.808666666667,2014,4,1
2014-02-12,NTAP,2014-02-12,0.75,0.711,0.7175,2014,3,1
2013-11-13,NTAP,2013-11-13,0.66,0.629,0.639285714286,2014,2,1
2013-08-14,NTAP,2013-08-14,0.53,0.49,0.514166666667,2014,1,1
2013-05-21,NTAP,2013-05-21,0.69,0.6809999999999999,0.7116666666670001,2013,4,1
2013-02-13,NTAP,2013-02-13,0.67,0.563,0.586666666667,2013,3,1
2012-11-14,NTAP,2012-11-14,0.51,0.47,0.496153846154,2013,2,1
2012-08-15,NTAP,2012-08-15,0.42,0.38,0.39399999999999996,2013,1,1
2012-05-23,NTAP,2012-05-23,0.66,0.63,0.635384615385,2012,4,1
2012-02-15,NTAP,2012-02-15,0.58,0.58,0.0,2012,3,0
2011-11-16,NTAP,2011-11-16,0.63,0.59,0.0,2012,2,1
2011-08-17,NTAP,2011-08-17,0.55,0.55,0.0,2012,1,0
2011-05-25,NTAP,2011-05-25,0.59,0.53,0.0,2011,4,1
2011-02-16,NTAP,2011-02-16,0.56,0.5,0.0,2011,3,1
2010-11-17,NTAP,2010-11-17,0.54,0.49,0.0,2011,2,1
2010-08-18,NTAP,2010-08-18,0.51,0.46,0.0,2011,1,1
2010-05-26,NTAP,2010-05-26,0.5,0.5,0.0,2010,4,0
2010-02-17,NTAP,2010-02-17,0.4,0.4,0.0,2010,3,0
2009-10-01,NTAP,2009-10-01,0.37,0.37,0.0,2010,2,0
2009-07-01,NTAP,2009-07-01,0.22,0.22,0.0,2010,1,0
2009-04-01,NTAP,2009-04-01,0.31,0.23,0.0,2009,4,1
2009-01-01,NTAP,2009-01-01,0.28,0.28,0.0,2009,3,0
2008-10-01,NTAP,2008-10-01,0.28,0.37,0.0,2009,2,0
2008-07-01,NTAP,2008-07-01,0.28,0.22,0.0,2009,1,1
2008-04-01,NTAP,2008-04-01,0.38,0.36,0.0,2008,4,1
2008-01-01,NTAP,2008-01-01,0.38,0.34,0.0,2008,3,1
2007-10-01,NTAP,2007-10-01,0.32,0.26,0.0,2008,2,1
2007-07-01,NTAP,2007-07-01,0.2,0.19,0.0,2008,1,1
2007-04-01,NTAP,2007-04-01,0.18,0.21,0.0,2007,4,0
2007-01-01,NTAP,2007-01-01,0.19,0.19,0.0,2007,3,0
2006-10-01,NTAP,2006-10-01,0.17,0.16,0.0,2007,2,1
2006-07-01,NTAP,2006-07-01,0.14,0.16,0.0,2007,1,0
2006-04-01,NTAP,2006-04-01,0.23,0.23,0.0,2006,4,0
2006-01-01,NTAP,2006-01-01,0.22,0.21,0.0,2006,3,1
2005-10-01,NTAP,2005-10-01,0.21,0.18,0.0,2006,2,1
2005-07-01,NTAP,2005-07-01,0.16,0.15,0.0,2006,1,1
2005-04-01,NTAP,2005-04-01,0.17,0.17,0.0,2005,4,0
2005-01-01,NTAP,2005-01-01,0.16,0.16,0.0,2005,3,0
2004-10-01,NTAP,2004-10-01,0.16,0.14,0.0,2005,2,1
2004-07-01,NTAP,2004-07-01,0.13,0.12,0.0,2005,1,1
2004-04-01,NTAP,2004-04-01,0.12,0.12,0.0,2004,4,0
2004-01-01,NTAP,2004-01-01,0.11,0.1,0.0,2004,3,1
2003-10-01,NTAP,2003-10-01,0.09,0.09,0.0,2004,2,0
2003-07-01,NTAP,2003-07-01,0.08,0.07,0.0,2004,1,1
2003-04-01,NTAP,2003-04-01,0.07,0.07,0.0,2003,4,0
2003-01-01,NTAP,2003-01-01,0.06,0.06,0.0,2003,3,0
2002-10-01,NTAP,2002-10-01,0.05,0.05,0.0,2003,2,0
2002-07-01,NTAP,2002-07-01,0.05,0.04,0.0,2003,1,1
2002-04-01,NTAP,2002-04-01,0.04,0.04,0.0,2002,4,0
2002-01-01,NTAP,2002-01-01,0.04,0.02,0.0,2002,3,1
2001-10-01,NTAP,2001-10-01,0.02,0.01,0.0,2002,2,1
2001-07-01,NTAP,2001-07-01,0.01,0.01,0.0,2002,1,0
2001-04-01,NTAP,2001-04-01,0.02,0.02,0.0,2001,4,0
2001-01-01,NTAP,2001-01-01,0.11,0.1,0.0,2001,3,1
2000-10-01,NTAP,2000-10-01,0.1,0.1,0.0,2001,2,0
2000-07-01,NTAP,2000-07-01,0.09,0.08,0.0,2001,1,1
2000-04-01,NTAP,2000-04-01,0.07,0.06,0.0,2000,4,1
2000-01-01,NTAP,2000-01-01,0.06,0.05,0.0,2000,3,1
1999-10-01,NTAP,1999-10-01,0.05,0.05,0.0,2000,2,0
1999-07-01,NTAP,1999-07-01,0.04,0.04,0.0,2000,1,0
