date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-02-12,NVDA,2014-02-12,0.24,0.183,0.20708333333299997,2014,4,1
2013-11-07,NVDA,2013-11-07,0.2,0.2,0.222222222222,2014,3,0
2013-08-08,NVDA,2013-08-08,0.16,0.125,0.15,2014,2,1
2013-05-09,NVDA,2013-05-09,0.13,0.1,0.145882352941,2014,1,1
2013-02-13,NVDA,2013-02-13,0.28,0.235,0.2875,2013,4,1
2012-11-08,NVDA,2012-11-08,0.39,0.3,0.309411764706,2013,3,1
2012-08-09,NVDA,2012-08-09,0.19,0.14,0.16607142857100002,2013,2,1
2012-05-11,NVDA,2012-05-11,0.1,0.1,0.1035,2013,1,0
2012-02-15,NVDA,2012-02-15,0.19,0.19,0.25333333333299995,2012,4,0
2011-10-01,NVDA,2011-10-01,0.29,0.26,0.0,2012,3,1
2011-07-01,NVDA,2011-07-01,0.25,0.25,0.0,2012,2,0
2011-04-01,NVDA,2011-04-01,0.22,0.19,0.0,2012,1,1
2011-01-01,NVDA,2011-01-01,0.23,0.21,0.0,2011,4,1
2010-10-01,NVDA,2010-10-01,0.15,0.14,0.0,2011,3,1
2010-07-01,NVDA,2010-07-01,0.03,0.11,0.0,2011,2,0
2010-04-01,NVDA,2010-04-01,0.29,0.21,0.0,2011,1,1
2010-01-01,NVDA,2010-01-01,0.23,0.23,0.0,2010,4,0
2009-10-01,NVDA,2009-10-01,0.13,0.19,0.0,2010,3,0
2009-07-01,NVDA,2009-07-01,0.02,0.07,0.0,2010,2,0
2009-04-01,NVDA,2009-04-01,-0.13,-0.09,0.0,2010,1,0
2009-01-01,NVDA,2009-01-01,-0.27,0.0,0.0,2009,4,0
2008-10-01,NVDA,2008-10-01,0.2,0.12,0.0,2009,3,1
2008-07-01,NVDA,2008-07-01,0.13,0.15,0.0,2009,2,0
2008-04-01,NVDA,2008-04-01,0.36,0.32,0.0,2009,1,1
2008-01-01,NVDA,2008-01-01,0.49,0.41,0.0,2008,4,1
2007-10-01,NVDA,2007-10-01,0.44,0.32,0.0,2008,3,1
2007-07-01,NVDA,2007-07-01,0.34,0.22699999999999998,0.0,2008,2,1
2007-04-01,NVDA,2007-04-01,0.22,0.207,0.0,2008,1,1
2007-01-01,NVDA,2007-01-01,0.233,0.233,0.0,2007,4,0
2006-10-01,NVDA,2006-10-01,0.207,0.2,0.0,2007,3,1
2006-07-01,NVDA,2006-07-01,0.147,0.16,0.0,2007,2,0
2006-04-01,NVDA,2006-04-01,0.153,0.153,0.0,2007,1,0
2006-01-01,NVDA,2006-01-01,0.177,0.163,0.0,2006,4,1
2005-10-01,NVDA,2005-10-01,0.12,0.12,0.0,2006,3,0
2005-07-01,NVDA,2005-07-01,0.13699999999999998,0.113,0.0,2006,2,1
2005-04-01,NVDA,2005-04-01,0.12,0.09300000000000001,0.0,2006,1,1
2005-01-01,NVDA,2005-01-01,0.09,0.08,0.0,2005,4,1
2004-10-01,NVDA,2004-10-01,0.05,0.03,0.0,2005,3,1
2004-07-01,NVDA,2004-07-01,0.01,0.05,0.0,2005,2,0
2004-04-01,NVDA,2004-04-01,0.04,0.033,0.0,2005,1,1
2004-01-01,NVDA,2004-01-01,0.047,0.037000000000000005,0.0,2004,4,1
2003-10-01,NVDA,2003-10-01,0.033,0.037000000000000005,0.0,2004,3,0
2003-07-01,NVDA,2003-07-01,0.047,0.037000000000000005,0.0,2004,2,1
2003-04-01,NVDA,2003-04-01,0.04,0.033,0.0,2004,1,1
2003-01-01,NVDA,2003-01-01,0.047,0.02,0.0,2003,4,1
2002-10-01,NVDA,2002-10-01,0.02,0.027999999999999997,0.0,2003,3,0
2002-07-01,NVDA,2002-07-01,0.04,0.043,0.0,2003,2,0
2002-04-01,NVDA,2002-04-01,0.157,0.153,0.0,2003,1,1
2002-01-01,NVDA,2002-01-01,0.14300000000000002,0.113,0.0,2002,4,1
2001-10-01,NVDA,2001-10-01,0.09300000000000001,0.077,0.0,2002,3,1
2001-07-01,NVDA,2001-07-01,0.073,0.068,0.0,2002,2,1
2001-04-01,NVDA,2001-04-01,0.067,0.067,0.0,2002,1,0
2001-01-01,NVDA,2001-01-01,0.063,0.062,0.0,2001,4,1
2000-10-01,NVDA,2000-10-01,0.057999999999999996,0.053,0.0,2001,3,1
2000-07-01,NVDA,2000-07-01,0.047,0.042,0.0,2001,2,1
2000-04-01,NVDA,2000-04-01,0.04,0.031,0.0,2001,1,1
2000-01-01,NVDA,2000-01-01,0.033,0.03,0.0,2000,4,1
1999-10-01,NVDA,1999-10-01,0.026000000000000002,0.0,0.0,2000,3,1
1999-07-01,NVDA,1999-07-01,0.017,0.0,0.0,2000,2,1
1999-04-01,NVDA,1999-04-01,0.015,0.0,0.0,2000,1,1
