date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-11-05,QCOM,2014-11-05,1.26,1.3130000000000002,1.349125,2014,4,0
2014-07-23,QCOM,2014-07-23,1.31,1.217,1.25945454545,2014,3,1
2014-04-23,QCOM,2014-04-23,1.31,1.2229999999999999,1.24920634921,2014,2,1
2014-01-29,QCOM,2014-01-29,1.26,1.198,1.22125,2014,1,1
2013-11-06,QCOM,2013-11-06,1.05,1.081,1.0996875,2013,4,0
2013-07-24,QCOM,2013-07-24,1.03,1.031,1.0561111111100001,2013,3,0
2013-04-24,QCOM,2013-04-24,1.17,1.158,1.2090625,2013,2,1
2013-01-30,QCOM,2013-01-30,1.26,1.12,1.14909090909,2013,1,1
2012-11-07,QCOM,2012-11-07,0.89,0.82,0.840384615385,2012,4,1
2012-07-18,QCOM,2012-07-18,0.85,0.86,0.8804545454549999,2012,3,0
2012-04-18,QCOM,2012-04-18,1.03,0.96,1.00230769231,2012,2,1
2012-02-01,QCOM,2012-02-01,0.97,0.95,0.942222222222,2012,1,1
2011-11-02,QCOM,2011-11-02,0.8,0.78,0.82,2011,4,1
2011-07-20,QCOM,2011-07-20,0.73,0.71,0.0,2011,3,1
2011-04-20,QCOM,2011-04-20,1.02,0.8,0.0,2011,2,1
2011-01-26,QCOM,2011-01-26,0.82,0.72,0.0,2011,1,1
2010-11-03,QCOM,2010-11-03,0.68,0.59,0.0,2010,4,1
2010-06-01,QCOM,2010-06-01,0.57,0.54,0.0,2010,3,1
2010-03-01,QCOM,2010-03-01,0.59,0.57,0.0,2010,2,1
2009-12-01,QCOM,2009-12-01,0.62,0.56,0.0,2010,1,1
2009-09-01,QCOM,2009-09-01,0.64,0.52,0.0,2009,4,1
2009-06-01,QCOM,2009-06-01,0.54,0.52,0.0,2009,3,1
2009-03-01,QCOM,2009-03-01,0.43,0.41,0.0,2009,2,1
2008-12-01,QCOM,2008-12-01,0.31,0.56,0.0,2009,1,0
2008-09-01,QCOM,2008-09-01,0.63,0.605,0.0,2008,4,1
2008-06-01,QCOM,2008-06-01,0.55,0.55,0.0,2008,3,0
2008-03-01,QCOM,2008-03-01,0.54,0.52,0.0,2008,2,1
2007-12-01,QCOM,2007-12-01,0.52,0.53,0.0,2008,1,0
2007-09-01,QCOM,2007-09-01,0.54,0.53,0.0,2007,4,1
2007-06-01,QCOM,2007-06-01,0.55,0.51,0.0,2007,3,1
2007-03-01,QCOM,2007-03-01,0.5,0.48,0.0,2007,2,1
2006-12-01,QCOM,2006-12-01,0.43,0.42,0.0,2007,1,1
2006-09-01,QCOM,2006-09-01,0.42,0.41,0.0,2006,4,1
2006-06-01,QCOM,2006-06-01,0.42,0.42,0.0,2006,3,0
2006-03-01,QCOM,2006-03-01,0.41,0.41,0.0,2006,2,0
2005-12-01,QCOM,2005-12-01,0.39,0.38,0.0,2006,1,1
2005-09-01,QCOM,2005-09-01,0.32,0.33,0.0,2005,4,0
2005-06-01,QCOM,2005-06-01,0.28,0.25,0.0,2005,3,1
2005-03-01,QCOM,2005-03-01,0.29,0.27,0.0,2005,2,1
2004-12-01,QCOM,2004-12-01,0.28,0.27,0.0,2005,1,1
2004-09-01,QCOM,2004-09-01,0.29,0.29,0.0,2004,4,0
2004-06-01,QCOM,2004-06-01,0.285,0.265,0.0,2004,3,1
2004-03-01,QCOM,2004-03-01,0.265,0.245,0.0,2004,2,1
2003-12-01,QCOM,2003-12-01,0.255,0.24,0.0,2004,1,1
2003-09-01,QCOM,2003-09-01,0.145,0.145,0.0,2003,4,0
2003-06-01,QCOM,2003-06-01,0.165,0.15,0.0,2003,3,1
2003-03-01,QCOM,2003-03-01,0.19,0.18,0.0,2003,2,1
2002-12-01,QCOM,2002-12-01,0.21,0.19,0.0,2003,1,1
2002-09-01,QCOM,2002-09-01,0.155,0.14,0.0,2002,4,1
2002-06-01,QCOM,2002-06-01,0.12,0.11,0.0,2002,3,1
2002-03-01,QCOM,2002-03-01,0.1,0.1,0.0,2002,2,0
2001-12-01,QCOM,2001-12-01,0.115,0.11,0.0,2002,1,1
2001-09-01,QCOM,2001-09-01,0.115,0.125,0.0,2001,4,0
2001-06-01,QCOM,2001-06-01,0.11,0.105,0.0,2001,3,1
2001-03-01,QCOM,2001-03-01,0.145,0.145,0.0,2001,2,0
2000-12-01,QCOM,2000-12-01,0.145,0.14,0.0,2001,1,1
2000-09-01,QCOM,2000-09-01,0.125,0.12,0.0,2000,4,1
2000-06-01,QCOM,2000-06-01,0.135,0.135,0.0,2000,3,0
2000-03-01,QCOM,2000-03-01,0.13,0.125,0.0,2000,2,1
1999-12-01,QCOM,1999-12-01,0.125,0.12,0.0,2000,1,1
