date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-11-06,SWKS,2014-11-06,1.12,1.071,1.08314285714,2014,4,1
2014-07-17,SWKS,2014-07-17,0.83,0.8009999999999999,0.8036842105259999,2014,3,1
2014-04-22,SWKS,2014-04-22,0.62,0.59,0.599473684211,2014,2,1
2014-01-16,SWKS,2014-01-16,0.67,0.66,0.6753333333329999,2014,1,1
2013-10-30,SWKS,2013-10-30,0.64,0.622,0.63,2013,4,1
2013-07-18,SWKS,2013-07-18,0.54,0.532,0.541,2013,3,1
2013-04-25,SWKS,2013-04-25,0.48,0.47,0.479166666667,2013,2,1
2013-01-30,SWKS,2013-01-30,0.54,0.54,0.5475,2013,1,0
2012-11-01,SWKS,2012-11-01,0.53,0.52,0.5275,2012,4,1
2012-07-18,SWKS,2012-07-18,0.45,0.44,0.452,2012,3,1
2012-04-26,SWKS,2012-04-26,0.42,0.4,0.416666666667,2012,2,1
2012-01-19,SWKS,2012-01-19,0.51,0.5,0.0,2012,1,1
2011-11-03,SWKS,2011-11-03,0.54,0.53,0.0,2011,4,1
2011-07-21,SWKS,2011-07-21,0.49,0.46,0.0,2011,3,1
2011-04-28,SWKS,2011-04-28,0.41,0.39,0.0,2011,2,1
2011-01-20,SWKS,2011-01-20,0.45,0.44,0.0,2011,1,1
2010-11-04,SWKS,2010-11-04,0.43,0.4,0.0,2010,4,1
2010-07-22,SWKS,2010-07-22,0.32,0.3,0.0,2010,3,1
2010-04-29,SWKS,2010-04-29,0.24,0.23,0.0,2010,2,1
2010-01-20,SWKS,2010-01-20,0.27,0.25,0.0,2010,1,1
2009-11-05,SWKS,2009-11-05,0.24,0.22,0.0,2009,4,1
2009-06-01,SWKS,2009-06-01,0.16,0.14,0.0,2009,3,1
2009-03-01,SWKS,2009-03-01,0.12,0.1,0.0,2009,2,1
2008-12-01,SWKS,2008-12-01,0.17,0.25,0.0,2009,1,0
2008-09-01,SWKS,2008-09-01,0.21,0.2,0.0,2008,4,1
2008-06-01,SWKS,2008-06-01,0.18,0.17,0.0,2008,3,1
2008-03-01,SWKS,2008-03-01,0.16,0.15,0.0,2008,2,1
2007-12-01,SWKS,2007-12-01,0.17,0.16,0.0,2008,1,1
2007-09-01,SWKS,2007-09-01,0.14,0.13,0.0,2007,4,1
2007-06-01,SWKS,2007-06-01,0.11,0.09,0.0,2007,3,1
2007-03-01,SWKS,2007-03-01,0.1,0.1,0.0,2007,2,0
2006-12-01,SWKS,2006-12-01,0.13,0.13,0.0,2007,1,0
2006-09-01,SWKS,2006-09-01,0.07,0.05,0.0,2006,4,1
2006-06-01,SWKS,2006-06-01,0.05,0.05,0.0,2006,3,0
2006-03-01,SWKS,2006-03-01,0.03,0.02,0.0,2006,2,1
2005-12-01,SWKS,2005-12-01,0.07,0.07,0.0,2006,1,0
2005-09-01,SWKS,2005-09-01,0.04,0.03,0.0,2005,4,1
2005-06-01,SWKS,2005-06-01,0.06,0.05,0.0,2005,3,1
2005-03-01,SWKS,2005-03-01,0.04,0.04,0.0,2005,2,0
2004-12-01,SWKS,2004-12-01,0.13,0.13,0.0,2005,1,0
2004-09-01,SWKS,2004-09-01,0.12,0.11,0.0,2004,4,1
2004-06-01,SWKS,2004-06-01,0.1,0.07,0.0,2004,3,1
2004-03-01,SWKS,2004-03-01,0.05,0.04,0.0,2004,2,1
2003-12-01,SWKS,2003-12-01,0.04,0.01,0.0,2004,1,1
2002-09-01,SWKS,2002-09-01,0.0,0.0,0.0,2002,4,0
2002-06-01,SWKS,2002-06-01,0.0,0.0,0.0,2002,3,0
2002-03-01,SWKS,2002-03-01,0.0,0.0,0.0,2002,2,0
