date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-05-08,SYMC,2014-05-08,0.47,0.41600000000000004,0.45,2014,4,1
2014-01-29,SYMC,2014-01-29,0.51,0.426,0.440666666667,2014,3,1
2013-10-23,SYMC,2013-10-23,0.5,0.435,0.453636363636,2014,2,1
2013-07-30,SYMC,2013-07-30,0.44,0.365,0.40090909090899995,2014,1,1
2013-05-07,SYMC,2013-05-07,0.44,0.382,0.406,2013,4,1
2013-01-23,SYMC,2013-01-23,0.45,0.38,0.41,2013,3,1
2012-10-24,SYMC,2012-10-24,0.45,0.37,0.38799999999999996,2013,2,1
2012-07-25,SYMC,2012-07-25,0.43,0.38,0.378181818182,2013,1,1
2012-05-02,SYMC,2012-05-02,0.38,0.38,0.414,2012,4,0
2012-01-25,SYMC,2012-01-25,0.42,0.41,0.0,2012,3,1
2011-10-26,SYMC,2011-10-26,0.39,0.39,0.0,2012,2,0
2011-06-01,SYMC,2011-06-01,0.4,0.37,0.0,2012,1,1
2011-03-01,SYMC,2011-03-01,0.38,0.36,0.0,2011,4,1
2010-12-01,SYMC,2010-12-01,0.35,0.33,0.0,2011,3,1
2010-09-01,SYMC,2010-09-01,0.34,0.28,0.0,2011,2,1
2010-06-01,SYMC,2010-06-01,0.35,0.35,0.0,2011,1,0
2010-03-01,SYMC,2010-03-01,0.4,0.4,0.0,2010,4,0
2009-12-01,SYMC,2009-12-01,0.4,0.4,0.0,2010,3,0
2009-09-01,SYMC,2009-09-01,0.36,0.36,0.0,2010,2,0
2009-06-01,SYMC,2009-06-01,0.33,0.34,0.0,2010,1,0
2009-03-01,SYMC,2009-03-01,0.38,0.35,0.0,2009,4,1
2008-12-01,SYMC,2008-12-01,0.42,0.4,0.0,2009,3,1
2008-09-01,SYMC,2008-09-01,0.37,0.36,0.0,2009,2,1
2008-06-01,SYMC,2008-06-01,0.4,0.34,0.0,2009,1,1
2008-03-01,SYMC,2008-03-01,0.36,0.34,0.0,2008,4,1
2007-12-01,SYMC,2007-12-01,0.33,0.29,0.0,2008,3,1
2007-09-01,SYMC,2007-09-01,0.29,0.26,0.0,2008,2,1
2007-06-01,SYMC,2007-06-01,0.29,0.2,0.0,2008,1,1
2007-03-01,SYMC,2007-03-01,0.24,0.2,0.0,2007,4,1
2006-12-01,SYMC,2006-12-01,0.26,0.25,0.0,2007,3,1
2006-09-01,SYMC,2006-09-01,0.22,0.23,0.0,2007,2,0
2006-06-01,SYMC,2006-06-01,0.18,0.175,0.0,2007,1,1
2006-03-01,SYMC,2006-03-01,0.26,0.25,0.0,2006,4,1
2005-12-01,SYMC,2005-12-01,0.26,0.25,0.0,2006,3,1
2005-09-01,SYMC,2005-09-01,0.23,0.2,0.0,2006,2,1
2005-06-01,SYMC,2005-06-01,0.27,0.25,0.0,2006,1,1
2005-03-01,SYMC,2005-03-01,0.25,0.24,0.0,2005,4,1
2004-12-01,SYMC,2004-12-01,0.24,0.22,0.0,2005,3,1
2004-09-01,SYMC,2004-09-01,0.205,0.195,0.0,2005,2,1
2004-06-01,SYMC,2004-06-01,0.195,0.17,0.0,2005,1,1
2004-03-01,SYMC,2004-03-01,0.175,0.17,0.0,2004,4,1
2003-12-01,SYMC,2003-12-01,0.17,0.145,0.0,2004,3,1
2003-09-01,SYMC,2003-09-01,0.133,0.115,0.0,2004,2,1
2003-06-01,SYMC,2003-06-01,0.113,0.098,0.0,2004,1,1
2003-03-01,SYMC,2003-03-01,0.11800000000000001,0.115,0.0,2003,4,1
2002-12-01,SYMC,2002-12-01,0.11800000000000001,0.096,0.0,2003,3,1
2002-09-01,SYMC,2002-09-01,0.095,0.078,0.0,2003,2,1
2002-06-01,SYMC,2002-06-01,0.10300000000000001,0.08,0.0,2003,1,1
2002-03-01,SYMC,2002-03-01,0.10300000000000001,0.08800000000000001,0.0,2002,4,1
2001-12-01,SYMC,2001-12-01,0.098,0.079,0.0,2002,3,1
2001-09-01,SYMC,2001-09-01,0.07,0.054000000000000006,0.0,2002,2,1
2001-06-01,SYMC,2001-06-01,0.055,0.054000000000000006,0.0,2002,1,1
2001-03-01,SYMC,2001-03-01,0.078,0.075,0.0,2001,4,1
2000-12-01,SYMC,2000-12-01,0.065,0.0,0.0,2001,3,1
2000-09-01,SYMC,2000-09-01,0.076,0.0,0.0,2001,2,1
2000-06-01,SYMC,2000-06-01,0.075,0.0,0.0,2001,1,1
2000-03-01,SYMC,2000-03-01,0.069,0.0,0.0,2000,4,1
1999-12-01,SYMC,1999-12-01,0.063,0.0,0.0,2000,3,1
1999-09-01,SYMC,1999-09-01,0.054000000000000006,0.0,0.0,2000,2,1
1999-06-01,SYMC,1999-06-01,0.049,0.0,0.0,2000,1,1
