date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-01-26,TXN,2015-01-26,0.69,0.693,0.7102272727269999,2014,4,0
2014-10-20,TXN,2014-10-20,0.76,0.7140000000000001,0.7175,2014,3,1
2014-07-21,TXN,2014-07-21,0.62,0.59,0.5975,2014,2,1
2014-04-23,TXN,2014-04-23,0.44,0.40700000000000003,0.415,2014,1,1
2014-01-21,TXN,2014-01-21,0.46,0.466,0.478064516129,2013,4,0
2013-10-21,TXN,2013-10-21,0.56,0.532,0.539047619048,2013,3,1
2013-07-22,TXN,2013-07-22,0.42,0.42,0.42888888888899995,2013,2,0
2013-04-22,TXN,2013-04-22,0.32,0.303,0.312916666667,2013,1,1
2013-01-22,TXN,2013-01-22,0.36,0.33,0.358857142857,2012,4,1
2012-10-22,TXN,2012-10-22,0.52,0.46,0.462916666667,2012,3,1
2012-07-23,TXN,2012-07-23,0.44,0.41,0.38299999999999995,2012,2,1
2012-04-23,TXN,2012-04-23,0.32,0.29,0.292857142857,2012,1,1
2012-01-23,TXN,2012-01-23,0.48,0.39,0.0,2011,4,1
2011-10-24,TXN,2011-10-24,0.6,0.57,0.6075,2011,3,1
2011-07-25,TXN,2011-07-25,0.56,0.53,0.0,2011,2,1
2011-04-18,TXN,2011-04-18,0.57,0.58,0.0,2011,1,0
2011-01-24,TXN,2011-01-24,0.64,0.63,0.0,2010,4,1
2010-09-01,TXN,2010-09-01,0.71,0.69,0.0,2010,3,1
2010-06-01,TXN,2010-06-01,0.62,0.62,0.0,2010,2,0
2010-03-01,TXN,2010-03-01,0.52,0.51,0.0,2010,1,1
2009-12-01,TXN,2009-12-01,0.51,0.5,0.0,2009,4,1
2009-09-01,TXN,2009-09-01,0.42,0.4,0.0,2009,3,1
2009-06-01,TXN,2009-06-01,0.25,0.23,0.0,2009,2,1
2009-03-01,TXN,2009-03-01,0.07,0.005,0.0,2009,1,1
2008-12-01,TXN,2008-12-01,0.16,0.125,0.0,2008,4,1
2008-09-01,TXN,2008-09-01,0.4,0.44,0.0,2008,3,0
2008-06-01,TXN,2008-06-01,0.44,0.455,0.0,2008,2,0
2008-03-01,TXN,2008-03-01,0.43,0.43,0.0,2008,1,0
2007-12-01,TXN,2007-12-01,0.53,0.52,0.0,2007,4,1
2007-09-01,TXN,2007-09-01,0.5,0.49,0.0,2007,3,1
2007-06-01,TXN,2007-06-01,0.42,0.42,0.0,2007,2,0
2007-03-01,TXN,2007-03-01,0.35,0.31,0.0,2007,1,1
2006-12-01,TXN,2006-12-01,0.39,0.38,0.0,2006,4,1
2006-09-01,TXN,2006-09-01,0.45,0.45,0.0,2006,3,0
2006-06-01,TXN,2006-06-01,0.47,0.47,0.0,2006,2,0
2006-03-01,TXN,2006-03-01,0.33,0.32,0.0,2006,1,1
2005-12-01,TXN,2005-12-01,0.43,0.42,0.0,2005,4,1
2005-09-01,TXN,2005-09-01,0.41,0.4,0.0,2005,3,1
2005-06-01,TXN,2005-06-01,0.32,0.29,0.0,2005,2,1
2005-03-01,TXN,2005-03-01,0.24,0.23,0.0,2005,1,1
2004-12-01,TXN,2004-12-01,0.26,0.26,0.0,2004,4,0
2004-09-01,TXN,2004-09-01,0.32,0.28,0.0,2004,3,1
2004-06-01,TXN,2004-06-01,0.25,0.25,0.0,2004,2,0
2004-03-01,TXN,2004-03-01,0.21,0.21,0.0,2004,1,0
2003-12-01,TXN,2003-12-01,0.2,0.19,0.0,2003,4,1
2003-09-01,TXN,2003-09-01,0.12,0.09,0.0,2003,3,1
2003-06-01,TXN,2003-06-01,0.07,0.06,0.0,2003,2,1
2003-03-01,TXN,2003-03-01,0.07,0.06,0.0,2003,1,1
2002-12-01,TXN,2002-12-01,0.06,0.03,0.0,2002,4,1
2002-09-01,TXN,2002-09-01,0.09,0.1,0.0,2002,3,0
2002-06-01,TXN,2002-06-01,0.06,0.06,0.0,2002,2,0
2002-03-01,TXN,2002-03-01,0.01,0.0,0.0,2002,1,1
2001-12-01,TXN,2001-12-01,0.0,0.0,0.0,2001,4,0
2001-09-01,TXN,2001-09-01,0.0,0.0,0.0,2001,3,0
2001-06-01,TXN,2001-06-01,0.03,0.025,0.0,2001,2,1
2001-03-01,TXN,2001-03-01,0.18,0.16,0.0,2001,1,1
2000-12-01,TXN,2000-12-01,0.31,0.33,0.0,2000,4,0
2000-09-01,TXN,2000-09-01,0.33,0.33,0.0,2000,3,0
2000-06-01,TXN,2000-06-01,0.31,0.3,0.0,2000,2,1
2000-03-01,TXN,2000-03-01,0.28,0.27,0.0,2000,1,1
