date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-07-30,WDC,2014-07-30,1.85,1.7409999999999999,1.76666666667,2014,4,1
2014-04-30,WDC,2014-04-30,1.94,1.881,1.9942857142900001,2014,3,1
2014-01-22,WDC,2014-01-22,2.19,2.079,2.12111111111,2014,2,1
2013-10-24,WDC,2013-10-24,2.12,2.042,2.10153846154,2014,1,1
2013-07-24,WDC,2013-07-24,1.96,1.787,1.9425,2013,4,1
2013-04-24,WDC,2013-04-24,2.1,1.786,1.8975,2013,3,1
2013-01-23,WDC,2013-01-23,2.09,1.8,1.9244,2013,2,1
2012-10-22,WDC,2012-10-22,2.36,2.3,2.35882352941,2013,1,1
2012-07-25,WDC,2012-07-25,3.35,2.46,2.4871428571400003,2012,4,1
2012-04-26,WDC,2012-04-26,2.52,1.58,1.5895,2012,3,1
2012-01-23,WDC,2012-01-23,0.61,0.72,0.0,2012,2,0
2011-10-19,WDC,2011-10-19,1.1,0.96,0.0,2012,1,1
2011-06-01,WDC,2011-06-01,0.81,0.67,0.0,2011,4,1
2011-03-01,WDC,2011-03-01,0.66,0.66,0.0,2011,3,0
2010-12-01,WDC,2010-12-01,0.96,0.58,0.0,2011,2,1
2010-09-01,WDC,2010-09-01,0.84,0.81,0.0,2011,1,1
2010-06-01,WDC,2010-06-01,1.24,1.23,0.0,2010,4,1
2010-03-01,WDC,2010-03-01,1.71,1.71,0.0,2010,3,0
2009-12-01,WDC,2009-12-01,1.85,1.85,0.0,2010,2,0
2009-09-01,WDC,2009-09-01,1.26,1.25,0.0,2010,1,1
2009-06-01,WDC,2009-06-01,0.76,0.25,0.0,2009,4,1
2009-03-01,WDC,2009-03-01,0.3,0.11,0.0,2009,3,1
2008-12-01,WDC,2008-12-01,0.55,1.85,0.0,2009,2,0
2008-09-01,WDC,2008-09-01,0.93,1.25,0.0,2009,1,0
2008-06-01,WDC,2008-06-01,1.0,0.81,0.0,2008,4,1
2008-03-01,WDC,2008-03-01,1.23,1.09,0.0,2008,3,1
2007-12-01,WDC,2007-12-01,1.35,1.04,0.0,2008,2,1
2007-09-01,WDC,2007-09-01,0.79,0.57,0.0,2008,1,1
2007-06-01,WDC,2007-06-01,0.38,0.36,0.0,2007,4,1
2007-03-01,WDC,2007-03-01,0.48,0.47,0.0,2007,3,1
2006-12-01,WDC,2006-12-01,0.57,0.52,0.0,2007,2,1
2006-09-01,WDC,2006-09-01,0.46,0.41,0.0,2007,1,1
2006-06-01,WDC,2006-06-01,0.38,0.35,0.0,2006,4,1
2006-03-01,WDC,2006-03-01,0.45,0.39,0.0,2006,3,1
2005-12-01,WDC,2005-12-01,0.5,0.38,0.0,2006,2,1
2005-09-01,WDC,2005-09-01,0.31,0.29,0.0,2006,1,1
2005-06-01,WDC,2005-06-01,0.27,0.24,0.0,2005,4,1
2005-03-01,WDC,2005-03-01,0.32,0.31,0.0,2005,3,1
2004-12-01,WDC,2004-12-01,0.26,0.18,0.0,2005,2,1
2004-09-01,WDC,2004-09-01,0.14,0.11,0.0,2005,1,1
2004-06-01,WDC,2004-06-01,0.14,0.15,0.0,2004,4,0
2004-03-01,WDC,2004-03-01,0.22,0.21,0.0,2004,3,1
2003-12-01,WDC,2003-12-01,0.32,0.29,0.0,2004,2,1
2003-09-01,WDC,2003-09-01,0.25,0.195,0.0,2004,1,1
2003-06-01,WDC,2003-06-01,0.21,0.19,0.0,2003,4,1
2003-03-01,WDC,2003-03-01,0.26,0.22,0.0,2003,3,1
2002-12-01,WDC,2002-12-01,0.36,0.13,0.0,2003,2,1
2002-09-01,WDC,2002-09-01,0.11,0.06,0.0,2003,1,1
2002-06-01,WDC,2002-06-01,0.08,0.05,0.0,2002,4,1
2002-03-01,WDC,2002-03-01,0.08,0.08,0.0,2002,3,0
2001-12-01,WDC,2001-12-01,0.05,0.04,0.0,2002,2,1
2001-09-01,WDC,2001-09-01,0.0,0.0,0.0,2002,1,0
2001-06-01,WDC,2001-06-01,0.0,0.0,0.0,2001,4,0
2001-03-01,WDC,2001-03-01,0.0,0.0,0.0,2001,3,0
2000-12-01,WDC,2000-12-01,0.0,0.0,0.0,2001,2,0
2000-09-01,WDC,2000-09-01,0.0,0.0,0.0,2001,1,0
2000-06-01,WDC,2000-06-01,0.0,0.0,0.0,2000,4,0
2000-03-01,WDC,2000-03-01,0.0,0.0,0.0,2000,3,0
1999-12-01,WDC,1999-12-01,0.0,0.0,0.0,2000,2,0
1999-09-01,WDC,1999-09-01,0.0,0.0,0.0,2000,1,0
