date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2014-04-23,XLNX,2014-04-23,0.53,0.5479999999999999,0.569166666667,2014,4,0
2014-01-21,XLNX,2014-01-21,0.55,0.534,0.541904761905,2014,3,1
2013-10-16,XLNX,2013-10-16,0.58,0.524,0.542857142857,2014,2,1
2013-07-17,XLNX,2013-07-17,0.56,0.473,0.49200000000000005,2014,1,1
2013-04-24,XLNX,2013-04-24,0.47,0.447,0.462222222222,2013,4,1
2013-01-17,XLNX,2013-01-17,0.38,0.37,0.402222222222,2013,3,1
2012-10-17,XLNX,2012-10-17,0.46,0.41,0.419166666667,2013,2,1
2012-07-18,XLNX,2012-07-18,0.47,0.45,0.472222222222,2013,1,1
2012-04-25,XLNX,2012-04-25,0.49,0.41,0.419,2012,4,1
2012-01-18,XLNX,2012-01-18,0.41,0.37,0.3625,2012,3,1
2011-09-01,XLNX,2011-09-01,0.47,0.44,0.0,2012,2,1
2011-06-01,XLNX,2011-06-01,0.56,0.53,0.0,2012,1,1
2011-03-01,XLNX,2011-03-01,0.59,0.52,0.0,2011,4,1
2010-12-01,XLNX,2010-12-01,0.58,0.52,0.0,2011,3,1
2010-09-01,XLNX,2010-09-01,0.65,0.65,0.0,2011,2,0
2010-06-01,XLNX,2010-06-01,0.58,0.53,0.0,2011,1,1
2010-04-28,XLNX,2010-04-28,0.47,0.47,0.0,2010,4,0
2009-12-01,XLNX,2009-12-01,0.4,0.38,0.0,2010,3,1
2009-09-01,XLNX,2009-09-01,0.25,0.23,0.0,2010,2,1
2009-06-01,XLNX,2009-06-01,0.21,0.14,0.0,2010,1,1
2009-03-01,XLNX,2009-03-01,0.28,0.183,0.0,2009,4,1
2008-12-01,XLNX,2008-12-01,0.32,0.38,0.0,2009,3,0
2008-09-01,XLNX,2008-09-01,0.38,0.23,0.0,2009,2,1
2008-06-01,XLNX,2008-06-01,0.38,0.14,0.0,2009,1,1
2008-03-01,XLNX,2008-03-01,0.36,0.36,0.0,2008,4,0
2007-12-01,XLNX,2007-12-01,0.35,0.32,0.0,2008,3,1
2007-09-01,XLNX,2007-09-01,0.3,0.29,0.0,2008,2,1
2007-06-01,XLNX,2007-06-01,0.28,0.29,0.0,2008,1,0
2007-03-01,XLNX,2007-03-01,0.27,0.23,0.0,2007,4,1
2006-12-01,XLNX,2006-12-01,0.25,0.23,0.0,2007,3,1
2006-09-01,XLNX,2006-09-01,0.27,0.23,0.0,2007,2,1
2006-06-01,XLNX,2006-06-01,0.24,0.26,0.0,2007,1,0
2006-03-01,XLNX,2006-03-01,0.3,0.28,0.0,2006,4,1
2005-12-01,XLNX,2005-12-01,0.27,0.27,0.0,2006,3,0
2005-09-01,XLNX,2005-09-01,0.21,0.22,0.0,2006,2,0
2005-06-01,XLNX,2005-06-01,0.21,0.21,0.0,2006,1,0
2005-03-01,XLNX,2005-03-01,0.19,0.2,0.0,2005,4,0
2004-12-01,XLNX,2004-12-01,0.17,0.17,0.0,2005,3,0
2004-09-01,XLNX,2004-09-01,0.24,0.23,0.0,2005,2,1
2004-06-01,XLNX,2004-06-01,0.28,0.28,0.0,2005,1,0
2004-03-01,XLNX,2004-03-01,0.28,0.25,0.0,2004,4,1
2003-12-01,XLNX,2003-12-01,0.2,0.18,0.0,2004,3,1
2003-09-01,XLNX,2003-09-01,0.16,0.15,0.0,2004,2,1
2003-06-01,XLNX,2003-06-01,0.15,0.15,0.0,2004,1,0
2003-03-01,XLNX,2003-03-01,0.14,0.13,0.0,2003,4,1
2002-12-01,XLNX,2002-12-01,0.12,0.12,0.0,2003,3,0
2002-09-01,XLNX,2002-09-01,0.11,0.1,0.0,2003,2,1
2002-06-01,XLNX,2002-06-01,0.12,0.12,0.0,2003,1,0
2002-03-01,XLNX,2002-03-01,0.12,0.09,0.0,2002,4,1
2001-12-01,XLNX,2001-12-01,0.07,0.04,0.0,2002,3,1
2001-09-01,XLNX,2001-09-01,0.05,0.04,0.0,2002,2,1
2001-06-01,XLNX,2001-06-01,0.08,0.07,0.0,2002,1,1
2001-03-01,XLNX,2001-03-01,0.19,0.22,0.0,2001,4,0
2000-12-01,XLNX,2000-12-01,0.31,0.32,0.0,2001,3,0
2000-09-01,XLNX,2000-09-01,0.32,0.32,0.0,2001,2,0
2000-06-01,XLNX,2000-06-01,0.27,0.25,0.0,2001,1,1
2000-03-01,XLNX,2000-03-01,0.22,0.21,0.0,2000,4,1
1999-12-01,XLNX,1999-12-01,0.2,0.19,0.0,2000,3,1
1999-09-01,XLNX,1999-09-01,0.18,0.17,0.0,2000,2,1
1999-06-01,XLNX,1999-06-01,0.15,0.0,0.0,2000,1,1
