date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-01-27,YHOO,2015-01-27,0.3,0.297,0.349175257732,2014,4,1
2014-10-21,YHOO,2014-10-21,0.52,0.309,0.3292,2014,3,1
2014-07-15,YHOO,2014-07-15,0.37,0.386,0.398076923077,2014,2,0
2014-04-15,YHOO,2014-04-15,0.38,0.373,0.405671641791,2014,1,1
2014-01-28,YHOO,2014-01-28,0.46,0.377,0.39323076923100003,2013,4,1
2013-10-15,YHOO,2013-10-15,0.34,0.327,0.356086956522,2013,3,1
2013-07-16,YHOO,2013-07-16,0.35,0.309,0.342424242424,2013,2,1
2013-04-16,YHOO,2013-04-16,0.38,0.24600000000000002,0.26234375,2013,1,1
2013-01-28,YHOO,2013-01-28,0.32,0.28,0.309152542373,2012,4,1
2012-10-22,YHOO,2012-10-22,0.35,0.25,0.264915254237,2012,3,1
2012-07-17,YHOO,2012-07-17,0.27,0.22,0.22622222222199997,2012,2,1
2012-04-17,YHOO,2012-04-17,0.24,0.17,0.17277777777800002,2012,1,1
2012-01-24,YHOO,2012-01-24,0.25,0.24,0.21545454545499998,2011,4,1
2011-10-18,YHOO,2011-10-18,0.21,0.17,0.0,2011,3,1
2011-07-19,YHOO,2011-07-19,0.19,0.18,0.0,2011,2,1
2011-04-19,YHOO,2011-04-19,0.19,0.16,0.0,2011,1,1
2011-01-25,YHOO,2011-01-25,0.26,0.22,0.0,2010,4,1
2010-10-19,YHOO,2010-10-19,0.16,0.15,0.0,2010,3,1
2010-07-20,YHOO,2010-07-20,0.16,0.14,0.0,2010,2,1
2010-04-20,YHOO,2010-04-20,0.16,0.09,0.0,2010,1,1
2010-01-26,YHOO,2010-01-26,0.14,0.11,0.0,2009,4,1
2009-10-20,YHOO,2009-10-20,0.1,0.07,0.0,2009,3,1
2009-06-01,YHOO,2009-06-01,0.1,0.08,0.0,2009,2,1
2009-03-01,YHOO,2009-03-01,0.09,0.08,0.0,2009,1,1
2008-12-01,YHOO,2008-12-01,0.21,0.125,0.0,2008,4,1
2008-09-01,YHOO,2008-09-01,0.15,0.08,0.0,2008,3,1
2008-06-01,YHOO,2008-06-01,0.16,0.1,0.0,2008,2,1
2008-03-01,YHOO,2008-03-01,0.18,0.09,0.0,2008,1,1
2007-12-01,YHOO,2007-12-01,0.13,0.11,0.0,2007,4,1
2007-09-01,YHOO,2007-09-01,0.11,0.08,0.0,2007,3,1
2007-06-01,YHOO,2007-06-01,0.11,0.11,0.0,2007,2,0
2007-03-01,YHOO,2007-03-01,0.1,0.11,0.0,2007,1,0
2006-12-01,YHOO,2006-12-01,0.16,0.13,0.0,2006,4,1
2006-09-01,YHOO,2006-09-01,0.11,0.11,0.0,2006,3,0
2006-06-01,YHOO,2006-06-01,0.16,0.155,0.0,2006,2,1
2006-03-01,YHOO,2006-03-01,0.17,0.16,0.0,2006,1,1
2005-12-01,YHOO,2005-12-01,0.16,0.17,0.0,2005,4,0
2005-09-01,YHOO,2005-09-01,0.16,0.14,0.0,2005,3,1
2005-06-01,YHOO,2005-06-01,0.13,0.13,0.0,2005,2,0
2005-03-01,YHOO,2005-03-01,0.13,0.11,0.0,2005,1,1
2004-12-01,YHOO,2004-12-01,0.13,0.11,0.0,2004,4,1
2004-09-01,YHOO,2004-09-01,0.09,0.09,0.0,2004,3,0
2004-06-01,YHOO,2004-06-01,0.08,0.08,0.0,2004,2,0
2004-03-01,YHOO,2004-03-01,0.065,0.053,0.0,2004,1,1
2003-12-01,YHOO,2003-12-01,0.055,0.05,0.0,2003,4,1
2003-09-01,YHOO,2003-09-01,0.05,0.045,0.0,2003,3,1
2003-06-01,YHOO,2003-06-01,0.04,0.045,0.0,2003,2,0
2003-03-01,YHOO,2003-03-01,0.04,0.03,0.0,2003,1,1
2002-12-01,YHOO,2002-12-01,0.04,0.03,0.0,2002,4,1
2002-09-01,YHOO,2002-09-01,0.025,0.018000000000000002,0.0,2002,3,1
2002-06-01,YHOO,2002-06-01,0.015,0.01,0.0,2002,2,1
2002-03-01,YHOO,2002-03-01,0.01,0.008,0.0,2002,1,1
2001-12-01,YHOO,2001-12-01,0.015,0.005,0.0,2001,4,1
2001-09-01,YHOO,2001-09-01,0.005,0.005,0.0,2001,3,0
2001-06-01,YHOO,2001-06-01,0.005,0.005,0.0,2001,2,0
2001-03-01,YHOO,2001-03-01,0.005,0.0,0.0,2001,1,1
2000-12-01,YHOO,2000-12-01,0.065,0.07,0.0,2000,4,0
2000-09-01,YHOO,2000-09-01,0.065,0.06,0.0,2000,3,1
2000-06-01,YHOO,2000-06-01,0.055,0.0,0.0,2000,2,1
2000-03-01,YHOO,2000-03-01,0.05,0.0,0.0,2000,1,1
