date,date,ticker,open,high,low,close,volume,fiscal_year,fiscal_quarter,beat
2000-01-03,2000-01-03,ADBE,16.69,16.76,15.95,16.27,7384400,2000,1,1
2000-01-04,2000-01-04,ADBE,15.64,16.34,14.88,14.91,7813200,2000,1,1
2000-01-05,2000-01-05,ADBE,14.46,15.58,14.46,15.2,14927200,2000,1,1
2000-01-06,2000-01-06,ADBE,15.25,15.55,15.05,15.33,10221200,2000,1,1
2000-01-07,2000-01-07,ADBE,15.28,16.07,15.11,16.07,8253200,2000,1,1
2000-01-10,2000-01-10,ADBE,16.23,16.69,15.79,16.69,10987200,2000,1,1
2000-01-11,2000-01-11,ADBE,16.68,16.69,15.48,15.55,9616000,2000,1,1
2000-01-12,2000-01-12,ADBE,15.58,15.73,15.33,15.47,8051200,2000,1,1
2000-01-13,2000-01-13,ADBE,15.59,16.38,15.58,16.29,5527200,2000,1,1
2000-01-14,2000-01-14,ADBE,16.54,16.72,16.29,16.46,5136800,2000,1,1
2000-01-18,2000-01-18,ADBE,16.15,16.35,15.89,15.89,5201600,2000,1,1
2000-01-19,2000-01-19,ADBE,15.82,15.98,15.51,15.67,4559200,2000,1,1
2000-01-20,2000-01-20,ADBE,15.79,16.04,15.27,15.84,4248800,2000,1,1
2000-01-21,2000-01-21,ADBE,16.01,16.1,15.39,15.61,6900000,2000,1,1
2000-01-24,2000-01-24,ADBE,15.66,15.76,14.92,15.03,5895600,2000,1,1
2000-01-25,2000-01-25,ADBE,14.93,15.73,14.61,15.64,7566000,2000,1,1
2000-01-26,2000-01-26,ADBE,15.67,15.95,15.13,15.19,4466000,2000,1,1
2000-01-27,2000-01-27,ADBE,15.1,15.89,15.1,15.56,5864400,2000,1,1
2000-01-28,2000-01-28,ADBE,15.19,15.36,14.06,14.29,5712000,2000,1,1
2000-01-31,2000-01-31,ADBE,14.18,14.43,13.26,13.67,16459200,2000,1,1
2000-02-01,2000-02-01,ADBE,13.87,14.12,13.68,13.87,6765600,2000,1,1
2000-02-02,2000-02-02,ADBE,13.89,15.3,13.81,15.22,13409600,2000,2,1
2000-02-03,2000-02-03,ADBE,15.84,17.16,15.73,17.14,19747200,2000,2,1
2000-02-04,2000-02-04,ADBE,17.06,18.49,16.63,18.37,13516800,2000,2,1
2000-02-07,2000-02-07,ADBE,18.31,19.22,17.93,19.13,12919200,2000,2,1
2000-02-08,2000-02-08,ADBE,19.25,20.85,19.05,20.79,14297200,2000,2,1
2000-02-09,2000-02-09,ADBE,20.82,21.78,20.57,21.74,15321600,2000,2,1
2000-02-10,2000-02-10,ADBE,21.49,22.65,20.91,22.65,13175600,2000,2,1
2000-02-11,2000-02-11,ADBE,22.34,22.65,21.57,22.45,7216800,2000,2,1
2000-02-14,2000-02-14,ADBE,21.88,22.34,21.12,22.25,6994800,2000,2,1
2000-02-15,2000-02-15,ADBE,21.95,22.84,21.41,22.06,7082400,2000,2,1
2000-02-16,2000-02-16,ADBE,21.84,24.51,21.72,24.37,10723600,2000,2,1
2000-02-17,2000-02-17,ADBE,24.57,25.35,23.86,25.21,10482400,2000,2,1
2000-02-18,2000-02-18,ADBE,25.47,25.49,24.08,24.39,6311200,2000,2,1
2000-02-22,2000-02-22,ADBE,24.28,24.73,22.45,24.4,7825600,2000,2,1
2000-02-23,2000-02-23,ADBE,24.2,26.06,23.69,24.73,7614800,2000,2,1
2000-02-24,2000-02-24,ADBE,25.1,26.47,24.08,26.41,6901200,2000,2,1
2000-02-25,2000-02-25,ADBE,25.69,25.92,24.33,24.45,4176000,2000,2,1
2000-02-28,2000-02-28,ADBE,24.21,24.73,23.58,24.28,6549600,2000,2,1
2000-02-29,2000-02-29,ADBE,24.82,25.57,24.61,25.32,6718800,2000,2,1
2000-03-01,2000-03-01,ADBE,25.37,25.38,24.51,24.92,5105200,2000,2,1
2000-03-02,2000-03-02,ADBE,23.89,23.89,19.86,20.01,24963600,2000,2,1
2000-03-03,2000-03-03,ADBE,20.9,22.77,20.49,22.5,18611200,2000,2,1
2000-03-06,2000-03-06,ADBE,22.15,22.25,20.85,21.3,6946400,2000,2,1
2000-03-07,2000-03-07,ADBE,21.8,21.81,20.0,20.15,6066400,2000,2,1
2000-03-08,2000-03-08,ADBE,20.25,20.26,19.49,19.63,8405600,2000,2,1
2000-03-09,2000-03-09,ADBE,19.77,20.2,19.11,19.39,10022000,2000,2,1
2000-03-10,2000-03-10,ADBE,19.73,21.27,19.72,20.67,15000800,2000,2,1
2000-03-13,2000-03-13,ADBE,20.04,21.01,19.98,20.39,6446400,2000,2,1
2000-03-14,2000-03-14,ADBE,21.72,22.06,19.86,20.22,12852800,2000,2,1
2000-03-15,2000-03-15,ADBE,20.6,21.46,19.86,20.74,9849600,2000,2,1
2000-03-16,2000-03-16,ADBE,20.99,23.52,19.36,23.44,22378000,2000,2,1
2000-03-17,2000-03-17,ADBE,22.09,22.68,21.33,21.77,18887600,2000,2,1
2000-03-20,2000-03-20,ADBE,21.89,22.33,21.25,21.7,8595200,2000,2,1
