date,date,ticker,open,high,low,close,volume,fiscal_year,fiscal_quarter,beat
2000-01-03,2000-01-03,ADP,30.48,30.72,29.59,29.62,2698900,2000,2,1
2000-01-04,2000-01-04,ADP,29.41,30.19,29.34,29.62,3141100,2000,2,1
2000-01-05,2000-01-05,ADP,29.59,29.59,28.77,29.34,3008800,2000,2,1
2000-01-06,2000-01-06,ADP,29.55,30.15,29.23,29.73,2121700,2000,2,1
2000-01-07,2000-01-07,ADP,30.4,30.65,29.91,30.4,1892300,2000,2,1
2000-01-10,2000-01-10,ADP,30.19,31.19,30.12,31.15,1722200,2000,2,1
2000-01-11,2000-01-11,ADP,30.83,30.97,30.37,30.55,1087900,2000,2,1
2000-01-12,2000-01-12,ADP,30.55,30.69,30.05,30.26,1108900,2000,2,1
2000-01-13,2000-01-13,ADP,30.26,30.26,29.87,30.08,1314600,2000,2,1
2000-01-14,2000-01-14,ADP,29.55,30.12,29.05,29.76,2138500,2000,2,1
2000-01-18,2000-01-18,ADP,29.48,29.66,27.95,28.05,2826300,2000,2,1
2000-01-19,2000-01-19,ADP,28.13,31.04,28.09,30.8,4264400,2000,2,1
2000-01-20,2000-01-20,ADP,30.4,30.76,28.7,28.94,3220200,2000,2,1
2000-01-21,2000-01-21,ADP,29.37,29.37,28.48,28.8,2826200,2000,2,1
2000-01-24,2000-01-24,ADP,29.05,29.05,28.34,28.48,2919500,2000,2,1
2000-01-25,2000-01-25,ADP,28.77,29.23,28.59,29.09,2439700,2000,2,1
2000-01-26,2000-01-26,ADP,29.55,29.55,28.52,29.05,1759300,2000,2,1
2000-01-27,2000-01-27,ADP,29.19,29.44,27.09,28.59,2568300,2000,2,1
2000-01-28,2000-01-28,ADP,28.45,28.48,27.48,27.88,1732100,2000,2,1
2000-01-31,2000-01-31,ADP,27.88,27.88,26.67,27.02,2152300,2000,2,1
2000-02-01,2000-02-01,ADP,27.06,27.7,26.59,27.45,1747500,2000,2,1
2000-02-02,2000-02-02,ADP,27.48,27.48,25.21,25.95,2998300,2000,2,1
2000-02-03,2000-02-03,ADP,26.2,27.91,26.1,27.7,3202300,2000,2,1
2000-02-04,2000-02-04,ADP,27.66,28.05,27.27,27.34,1296600,2000,2,1
2000-02-07,2000-02-07,ADP,27.34,27.48,26.49,26.49,1554500,2000,2,1
2000-02-08,2000-02-08,ADP,26.77,26.77,26.2,26.52,2684900,2000,2,1
2000-02-09,2000-02-09,ADP,26.52,26.74,25.53,25.63,2266800,2000,2,1
2000-02-10,2000-02-10,ADP,25.74,27.27,25.67,26.99,2229900,2000,2,1
2000-02-11,2000-02-11,ADP,26.77,26.77,25.92,26.1,1208300,2000,2,1
2000-02-14,2000-02-14,ADP,26.17,27.2,25.99,26.38,1729900,2000,2,1
2000-02-15,2000-02-15,ADP,26.52,26.77,25.88,26.24,2317100,2000,2,1
