date,ticker,open,high,low,close,volume
2000-01-03,ADSK,8.2,8.35,7.75,8.05,2845600
2000-01-04,ADSK,7.77,7.84,7.6,7.66,3348800
2000-01-05,ADSK,7.48,7.49,7.09,7.18,4297600
2000-01-06,ADSK,7.12,7.21,6.67,6.74,3856800
2000-01-07,ADSK,6.77,7.6,6.76,7.54,6387600
2000-01-10,ADSK,7.65,7.77,7.25,7.46,1180800
2000-01-11,ADSK,7.37,7.55,7.27,7.27,934000
2000-01-12,ADSK,7.25,7.28,6.97,7.15,1117600
2000-01-13,ADSK,7.15,7.4,7.03,7.07,1217200
2000-01-14,ADSK,7.11,7.28,7.07,7.28,1225600
2000-01-18,ADSK,7.19,7.25,7.01,7.09,1618000
2000-01-19,ADSK,7.03,7.4,7.03,7.3,3188800
2000-01-20,ADSK,7.31,7.52,7.22,7.31,1371600
2000-01-21,ADSK,7.34,7.46,7.27,7.43,1968400
2000-01-24,ADSK,7.6,8.43,7.52,8.13,8451600
2000-01-25,ADSK,8.08,8.25,7.83,7.99,2772800
2000-01-26,ADSK,7.86,8.04,7.81,7.81,3570000
2000-01-27,ADSK,7.81,7.98,7.74,7.86,2780400
2000-01-28,ADSK,7.74,7.81,7.46,7.46,1506000
2000-01-31,ADSK,7.4,7.52,7.19,7.39,1864400
2000-02-01,ADSK,7.3,7.74,7.22,7.66,698800
2000-02-02,ADSK,7.62,7.86,7.4,7.71,1245600
2000-02-03,ADSK,7.74,8.04,7.71,7.98,3368000
2000-02-04,ADSK,7.98,8.02,7.62,7.9,1589600
2000-02-07,ADSK,7.92,9.01,7.9,8.84,11131200
2000-02-08,ADSK,8.91,9.72,8.88,9.55,12836800
2000-02-09,ADSK,9.43,9.5,8.82,9.2,3866000
2000-02-10,ADSK,9.26,9.55,9.02,9.22,1761600
2000-02-11,ADSK,9.25,9.35,8.84,8.91,1704800
2000-02-14,ADSK,8.87,9.38,8.69,8.99,3272000
2000-02-15,ADSK,8.97,9.01,8.64,8.9,1969200
2000-02-16,ADSK,8.88,9.1,8.84,9.01,2137600
2000-02-17,ADSK,9.01,9.46,8.94,9.37,3688400
2000-02-18,ADSK,9.32,9.46,9.01,9.2,3000800
2000-02-22,ADSK,9.16,9.19,8.46,8.73,3323200
2000-02-23,ADSK,8.88,9.34,8.88,9.31,3070800
2000-02-24,ADSK,9.28,10.18,9.28,9.93,12784800
2000-02-25,ADSK,10.4,11.85,10.4,11.6,18195200
2000-02-28,ADSK,11.48,11.48,10.61,11.01,7662400
2000-02-29,ADSK,10.88,10.97,10.52,10.8,8181200
2000-03-01,ADSK,10.79,11.01,10.64,10.83,4728400
