date,ticker,open,high,low,close,volume
2000-01-03,AKAM,344.19,345.5,311.0,321.25,285600
2000-01-04,AKAM,320.0,321.5,300.0,300.0,215900
2000-01-05,AKAM,282.5,299.62,262.0,283.5,1183500
2000-01-06,AKAM,272.0,278.12,235.25,236.12,797500
2000-01-07,AKAM,248.38,254.5,238.0,248.38,729100
2000-01-10,AKAM,259.12,286.25,249.56,285.5,1143200
2000-01-11,AKAM,295.12,298.0,267.25,278.44,481000
2000-01-12,AKAM,288.0,289.25,250.0,254.0,1011300
2000-01-13,AKAM,260.38,260.5,218.38,232.81,1031300
2000-01-14,AKAM,254.0,254.62,229.0,230.0,641500
2000-01-18,AKAM,229.06,229.06,207.5,211.5,822200
2000-01-19,AKAM,212.0,233.0,212.0,224.75,1367500
2000-01-20,AKAM,229.5,235.75,220.0,234.0,916400
2000-01-21,AKAM,235.0,275.0,229.75,269.0,1232100
2000-01-24,AKAM,271.94,284.44,258.62,262.06,886600
2000-01-25,AKAM,264.0,282.0,254.62,279.31,369800
2000-01-26,AKAM,278.0,288.0,274.06,277.5,596900
2000-01-27,AKAM,270.0,290.0,264.0,281.12,544100
2000-01-28,AKAM,266.12,285.06,255.0,270.06,418300
2000-01-31,AKAM,264.12,267.0,235.06,249.12,675900
2000-02-01,AKAM,255.25,256.47,235.38,239.06,328100
2000-02-02,AKAM,239.12,245.0,231.25,233.62,314400
2000-02-03,AKAM,240.0,252.0,239.88,245.38,479800
2000-02-04,AKAM,247.62,254.0,230.41,235.0,330200
2000-02-07,AKAM,230.0,233.0,216.0,228.62,1577400
2000-02-08,AKAM,241.12,246.0,232.06,240.94,684000
2000-02-09,AKAM,241.25,244.0,233.0,234.88,672500
2000-02-10,AKAM,236.75,236.88,227.0,229.0,422800
2000-02-11,AKAM,229.06,241.0,226.12,233.06,393000
2000-02-14,AKAM,233.56,238.75,226.81,230.38,419000
2000-02-15,AKAM,231.75,233.0,217.0,222.5,380600
2000-02-16,AKAM,229.75,252.0,228.19,246.12,1087700
2000-02-17,AKAM,246.25,253.0,235.5,252.0,702300
2000-02-18,AKAM,246.0,247.0,239.25,241.69,502700
2000-02-22,AKAM,238.62,244.0,238.38,242.12,374400
2000-02-23,AKAM,246.0,260.5,233.5,252.06,497000
2000-02-24,AKAM,253.5,275.38,253.0,274.81,739600
2000-02-25,AKAM,274.25,275.0,261.0,267.06,493500
2000-02-28,AKAM,263.38,265.38,248.31,256.75,456200
2000-02-29,AKAM,259.28,262.75,250.0,261.25,252100
2000-03-01,AKAM,259.38,285.88,259.31,278.62,688000
2000-03-02,AKAM,282.19,290.69,265.0,268.0,556600
2000-03-03,AKAM,278.25,286.62,265.88,268.38,585100
2000-03-06,AKAM,270.5,278.81,252.75,254.0,363500
2000-03-07,AKAM,260.0,268.19,255.0,262.44,585900
2000-03-08,AKAM,264.19,269.06,249.0,265.0,400700
2000-03-09,AKAM,267.88,288.0,265.16,286.0,465200
2000-03-10,AKAM,288.06,305.94,288.0,296.0,669100
2000-03-13,AKAM,274.0,302.5,273.94,284.75,453300
2000-03-14,AKAM,292.5,292.75,266.0,269.75,343500
2000-03-15,AKAM,269.56,270.19,230.19,240.25,898700
2000-03-16,AKAM,243.0,245.5,215.0,229.12,826100
2000-03-17,AKAM,227.0,237.5,218.5,218.94,550800
2000-03-20,AKAM,218.75,227.88,209.62,213.25,1239900
2000-03-21,AKAM,208.88,208.88,189.0,197.5,1344400
2000-03-22,AKAM,202.25,225.0,201.31,208.5,821000
2000-03-23,AKAM,210.0,215.0,199.0,201.88,633900
2000-03-24,AKAM,203.5,215.0,202.5,211.0,556700
2000-03-27,AKAM,214.25,219.5,206.12,208.69,325900
2000-03-28,AKAM,207.25,207.38,199.0,199.88,493200
2000-03-29,AKAM,199.44,199.44,168.0,170.0,1700200
2000-03-30,AKAM,166.0,172.06,159.5,160.06,1395700
2000-03-31,AKAM,172.06,172.12,155.0,160.81,841300
2000-04-03,AKAM,157.12,157.88,118.0,119.0,1812400
2000-04-04,AKAM,127.0,127.75,105.0,115.47,2058700
2000-04-05,AKAM,110.88,130.12,107.0,110.0,1405500
2000-04-06,AKAM,117.5,136.0,115.0,135.12,2277000
2000-04-07,AKAM,141.0,149.75,138.0,145.69,1293800
2000-04-10,AKAM,149.94,151.62,127.31,133.31,1420900
2000-04-11,AKAM,121.31,123.0,105.0,107.75,3136600
2000-04-12,AKAM,110.88,111.56,92.75,92.75,2596400
2000-04-13,AKAM,97.31,99.25,87.88,88.0,1587800
2000-04-14,AKAM,84.5,84.75,64.0,64.88,2184500
2000-04-17,AKAM,60.0,76.62,56.62,70.0,2003400
2000-04-18,AKAM,74.5,95.0,67.88,91.5,1895100
2000-04-19,AKAM,95.0,102.12,85.0,88.94,1564000
2000-04-20,AKAM,93.0,93.56,81.25,86.94,948900
2000-04-24,AKAM,78.0,82.5,74.5,75.88,943100
2000-04-25,AKAM,82.0,82.0,70.0,73.06,2603400
2000-04-26,AKAM,68.0,79.81,67.0,73.5,1799600
2000-04-27,AKAM,68.06,83.75,68.0,83.12,1502400
2000-04-28,AKAM,88.19,108.0,87.5,98.88,2801200
2000-05-01,AKAM,105.5,113.38,100.12,103.31,2010700
2000-05-02,AKAM,105.12,111.75,101.12,105.38,1608600
2000-05-03,AKAM,101.12,103.19,87.33,91.88,2057600
2000-05-04,AKAM,99.94,100.88,93.0,97.0,1355000
2000-05-05,AKAM,94.94,103.0,94.0,97.06,846400
2000-05-08,AKAM,96.75,96.88,86.38,86.62,867700
2000-05-09,AKAM,90.66,91.38,82.75,83.25,1300800
2000-05-10,AKAM,80.25,87.06,73.69,77.38,1342500
2000-05-11,AKAM,82.75,83.0,72.0,73.2,1488800
2000-05-12,AKAM,77.0,78.5,69.88,70.5,1602000
2000-05-15,AKAM,72.0,75.0,67.75,74.75,1559200
2000-05-16,AKAM,79.75,81.0,72.0,76.06,1652600
2000-05-17,AKAM,74.69,82.0,74.06,77.0,1398200
2000-05-18,AKAM,79.75,80.19,74.44,75.56,806100
2000-05-19,AKAM,74.0,74.94,70.0,71.94,852300
2000-05-22,AKAM,74.0,74.0,61.5,69.38,1274700
2000-05-23,AKAM,67.31,71.0,65.5,67.75,1333600
2000-05-24,AKAM,67.81,69.25,60.94,66.44,1520000
2000-05-25,AKAM,69.56,71.56,62.0,62.44,861800
2000-05-26,AKAM,64.0,64.0,58.88,59.94,666700
2000-05-30,AKAM,63.25,76.0,61.75,75.0,1787200
2000-05-31,AKAM,72.47,77.06,66.62,66.75,1696600
2000-06-01,AKAM,74.62,76.0,71.5,73.88,1412700
2000-06-02,AKAM,80.12,91.0,79.5,89.0,3279800
2000-06-05,AKAM,85.62,99.75,85.5,95.06,2892600
2000-06-06,AKAM,97.56,102.0,86.5,87.56,2228800
2000-06-07,AKAM,89.19,92.0,83.88,85.5,1824800
2000-06-08,AKAM,90.25,91.5,87.0,90.56,1311100
2000-06-09,AKAM,96.06,100.0,93.0,98.0,1612000
2000-06-12,AKAM,93.94,93.94,88.0,88.62,1715100
2000-06-13,AKAM,88.75,98.06,81.0,98.0,3002100
2000-06-14,AKAM,96.44,100.75,92.38,93.94,3123100
2000-06-15,AKAM,93.25,95.5,91.0,91.25,1597300
2000-06-16,AKAM,92.75,95.0,87.88,88.0,1540900
2000-06-19,AKAM,87.88,93.62,87.88,92.75,1359200
2000-06-20,AKAM,94.81,96.75,90.5,94.0,2130900
