date,ticker,open,high,low,close,volume
2000-01-03,AMAT,26.12,26.12,24.69,25.73,14356400
2000-01-04,AMAT,24.77,25.48,24.41,24.46,22822400
2000-01-05,AMAT,24.02,24.45,23.12,23.55,27791200
2000-01-06,AMAT,23.24,24.18,22.84,23.59,22438000
2000-01-07,AMAT,22.94,23.81,22.58,23.79,37732400
2000-01-10,AMAT,24.23,25.87,24.11,25.71,30214400
2000-01-11,AMAT,25.18,26.38,24.45,24.58,27264000
2000-01-12,AMAT,24.82,25.89,23.98,25.85,30550400
2000-01-13,AMAT,25.15,25.94,24.34,25.33,44196400
2000-01-14,AMAT,26.41,28.28,26.35,27.59,61415200
2000-01-18,AMAT,27.24,28.02,26.88,27.49,27733600
2000-01-19,AMAT,27.57,29.14,27.31,28.96,29092400
2000-01-20,AMAT,29.27,29.57,28.2,28.48,28180000
2000-01-21,AMAT,28.81,29.04,28.04,28.74,30846000
2000-01-24,AMAT,28.54,29.83,28.53,28.58,25352800
2000-01-25,AMAT,28.77,29.56,27.52,29.38,32854800
2000-01-26,AMAT,29.31,29.38,27.27,27.32,27227600
2000-01-27,AMAT,27.91,28.54,27.13,27.57,26986000
2000-01-28,AMAT,27.39,28.15,26.15,26.4,31494800
2000-01-31,AMAT,26.18,27.99,26.09,27.92,30351200
2000-02-01,AMAT,27.21,28.76,27.11,28.58,22794800
2000-02-02,AMAT,28.49,29.93,28.41,29.26,27897200
2000-02-03,AMAT,29.49,30.52,29.49,30.21,23597200
2000-02-04,AMAT,30.44,30.69,29.47,29.57,18998000
2000-02-07,AMAT,29.6,31.37,29.3,31.25,21438000
2000-02-08,AMAT,31.48,32.86,31.02,32.78,37100400
2000-02-09,AMAT,32.38,34.29,32.37,33.31,37757200
2000-02-10,AMAT,33.31,35.55,32.8,35.55,27658800
2000-02-11,AMAT,35.17,35.46,33.26,33.57,33136400
2000-02-14,AMAT,34.1,34.51,32.5,32.77,30705200
2000-02-15,AMAT,33.34,34.43,32.51,33.87,41104800
2000-02-16,AMAT,35.6,36.16,34.89,35.27,50966000
2000-02-17,AMAT,35.41,38.44,34.56,38.32,47536400
2000-02-18,AMAT,38.31,38.6,36.01,36.16,35272800
2000-02-22,AMAT,35.88,37.43,35.28,36.37,30175600
2000-02-23,AMAT,36.31,37.48,36.14,36.82,23998000
2000-02-24,AMAT,36.67,37.99,36.36,37.33,27143200
2000-02-25,AMAT,37.37,37.71,34.79,35.05,26224800
