date,ticker,open,high,low,close,volume
2000-01-03,ATVI,1.22,1.27,1.08,1.27,7225800
2000-01-04,ATVI,1.25,1.26,1.1,1.23,4262400
2000-01-05,ATVI,1.22,1.27,1.22,1.24,3389000
2000-01-06,ATVI,1.23,1.24,1.2,1.21,2429000
2000-01-07,ATVI,1.23,1.26,1.2,1.25,15549000
2000-01-10,ATVI,1.26,1.31,1.23,1.31,10950600
2000-01-11,ATVI,1.31,1.41,1.3,1.37,10710600
2000-01-12,ATVI,1.33,1.33,1.27,1.31,2688200
2000-01-13,ATVI,1.3,1.33,1.27,1.32,3267200
2000-01-14,ATVI,1.3,1.32,1.29,1.31,2553800
2000-01-18,ATVI,1.31,1.35,1.31,1.31,2460800
2000-01-19,ATVI,1.32,1.32,1.29,1.29,3593600
2000-01-20,ATVI,1.28,1.31,1.21,1.22,5339600
2000-01-21,ATVI,1.22,1.22,1.15,1.17,11460400
2000-01-24,ATVI,1.16,1.17,1.14,1.16,5056200
2000-01-25,ATVI,1.17,1.17,1.05,1.12,6113200
2000-01-26,ATVI,1.14,1.27,1.12,1.23,11746000
2000-01-27,ATVI,1.33,1.36,1.26,1.33,9348400
2000-01-28,ATVI,1.29,1.31,1.25,1.27,2914000
2000-01-31,ATVI,1.28,1.28,1.2,1.21,1468800
2000-02-01,ATVI,1.22,1.35,1.22,1.3,2315600
2000-02-02,ATVI,1.31,1.37,1.27,1.34,6186800
2000-02-03,ATVI,1.35,1.36,1.33,1.36,6501200
2000-02-04,ATVI,1.35,1.36,1.16,1.22,25299200
2000-02-07,ATVI,1.17,1.18,1.15,1.16,10279600
2000-02-08,ATVI,1.17,1.18,1.1,1.14,7245000
2000-02-09,ATVI,1.14,1.15,1.11,1.12,2530000
2000-02-10,ATVI,1.15,1.15,1.11,1.12,2599600
2000-02-11,ATVI,1.14,1.16,1.13,1.15,1787600
2000-02-14,ATVI,1.15,1.16,1.1,1.11,2164400
2000-02-15,ATVI,1.13,1.13,1.08,1.08,2474800
2000-02-16,ATVI,1.11,1.13,1.08,1.08,2820400
2000-02-17,ATVI,1.11,1.13,1.08,1.08,2438400
2000-02-18,ATVI,1.1,1.12,0.98,1.04,5574600
2000-02-22,ATVI,1.04,1.07,1.01,1.03,1397200
2000-02-23,ATVI,1.04,1.04,0.99,1.01,1273800
2000-02-24,ATVI,1.02,1.02,0.99,1.01,1603400
2000-02-25,ATVI,1.02,1.02,0.98,0.99,2985600
2000-02-28,ATVI,0.98,0.99,0.97,0.97,2762800
2000-02-29,ATVI,0.97,0.99,0.97,0.98,2793600
2000-03-01,ATVI,0.99,1.16,0.99,1.12,16404400
2000-03-02,ATVI,1.14,1.16,1.09,1.12,2438400
2000-03-03,ATVI,1.12,1.16,1.09,1.14,12320000
2000-03-06,ATVI,1.16,1.16,1.1,1.11,2217800
2000-03-07,ATVI,1.12,1.14,1.02,1.06,2758400
2000-03-08,ATVI,1.06,1.06,1.02,1.02,1924400
2000-03-09,ATVI,1.04,1.12,1.04,1.12,2037200
2000-03-10,ATVI,1.12,1.14,1.1,1.11,5174400
2000-03-13,ATVI,1.12,1.12,1.04,1.05,1632200
2000-03-14,ATVI,1.07,1.09,1.0,1.07,2685000
2000-03-15,ATVI,1.08,1.08,0.99,1.0,7386800
2000-03-16,ATVI,1.06,1.06,1.0,1.0,2022600
2000-03-17,ATVI,0.99,1.05,0.99,1.01,3273600
2000-03-20,ATVI,1.02,1.09,1.02,1.04,2267600
2000-03-21,ATVI,1.07,1.08,1.02,1.04,840400
2000-03-22,ATVI,1.05,1.08,1.03,1.03,1156400
2000-03-23,ATVI,1.03,1.04,0.98,0.99,2265600
2000-03-24,ATVI,1.0,1.05,0.99,1.05,4598600
2000-03-27,ATVI,1.03,1.05,1.01,1.01,2633600
2000-03-28,ATVI,1.02,1.04,1.01,1.02,1790800
2000-03-29,ATVI,1.02,1.04,0.99,1.01,2230400
2000-03-30,ATVI,1.0,1.0,0.99,0.99,2664400
2000-03-31,ATVI,1.0,1.0,0.9,0.93,5303600
2000-04-03,ATVI,0.94,0.94,0.82,0.86,5470000
2000-04-04,ATVI,0.86,0.86,0.79,0.82,7339600
2000-04-05,ATVI,0.8,0.87,0.79,0.83,5208400
2000-04-06,ATVI,0.83,0.88,0.83,0.85,2582400
2000-04-07,ATVI,0.85,0.85,0.59,0.62,102558800
2000-04-10,ATVI,0.69,0.69,0.62,0.62,20695600
2000-04-11,ATVI,0.62,0.63,0.52,0.54,7491200
2000-04-12,ATVI,0.56,0.56,0.49,0.54,9036800
2000-04-13,ATVI,0.55,0.55,0.53,0.53,2665800
2000-04-14,ATVI,0.52,0.52,0.49,0.5,6372400
2000-04-17,ATVI,0.5,0.51,0.45,0.49,13665200
2000-04-18,ATVI,0.49,0.51,0.46,0.49,5312000
2000-04-19,ATVI,0.51,0.52,0.48,0.48,2793600
2000-04-20,ATVI,0.48,0.52,0.48,0.52,12741200
2000-04-24,ATVI,0.51,0.52,0.49,0.51,3561800
2000-04-25,ATVI,0.52,0.54,0.48,0.53,31559600
2000-04-26,ATVI,0.55,0.56,0.51,0.52,5526600
2000-04-27,ATVI,0.52,0.52,0.51,0.52,5525200
2000-04-28,ATVI,0.54,0.54,0.47,0.48,9297200
2000-05-01,ATVI,0.5,0.54,0.48,0.48,12412800
2000-05-02,ATVI,0.51,0.55,0.5,0.53,4435200
2000-05-03,ATVI,0.51,0.52,0.5,0.51,3592400
2000-05-04,ATVI,0.51,0.54,0.51,0.53,1235400
2000-05-05,ATVI,0.53,0.58,0.52,0.57,3276800
2000-05-08,ATVI,0.58,0.63,0.58,0.58,6435200
2000-05-09,ATVI,0.58,0.61,0.55,0.56,2642000
2000-05-10,ATVI,0.44,0.48,0.42,0.47,23678800
2000-05-11,ATVI,0.48,0.52,0.46,0.52,6835200
2000-05-12,ATVI,0.51,0.55,0.5,0.53,8352200
2000-05-15,ATVI,0.54,0.57,0.52,0.56,6166400
2000-05-16,ATVI,0.56,0.56,0.53,0.55,5270600
2000-05-17,ATVI,0.54,0.54,0.51,0.54,5710000
