date,date,ticker,open,high,low,close,volume,fiscal_year,fiscal_quarter,beat
2000-01-03,2000-01-03,BRCM,88.56,88.71,78.82,84.72,5782200,2000,4,1
2000-01-04,2000-01-04,BRCM,82.66,84.68,78.79,79.15,3359100,2000,4,1
2000-01-05,2000-01-05,BRCM,76.3,79.48,71.98,77.08,7465200,2000,4,1
2000-01-06,2000-01-06,BRCM,75.39,76.56,71.19,71.3,4499700,2000,4,1
2000-01-07,2000-01-07,BRCM,69.64,82.66,68.78,82.66,5652000,2000,4,1
2000-01-10,2000-01-10,BRCM,88.09,94.57,86.97,91.68,10480200,2000,4,1
2000-01-11,2000-01-11,BRCM,90.15,95.23,81.34,83.13,6621000,2000,4,1
2000-01-12,2000-01-12,BRCM,84.99,91.74,82.82,88.25,8599800,2000,4,1
2000-01-13,2000-01-13,BRCM,90.53,93.05,85.8,88.29,6310200,2000,4,1
2000-01-14,2000-01-14,BRCM,91.93,93.56,89.95,91.58,5111700,2000,4,1
2000-01-18,2000-01-18,BRCM,93.36,103.02,92.74,101.89,9194400,2000,4,1
2000-01-19,2000-01-19,BRCM,99.1,102.55,90.86,98.66,19689900,2000,4,1
2000-01-20,2000-01-20,BRCM,100.19,100.42,97.55,98.91,5637000,2000,4,1
2000-01-21,2000-01-21,BRCM,99.57,99.76,96.27,96.91,3569400,2000,4,1
2000-01-24,2000-01-24,BRCM,97.71,97.71,88.71,89.22,7745400,2000,4,1
2000-01-25,2000-01-25,BRCM,91.0,91.5,84.52,87.7,7458000,2000,4,1
2000-01-26,2000-01-26,BRCM,88.03,91.19,86.54,88.89,5349900,2000,4,1
2000-01-27,2000-01-27,BRCM,90.15,91.19,84.76,87.28,5265900,2000,4,1
2000-01-28,2000-01-28,BRCM,86.31,89.95,84.5,88.09,7143300,2000,4,1
2000-01-31,2000-01-31,BRCM,87.37,89.8,82.51,89.74,5233800,2000,4,1
2000-02-01,2000-02-01,BRCM,89.8,92.88,85.63,92.05,5389500,2000,4,1
2000-02-02,2000-02-02,BRCM,93.05,101.39,92.12,97.84,10475400,2000,4,1
2000-02-03,2000-02-03,BRCM,98.95,102.44,97.16,100.36,6975900,2000,4,1
2000-02-04,2000-02-04,BRCM,101.58,101.6,94.92,96.47,8273400,2000,4,1
2000-02-07,2000-02-07,BRCM,97.63,106.16,96.31,105.25,6789900,2000,4,1
2000-02-08,2000-02-08,BRCM,105.89,108.95,96.47,103.91,6286500,2000,4,1
2000-02-09,2000-02-09,BRCM,104.84,107.24,102.36,104.51,4724100,2000,4,1
2000-02-10,2000-02-10,BRCM,105.23,110.08,104.38,108.25,5943600,2000,4,1
2000-02-11,2000-02-11,BRCM,108.95,109.88,104.22,104.57,4722000,2000,4,1
2000-02-14,2000-02-14,BRCM,107.17,107.48,99.26,106.55,3401400,2000,4,1
2000-02-15,2000-02-15,BRCM,108.25,109.34,102.44,108.18,3392200,2000,4,1
2000-02-16,2000-02-16,BRCM,108.95,116.16,107.01,115.54,4348600,2000,4,1
2000-02-17,2000-02-17,BRCM,116.71,120.04,111.35,118.06,4786000,2000,4,1
2000-02-18,2000-02-18,BRCM,121.16,121.16,116.01,117.87,4686300,2000,4,1
2000-02-22,2000-02-22,BRCM,116.94,117.87,111.35,116.63,3986800,2000,4,1
2000-02-23,2000-02-23,BRCM,117.33,118.49,113.99,115.39,2669700,2000,4,1
2000-02-24,2000-02-24,BRCM,117.21,118.26,114.15,115.93,3731500,2000,4,1
2000-02-25,2000-02-25,BRCM,116.32,122.75,112.67,118.49,4757700,2000,4,1
2000-02-28,2000-02-28,BRCM,119.69,119.92,111.66,112.6,3352800,2000,4,1
2000-02-29,2000-02-29,BRCM,119.11,123.1,117.89,122.44,4010700,2000,4,1
2000-03-01,2000-03-01,BRCM,124.38,129.35,122.52,127.79,3842500,2000,4,1
2000-03-02,2000-03-02,BRCM,129.35,130.2,124.69,127.87,2990100,2001,1,0
2000-03-03,2000-03-03,BRCM,130.74,146.21,130.12,144.47,4155300,2001,1,0
2000-03-06,2000-03-06,BRCM,144.82,154.74,138.34,145.9,3601800,2001,1,0
2000-03-07,2000-03-07,BRCM,148.93,154.94,142.1,150.75,3850500,2001,1,0
2000-03-08,2000-03-08,BRCM,154.59,154.62,130.28,145.47,5765800,2001,1,0
2000-03-09,2000-03-09,BRCM,149.35,151.21,143.3,148.27,2541000,2001,1,0
2000-03-10,2000-03-10,BRCM,150.9,154.97,148.27,150.79,2629000,2001,1,0
2000-03-13,2000-03-13,BRCM,142.84,148.58,139.89,142.68,3349600,2001,1,0
2000-03-14,2000-03-14,BRCM,145.51,146.41,124.61,124.65,5519800,2001,1,0
2000-03-15,2000-03-15,BRCM,127.95,131.52,112.25,116.59,9306300,2001,1,0
2000-03-16,2000-03-16,BRCM,123.72,132.14,115.0,132.02,10081200,2001,1,0
2000-03-17,2000-03-17,BRCM,132.99,138.34,132.45,134.97,3556000,2001,1,0
2000-03-20,2000-03-20,BRCM,136.48,142.37,128.88,131.75,4543800,2001,1,0
2000-03-21,2000-03-21,BRCM,126.32,142.06,120.35,141.44,6388300,2001,1,0
2000-03-22,2000-03-22,BRCM,143.19,153.15,142.67,150.52,5035300,2001,1,0
2000-03-23,2000-03-23,BRCM,149.97,156.95,149.89,152.61,3799600,2001,1,0
2000-03-24,2000-03-24,BRCM,153.46,154.08,141.83,144.54,5316600,2001,1,0
2000-03-27,2000-03-27,BRCM,148.23,150.67,140.67,144.54,3496800,2001,1,0
2000-03-28,2000-03-28,BRCM,144.85,144.85,136.32,138.15,3140700,2001,1,0
2000-03-29,2000-03-29,BRCM,139.89,140.74,129.66,134.58,5871400,2001,1,0
2000-03-30,2000-03-30,BRCM,129.66,143.3,128.41,130.86,7028500,2001,1,0
2000-03-31,2000-03-31,BRCM,135.35,151.37,126.79,150.67,8099100,2001,1,0
2000-04-03,2000-04-03,BRCM,145.16,146.25,130.28,135.9,8214100,2001,1,0
2000-04-04,2000-04-04,BRCM,136.25,137.41,94.37,126.55,19954800,2001,1,0
2000-04-05,2000-04-05,BRCM,119.81,136.79,112.29,126.9,11011900,2001,1,0
2000-04-06,2000-04-06,BRCM,131.28,132.52,118.33,125.78,7479000,2001,1,0
2000-04-07,2000-04-07,BRCM,129.97,132.14,125.35,128.88,4770900,2001,1,0
2000-04-10,2000-04-10,BRCM,131.94,133.38,118.49,120.66,7113300,2001,1,0
2000-04-11,2000-04-11,BRCM,113.02,118.18,102.98,109.57,13462600,2001,1,0
2000-04-12,2000-04-12,BRCM,106.16,111.04,96.82,98.02,10269000,2001,1,0
2000-04-13,2000-04-13,BRCM,97.09,98.64,86.39,89.37,12395400,2001,1,0
2000-04-14,2000-04-14,BRCM,82.04,88.09,70.1,75.84,20358300,2001,1,0
2000-04-17,2000-04-17,BRCM,71.01,93.05,70.72,92.16,14976100,2001,1,0
2000-04-18,2000-04-18,BRCM,93.98,100.34,87.16,97.4,11555400,2001,1,0
2000-04-19,2000-04-19,BRCM,98.02,98.4,87.55,88.25,9216600,2001,1,0
2000-04-20,2000-04-20,BRCM,92.59,95.77,88.4,94.61,6823900,2001,1,0
2000-04-24,2000-04-24,BRCM,91.74,94.29,78.2,88.01,11808600,2001,1,0
2000-04-25,2000-04-25,BRCM,92.67,100.5,91.19,99.8,12710800,2001,1,0
2000-04-26,2000-04-26,BRCM,100.58,107.87,95.92,99.61,10947900,2001,1,0
2000-04-27,2000-04-27,BRCM,92.36,108.56,92.36,105.93,9505500,2001,1,0
2000-04-28,2000-04-28,BRCM,107.94,111.66,105.0,106.93,6429700,2001,1,0
2000-05-01,2000-05-01,BRCM,109.34,112.91,106.62,108.1,6642600,2001,1,0
2000-05-02,2000-05-02,BRCM,112.32,116.16,109.65,112.91,9715000,2001,1,0
2000-05-03,2000-05-03,BRCM,109.18,111.98,102.36,109.14,8437600,2001,1,0
2000-05-04,2000-05-04,BRCM,111.2,112.21,105.15,108.76,5850100,2001,1,0
2000-05-05,2000-05-05,BRCM,107.01,113.25,106.31,110.31,5194600,2001,1,0
