date,ticker,open,high,low,close,volume
2000-01-03,CA,58.15,58.4,56.58,56.78,3176300
2000-01-04,CA,56.07,57.24,55.01,56.78,2568200
2000-01-05,CA,52.93,52.93,50.19,51.1,5085700
2000-01-06,CA,51.3,51.71,47.5,47.86,3903700
2000-01-07,CA,48.67,49.12,47.55,47.65,2984000
2000-01-10,CA,48.87,51.91,48.77,50.85,3171300
2000-01-11,CA,51.3,53.84,51.1,53.08,2538200
2000-01-12,CA,54.35,55.77,53.13,55.61,2695000
2000-01-13,CA,55.61,55.61,51.91,51.91,1342000
2000-01-14,CA,53.54,54.14,52.57,53.18,1830400
2000-01-18,CA,53.64,53.84,51.71,51.91,2053500
2000-01-19,CA,52.01,52.98,51.81,51.91,1888400
2000-01-20,CA,52.93,56.32,52.83,56.17,3729000
2000-01-21,CA,56.73,57.79,55.26,57.44,3247400
2000-01-24,CA,59.06,62.46,58.3,60.02,4893800
2000-01-25,CA,59.01,60.84,57.69,60.58,3539300
2000-01-26,CA,60.73,62.2,59.72,60.84,2815500
2000-01-27,CA,60.48,64.44,58.0,58.81,5171300
2000-01-28,CA,57.79,58.71,54.6,55.77,3291900
2000-01-31,CA,55.16,56.98,53.18,55.56,2867100
2000-02-01,CA,55.77,57.24,54.25,57.08,1950100
2000-02-02,CA,57.79,57.95,55.82,56.78,2208000
2000-02-03,CA,57.49,57.9,56.48,56.98,2074700
2000-02-04,CA,57.19,58.81,56.98,57.39,2035400
2000-02-07,CA,57.79,58.15,55.97,56.17,1616200
2000-02-08,CA,57.74,58.35,57.03,57.44,3181600
2000-02-09,CA,58.81,58.81,56.68,56.98,1944700
2000-02-10,CA,57.03,58.15,55.66,55.66,2361100
2000-02-11,CA,56.48,56.98,56.02,56.58,2083500
2000-02-14,CA,55.21,56.68,54.19,56.22,4667900
2000-02-15,CA,57.29,59.62,56.37,59.21,4200500
2000-02-16,CA,59.82,60.33,58.91,59.01,2689500
2000-02-17,CA,59.01,59.82,57.9,58.71,2488800
2000-02-18,CA,59.82,60.23,57.79,57.79,2811200
2000-02-22,CA,58.0,58.25,54.8,56.43,2438700
2000-02-23,CA,57.08,57.08,54.95,55.16,2727900
2000-02-24,CA,56.27,56.98,53.13,55.01,2791800
2000-02-25,CA,55.36,55.36,52.67,53.38,2415600
2000-02-28,CA,53.43,53.59,51.61,52.27,2124200
2000-02-29,CA,53.33,53.84,51.96,52.12,2526200
2000-03-01,CA,53.54,54.55,53.38,53.79,3100200
2000-03-02,CA,53.79,53.79,52.42,52.62,2232800
2000-03-03,CA,52.83,53.38,52.62,52.88,2233700
2000-03-06,CA,53.74,53.99,51.25,51.76,3251000
2000-03-07,CA,51.86,52.42,50.85,51.1,3036500
2000-03-08,CA,50.9,52.07,48.47,48.87,2976900
2000-03-09,CA,48.87,53.59,48.87,53.54,5062400
2000-03-10,CA,53.64,55.16,53.03,53.94,1866400
2000-03-13,CA,52.17,53.08,51.91,52.57,2775600
2000-03-14,CA,52.93,53.74,50.29,50.49,2455100
2000-03-15,CA,51.91,52.01,50.19,50.95,2981900
2000-03-16,CA,50.75,52.37,49.89,52.01,2794600
2000-03-17,CA,51.91,53.18,51.15,53.18,2845800
2000-03-20,CA,53.74,55.01,51.91,51.91,2291100
2000-03-21,CA,52.98,53.74,52.42,53.54,2025100
2000-03-22,CA,53.54,55.36,53.54,53.54,2438700
2000-03-23,CA,53.59,53.74,52.22,53.03,2413500
2000-03-24,CA,53.13,53.99,52.62,53.99,3025900
2000-03-27,CA,54.04,54.04,52.42,53.08,3051500
2000-03-28,CA,52.12,52.42,51.1,51.1,2182700
2000-03-29,CA,51.0,51.1,49.23,49.99,2354600
2000-03-30,CA,48.72,49.28,45.22,46.34,6038600
2000-03-31,CA,47.45,48.72,47.05,47.45,6097600
2000-04-03,CA,47.35,47.35,45.02,47.35,4795300
2000-04-04,CA,47.25,47.3,43.29,46.24,4438900
2000-04-05,CA,45.93,47.05,44.61,46.29,2869000
2000-04-06,CA,46.44,48.97,46.39,47.4,3809500
2000-04-07,CA,49.18,50.8,48.87,49.99,4703700
2000-04-10,CA,50.65,51.1,47.3,51.0,3498100
2000-04-11,CA,48.42,49.02,46.94,48.02,3244500
2000-04-12,CA,47.05,47.5,44.82,45.02,3300700
2000-04-13,CA,45.02,46.39,43.9,44.61,2619300
2000-04-14,CA,43.24,43.8,40.96,42.99,3790200
2000-04-17,CA,42.58,43.75,40.96,42.48,2733300
2000-04-18,CA,42.69,42.89,41.01,41.77,4914400
2000-04-19,CA,41.42,41.77,38.93,40.66,6098100
2000-04-20,CA,41.47,42.64,40.86,42.23,3241700
2000-04-24,CA,40.86,41.17,38.93,40.66,2804000
2000-04-25,CA,40.61,42.03,39.75,41.37,3085800
2000-04-26,CA,41.98,44.71,41.88,44.51,3107900
2000-04-27,CA,43.5,45.83,43.09,44.97,2392800
2000-04-28,CA,45.78,46.03,44.46,45.27,1405100
2000-05-01,CA,45.47,46.13,44.41,44.56,1625900
2000-05-02,CA,43.65,44.0,42.94,43.04,2448100
2000-05-03,CA,42.99,42.99,39.59,40.56,2725900
2000-05-04,CA,40.76,41.72,40.15,41.42,3138200
2000-05-05,CA,41.32,43.6,41.22,43.04,2303500
2000-05-08,CA,42.23,42.28,36.45,38.02,7736100
2000-05-09,CA,38.53,39.24,37.06,37.21,8114100
