date,ticker,open,high,low,close,volume
2000-01-03,CERN,2.46,2.59,2.46,2.55,736800
2000-01-04,CERN,2.53,2.55,2.48,2.51,1083200
2000-01-05,CERN,2.52,2.52,2.47,2.51,1121600
2000-01-06,CERN,2.49,2.51,2.45,2.49,1267200
2000-01-07,CERN,2.47,2.55,2.44,2.54,1914400
2000-01-10,CERN,2.51,2.66,2.49,2.62,2478400
2000-01-11,CERN,2.64,2.88,2.64,2.83,3136000
2000-01-12,CERN,2.87,2.9,2.67,2.74,2398400
2000-01-13,CERN,2.73,2.85,2.73,2.77,1456800
2000-01-14,CERN,2.77,3.03,2.75,3.02,3086400
2000-01-18,CERN,2.99,3.02,2.88,2.94,2148000
2000-01-19,CERN,2.94,2.94,2.51,2.68,4578400
2000-01-20,CERN,2.66,2.76,2.61,2.67,4888000
2000-01-21,CERN,2.73,2.73,2.6,2.61,2749600
2000-01-24,CERN,2.59,2.62,2.42,2.47,4104800
2000-01-25,CERN,2.48,2.48,2.34,2.34,2660000
2000-01-26,CERN,2.33,2.44,2.3,2.3,1443200
2000-01-27,CERN,2.3,2.51,2.23,2.44,1470400
2000-01-28,CERN,2.81,3.0,2.66,2.68,12299200
2000-01-31,CERN,2.69,2.73,2.45,2.48,2507200
2000-02-01,CERN,2.5,2.7,2.48,2.57,6036800
2000-02-02,CERN,2.56,2.81,2.53,2.8,3224000
2000-02-03,CERN,2.73,2.94,2.73,2.9,2343200
2000-02-04,CERN,2.87,3.03,2.87,2.98,2793600
2000-02-07,CERN,3.02,3.22,2.91,3.19,4827200
2000-02-08,CERN,3.21,3.27,2.97,3.07,2711200
2000-02-09,CERN,3.09,3.11,2.95,3.0,1459200
2000-02-10,CERN,2.98,3.09,2.93,3.09,1788800
2000-02-11,CERN,3.09,3.12,3.02,3.09,2120800
2000-02-14,CERN,3.36,3.81,3.36,3.75,16994400
2000-02-15,CERN,3.67,3.98,3.56,3.97,7659200
2000-02-16,CERN,3.95,3.97,3.67,3.71,4128000
2000-02-17,CERN,3.7,3.88,3.66,3.84,2509600
2000-02-18,CERN,3.8,3.84,3.66,3.66,1654400
2000-02-22,CERN,3.65,3.77,3.55,3.73,1943200
2000-02-23,CERN,3.75,4.0,3.72,3.91,3170400
2000-02-24,CERN,3.89,4.08,3.85,4.04,2317600
2000-02-25,CERN,4.02,4.27,3.98,4.2,4053600
2000-02-28,CERN,4.17,4.2,4.06,4.17,1575200
2000-02-29,CERN,4.16,4.47,4.05,4.43,2648000
2000-03-01,CERN,4.45,4.45,4.2,4.24,2445600
2000-03-02,CERN,4.22,4.46,4.22,4.42,1686400
2000-03-03,CERN,4.58,5.11,4.53,4.75,7974400
2000-03-06,CERN,4.72,4.73,4.28,4.49,7728000
2000-03-07,CERN,4.5,4.5,4.06,4.2,5016800
2000-03-08,CERN,4.23,4.25,4.03,4.07,4832000
2000-03-09,CERN,4.06,4.31,4.0,4.11,13300000
2000-03-10,CERN,4.16,4.17,4.03,4.06,2234400
2000-03-13,CERN,4.03,4.08,3.95,4.0,855200
2000-03-14,CERN,4.0,4.01,3.45,3.58,2092800
2000-03-15,CERN,3.59,3.87,3.56,3.73,2073600
2000-03-16,CERN,3.69,3.85,3.67,3.8,3075200
2000-03-17,CERN,3.8,3.88,3.72,3.8,379200
2000-03-20,CERN,3.81,3.91,3.53,3.53,2356000
2000-03-21,CERN,3.56,3.57,3.22,3.24,6721600
2000-03-22,CERN,3.24,3.24,3.14,3.19,4236800
2000-03-23,CERN,3.2,3.31,3.19,3.22,4216000
2000-03-24,CERN,3.22,3.59,3.2,3.45,5241600
2000-03-27,CERN,3.34,3.44,3.32,3.38,1335200
2000-03-28,CERN,3.36,3.41,3.34,3.37,700800
2000-03-29,CERN,3.38,3.41,3.31,3.33,980000
2000-03-30,CERN,3.3,3.32,3.12,3.27,3114400
2000-03-31,CERN,3.25,3.48,3.22,3.38,2963200
2000-04-03,CERN,3.37,3.41,3.27,3.3,2497600
2000-04-04,CERN,3.34,3.34,2.7,3.05,2695200
2000-04-05,CERN,3.05,3.23,3.02,3.12,742400
2000-04-06,CERN,3.08,3.22,3.08,3.12,1586400
2000-04-07,CERN,3.61,4.02,3.53,4.0,5974400
2000-04-10,CERN,4.0,4.01,3.36,3.36,2841600
2000-04-11,CERN,3.3,3.52,3.22,3.4,2092800
2000-04-12,CERN,3.54,3.54,3.25,3.34,692000
2000-04-13,CERN,3.3,3.38,3.25,3.28,2636800
2000-04-14,CERN,3.25,3.25,2.91,3.04,2107200
2000-04-17,CERN,2.94,3.14,2.89,2.95,1816000
2000-04-18,CERN,2.91,3.19,2.91,3.16,2008800
2000-04-19,CERN,3.2,3.52,3.16,3.37,1977600
2000-04-20,CERN,3.37,3.48,3.12,3.12,1797600
2000-04-24,CERN,2.99,2.99,2.47,2.83,4840800
2000-04-25,CERN,2.8,3.05,2.78,2.95,1248800
2000-04-26,CERN,3.02,3.05,2.78,2.83,1680000
2000-04-27,CERN,2.84,2.94,2.81,2.91,1928800
2000-04-28,CERN,2.93,2.95,2.47,2.76,6002400
2000-05-01,CERN,2.94,3.37,2.94,3.35,4209600
2000-05-02,CERN,3.2,3.28,2.94,2.94,1186400
2000-05-03,CERN,2.94,2.97,2.75,2.97,998400
2000-05-04,CERN,2.95,3.03,2.92,3.03,382400
2000-05-05,CERN,3.01,3.06,2.97,3.01,602400
2000-05-08,CERN,3.03,3.03,2.73,2.73,1288800
2000-05-09,CERN,2.78,2.91,2.72,2.89,760000
2000-05-10,CERN,2.84,2.84,2.73,2.76,607200
2000-05-11,CERN,2.77,3.01,2.76,2.99,747200
2000-05-12,CERN,2.98,3.02,2.93,2.95,733600
2000-05-15,CERN,2.94,3.14,2.88,3.14,1149600
2000-05-16,CERN,3.12,3.12,2.94,2.95,502400
2000-05-17,CERN,2.91,2.94,2.86,2.88,1345600
2000-05-18,CERN,2.88,2.94,2.86,2.88,816800
2000-05-19,CERN,2.86,2.92,2.82,2.88,744000
2000-05-22,CERN,2.84,3.0,2.76,3.0,1184800
2000-05-23,CERN,2.91,2.95,2.83,2.89,1457600
2000-05-24,CERN,2.84,2.84,2.62,2.78,1754400
2000-05-25,CERN,2.78,2.81,2.76,2.77,1580800
2000-05-26,CERN,2.78,2.82,2.77,2.8,669600
2000-05-30,CERN,2.79,3.0,2.79,2.98,1049600
2000-05-31,CERN,2.93,2.99,2.77,2.85,1804800
2000-06-01,CERN,2.92,3.0,2.85,2.93,673600
2000-06-02,CERN,2.95,3.03,2.88,2.91,432000
2000-06-05,CERN,2.95,3.02,2.94,3.0,526400
2000-06-06,CERN,3.01,3.14,3.01,3.12,2212800
2000-06-07,CERN,3.12,3.31,3.12,3.31,1725600
2000-06-08,CERN,3.28,3.44,3.28,3.38,3619200
2000-06-09,CERN,3.39,3.4,3.27,3.27,1716000
2000-06-12,CERN,3.27,3.28,3.15,3.16,928800
2000-06-13,CERN,3.15,3.17,3.08,3.16,5673600
2000-06-14,CERN,3.2,3.27,3.2,3.25,3313600
2000-06-15,CERN,3.2,3.22,3.08,3.12,4004000
2000-06-16,CERN,3.13,3.2,3.07,3.15,2261600
2000-06-19,CERN,3.14,3.26,3.11,3.19,835200
2000-06-20,CERN,3.26,3.41,3.23,3.38,2426400
2000-06-21,CERN,3.42,3.62,3.33,3.41,4018400
2000-06-22,CERN,3.33,3.34,3.19,3.23,2792800
2000-06-23,CERN,3.27,3.34,3.2,3.3,1125600
2000-06-26,CERN,3.31,3.69,3.31,3.45,2035200
2000-06-27,CERN,3.44,3.48,3.38,3.38,1912800
2000-06-28,CERN,3.37,3.43,3.36,3.38,1468800
2000-06-29,CERN,3.38,3.48,3.38,3.47,1551200
2000-06-30,CERN,3.42,3.48,3.35,3.41,2096000
2000-07-03,CERN,3.39,3.41,3.34,3.35,208800
2000-07-05,CERN,3.37,3.37,3.29,3.33,3828800
2000-07-06,CERN,3.3,3.54,3.3,3.52,1647200
2000-07-07,CERN,3.55,3.65,3.52,3.57,1512000
2000-07-10,CERN,3.56,3.58,3.3,3.38,2380000
2000-07-11,CERN,3.38,3.51,3.37,3.46,2468800
2000-07-12,CERN,3.46,3.69,3.45,3.63,1924800
2000-07-13,CERN,3.64,3.73,3.6,3.73,1192800
2000-07-14,CERN,3.7,3.75,3.6,3.62,1697600
2000-07-17,CERN,3.61,3.66,3.57,3.66,1431200
2000-07-18,CERN,3.66,3.66,3.56,3.61,858400
2000-07-19,CERN,3.58,3.6,3.31,3.38,893600
2000-07-20,CERN,3.56,4.3,3.55,4.26,11159200
