date,ticker,open,high,low,close,volume
2000-01-03,CSCO,48.67,48.81,45.85,47.84,53076000
2000-01-04,CSCO,46.71,47.37,45.05,45.16,50805600
2000-01-05,CSCO,44.3,46.27,43.06,45.02,68524000
2000-01-06,CSCO,44.63,45.1,43.67,44.27,48242600
2000-01-07,CSCO,44.0,46.93,44.0,46.88,62260600
2000-01-10,CSCO,48.04,48.7,46.99,48.62,50583000
2000-01-11,CSCO,47.87,48.54,46.49,47.15,43210200
2000-01-12,CSCO,47.32,47.59,45.82,45.96,40757800
2000-01-13,CSCO,46.93,47.15,45.93,47.01,34494400
2000-01-14,CSCO,47.93,48.37,46.49,47.62,43623000
2000-01-18,CSCO,47.59,49.81,47.48,49.59,59568600
2000-01-19,CSCO,49.45,50.03,48.29,49.73,45597000
2000-01-20,CSCO,50.2,50.97,49.34,49.75,41731200
2000-01-21,CSCO,50.86,51.08,49.78,51.03,44974600
2000-01-24,CSCO,51.25,51.25,48.04,48.29,43787800
2000-01-25,CSCO,48.04,49.97,47.4,49.64,55379800
2000-01-26,CSCO,49.34,49.48,47.37,47.46,35308800
2000-01-27,CSCO,48.18,48.98,45.93,47.21,47908600
2000-01-28,CSCO,47.18,48.43,45.6,45.99,49564400
2000-01-31,CSCO,45.57,48.54,44.27,48.48,66914600
2000-02-01,CSCO,48.6,52.3,48.51,52.16,87263000
2000-02-02,CSCO,51.41,52.13,50.03,50.42,68449200
2000-02-03,CSCO,50.86,52.52,50.69,52.16,48675200
2000-02-04,CSCO,52.94,54.24,52.52,53.63,52970000
2000-02-07,CSCO,54.93,55.51,54.26,55.43,48933400
2000-02-08,CSCO,56.62,56.67,54.76,55.7,72100800
2000-02-09,CSCO,59.0,59.77,55.98,57.03,107807600
2000-02-10,CSCO,57.83,60.32,56.92,60.19,64314000
2000-02-11,CSCO,58.94,59.16,56.73,57.97,75471000
2000-02-14,CSCO,58.86,58.86,56.2,57.78,49103800
2000-02-15,CSCO,57.45,57.61,55.48,56.67,61367200
2000-02-16,CSCO,56.62,57.34,56.12,56.3,46274000
2000-02-17,CSCO,57.09,57.83,56.51,57.78,39656600
2000-02-18,CSCO,57.86,57.92,55.59,55.7,41600000
2000-02-22,CSCO,56.03,56.26,53.68,54.87,61144400
2000-02-23,CSCO,56.23,61.54,55.92,61.38,105707800
2000-02-24,CSCO,60.77,60.99,58.66,60.77,74976000
2000-02-25,CSCO,60.49,60.77,58.03,58.77,46451200
2000-02-28,CSCO,57.9,58.97,56.51,57.81,52048400
2000-02-29,CSCO,58.6,59.3,57.23,58.53,41688600
2000-03-01,CSCO,58.75,59.94,57.56,58.3,39469400
2000-03-02,CSCO,58.05,59.11,57.53,58.77,31939200
2000-03-03,CSCO,59.55,61.51,59.27,60.85,38053800
2000-03-06,CSCO,60.74,61.1,59.52,60.27,33787600
2000-03-07,CSCO,60.99,61.02,57.89,58.47,42309600
2000-03-08,CSCO,59.0,59.77,57.56,58.61,48042400
2000-03-09,CSCO,59.27,61.98,58.5,61.68,67248600
2000-03-10,CSCO,61.6,62.81,60.24,60.38,48013600
2000-03-13,CSCO,59.77,62.0,59.33,60.3,47557200
2000-03-14,CSCO,60.63,61.15,58.3,58.33,58617400
2000-03-15,CSCO,59.11,59.77,56.06,56.95,62863600
2000-03-16,CSCO,57.45,59.05,55.04,58.3,75486200
2000-03-17,CSCO,58.0,60.19,58.0,59.77,53047600
2000-03-20,CSCO,59.77,60.55,58.69,59.38,39242200
2000-03-21,CSCO,59.55,62.59,58.86,62.36,57357400
2000-03-22,CSCO,62.7,64.97,61.49,63.92,59111600
2000-03-23,CSCO,64.75,69.9,63.76,68.9,76967200
2000-03-24,CSCO,70.95,72.0,69.29,70.29,64910400
2000-03-27,CSCO,72.11,72.61,70.01,70.89,47360000
2000-03-28,CSCO,70.45,71.28,68.63,68.96,42658000
2000-03-29,CSCO,69.01,69.72,66.41,67.35,54776100
2000-03-30,CSCO,66.3,67.96,62.65,65.19,67081600
2000-03-31,CSCO,65.84,68.9,63.98,68.46,53212600
2000-04-03,CSCO,68.07,68.18,63.76,64.59,61832400
2000-04-04,CSCO,65.53,65.97,56.67,64.75,10846100
2000-04-05,CSCO,62.21,66.3,62.09,63.87,64975400
2000-04-06,CSCO,65.42,65.75,62.65,63.59,43823900
