date,ticker,open,high,low,close,volume
2000-01-03,CTSH,2.3,2.31,1.73,2.0,3955200
2000-01-04,CTSH,1.96,2.04,1.86,1.93,2971200
2000-01-05,CTSH,1.87,2.04,1.69,2.04,2836800
2000-01-06,CTSH,2.03,2.04,1.93,1.93,1147200
2000-01-07,CTSH,1.92,1.96,1.79,1.96,1324800
2000-01-10,CTSH,2.06,2.22,1.98,2.0,2788800
2000-01-11,CTSH,2.0,2.1,1.95,1.98,2064000
2000-01-12,CTSH,1.97,1.98,1.84,1.89,691200
2000-01-13,CTSH,1.9,1.96,1.88,1.96,907200
2000-01-14,CTSH,2.04,2.07,1.88,1.9,1396800
2000-01-18,CTSH,1.89,1.97,1.67,1.7,2304000
2000-01-19,CTSH,1.7,1.89,1.68,1.83,1411200
2000-01-20,CTSH,1.87,1.96,1.74,1.77,2294400
2000-01-21,CTSH,1.75,1.78,1.66,1.71,2030400
2000-01-24,CTSH,1.68,1.88,1.68,1.83,2832000
2000-01-25,CTSH,1.83,1.88,1.79,1.87,916800
2000-01-26,CTSH,1.87,2.12,1.87,1.9,2577600
2000-01-27,CTSH,1.95,2.03,1.9,1.9,912000
2000-01-28,CTSH,1.97,1.97,1.86,1.87,297600
2000-01-31,CTSH,1.83,1.94,1.52,1.57,5491200
2000-02-01,CTSH,1.65,1.87,1.58,1.83,3057600
2000-02-02,CTSH,1.9,1.96,1.84,1.92,1252800
2000-02-03,CTSH,1.92,1.98,1.84,1.94,1987200
2000-02-04,CTSH,2.04,2.04,1.94,2.02,1099200
2000-02-07,CTSH,2.01,2.27,2.01,2.26,5011200
2000-02-08,CTSH,2.46,2.68,2.34,2.58,10214400
2000-02-09,CTSH,2.62,2.62,2.42,2.55,3787200
2000-02-10,CTSH,2.52,2.6,2.42,2.58,2452800
2000-02-11,CTSH,2.58,2.74,2.47,2.71,9974400
2000-02-14,CTSH,2.81,2.81,2.58,2.69,5020800
2000-02-15,CTSH,2.73,2.73,2.58,2.66,1272000
2000-02-16,CTSH,2.64,2.67,2.58,2.58,1708800
2000-02-17,CTSH,2.6,2.66,2.5,2.56,5707200
2000-02-18,CTSH,2.56,2.56,2.41,2.41,2476800
2000-02-22,CTSH,2.41,2.44,2.31,2.4,2496000
2000-02-23,CTSH,2.4,2.4,2.37,2.37,2913600
2000-02-24,CTSH,2.38,2.39,2.27,2.27,2630400
2000-02-25,CTSH,2.29,2.39,2.28,2.35,2505600
2000-02-28,CTSH,2.37,2.41,2.25,2.25,2054400
2000-02-29,CTSH,2.31,2.32,2.21,2.27,1440000
2000-03-01,CTSH,2.29,2.29,2.21,2.26,1761600
2000-03-02,CTSH,2.34,2.54,2.32,2.47,9590400
2000-03-03,CTSH,2.48,2.6,2.48,2.52,5625600
2000-03-06,CTSH,2.67,2.69,2.56,2.63,6091200
2000-03-07,CTSH,2.67,2.72,2.55,2.55,1708800
2000-03-08,CTSH,2.59,2.59,2.4,2.56,1910400
2000-03-09,CTSH,2.52,2.79,2.46,2.73,2016000
2000-03-10,CTSH,2.76,2.79,2.49,2.56,2116800
2000-03-13,CTSH,2.49,2.72,2.45,2.5,2121600
2000-03-14,CTSH,2.65,2.65,2.26,2.33,4036800
2000-03-15,CTSH,2.36,2.36,1.88,2.1,6057600
2000-03-16,CTSH,2.06,2.14,1.99,2.04,5798400
2000-03-17,CTSH,2.04,2.4,2.03,2.34,3758400
2000-03-20,CTSH,2.35,2.58,2.31,2.37,2536800
2000-03-21,CTSH,2.29,2.5,2.24,2.49,3088800
2000-03-22,CTSH,2.54,2.6,2.5,2.58,1610400
2000-03-23,CTSH,2.7,2.91,2.62,2.7,6228000
2000-03-24,CTSH,2.72,2.92,2.7,2.77,2445600
2000-03-27,CTSH,2.89,3.01,2.75,2.86,1953600
2000-03-28,CTSH,2.95,3.0,2.83,2.91,2025600
2000-03-29,CTSH,2.93,2.93,2.35,2.75,4636800
2000-03-30,CTSH,2.65,2.71,2.42,2.48,2155200
2000-03-31,CTSH,2.54,2.64,2.39,2.6,1495200
2000-04-03,CTSH,2.55,2.6,2.21,2.25,1713600
2000-04-04,CTSH,2.25,2.4,1.67,2.35,3427200
2000-04-05,CTSH,2.07,2.21,2.04,2.17,1749600
2000-04-06,CTSH,2.17,2.37,2.12,2.25,772800
2000-04-07,CTSH,2.26,2.38,2.08,2.18,2160000
2000-04-10,CTSH,2.17,2.17,1.88,1.88,2085600
2000-04-11,CTSH,1.86,2.08,1.78,1.96,1663200
2000-04-12,CTSH,1.92,1.97,1.75,1.83,1620000
2000-04-13,CTSH,1.83,1.86,1.74,1.78,1852800
2000-04-14,CTSH,1.74,1.75,1.29,1.45,2630400
2000-04-17,CTSH,1.01,1.5,1.01,1.5,4077600
2000-04-18,CTSH,1.51,1.71,1.25,1.59,2443200
2000-04-19,CTSH,1.65,1.76,1.64,1.76,3484800
2000-04-20,CTSH,1.76,1.9,1.76,1.87,998400
