date,ticker,open,high,low,close,volume
2000-01-03,EA,21.25,28.77,20.59,25.27,9040800
2000-01-04,EA,23.75,24.5,22.31,22.34,6331200
2000-01-05,EA,22.0,24.37,21.52,22.33,5072000
2000-01-06,EA,22.06,22.62,19.84,20.0,6408400
2000-01-07,EA,21.02,21.66,20.31,20.59,5456400
2000-01-10,EA,21.28,25.0,21.25,24.03,9786000
2000-01-11,EA,23.5,26.77,23.31,23.75,6759600
2000-01-12,EA,24.27,24.48,22.16,22.5,4612400
2000-01-13,EA,23.25,23.8,22.22,23.2,5160000
2000-01-14,EA,23.5,23.53,21.03,21.2,4668400
2000-01-18,EA,21.08,21.09,19.25,19.58,12421600
2000-01-19,EA,19.36,19.48,19.06,19.22,4629600
2000-01-20,EA,20.47,20.47,18.75,19.14,5696000
2000-01-21,EA,19.5,19.75,17.16,17.25,8121200
2000-01-24,EA,17.75,18.75,17.48,17.77,9941600
2000-01-25,EA,18.33,19.81,17.13,18.98,5461600
2000-01-26,EA,18.81,19.44,16.97,18.27,14158800
2000-01-27,EA,18.3,19.39,17.12,18.28,5180800
2000-01-28,EA,18.34,19.45,17.75,17.77,6653600
2000-01-31,EA,18.14,20.5,17.5,20.44,5277600
2000-02-01,EA,20.47,20.98,18.75,20.61,4379600
2000-02-02,EA,20.69,22.61,19.75,21.94,5889200
2000-02-03,EA,22.02,23.09,20.98,23.0,3909600
2000-02-04,EA,22.78,22.88,21.38,21.48,2622800
2000-02-07,EA,21.59,22.03,19.91,20.47,3283600
2000-02-08,EA,20.41,22.14,20.34,22.03,3414400
2000-02-09,EA,22.17,22.19,20.12,20.19,1883600
2000-02-10,EA,20.88,21.5,20.47,21.48,2665200
2000-02-11,EA,21.31,21.42,20.0,20.44,2496000
2000-02-14,EA,20.62,21.09,20.31,20.97,1112400
2000-02-15,EA,20.47,21.66,19.94,21.33,2603200
2000-02-16,EA,21.08,22.62,20.88,21.25,3043600
2000-02-17,EA,21.48,22.19,21.08,22.0,2515600
2000-02-18,EA,22.42,23.58,21.72,22.62,5776000
2000-02-22,EA,22.19,22.25,20.25,21.53,4987200
2000-02-23,EA,21.56,22.2,20.91,22.11,4840800
