date,ticker,open,high,low,close,volume
2000-08-11,EQIX,367.96,404.04,346.32,378.78,792500
2000-08-14,EQIX,377.88,378.78,346.32,346.32,80200
2000-08-15,EQIX,350.83,357.14,346.32,349.92,48400
2000-08-16,EQIX,348.12,376.98,348.12,357.14,42100
2000-08-17,EQIX,353.53,360.75,344.51,346.32,47200
2000-08-18,EQIX,361.65,414.86,357.14,413.05,60400
2000-08-21,EQIX,434.7,468.97,402.23,438.31,66500
2000-08-22,EQIX,443.72,452.74,389.61,389.61,33800
2000-08-23,EQIX,391.41,396.82,367.96,375.18,17900
2000-08-24,EQIX,373.37,376.98,348.12,348.12,18400
2000-08-25,EQIX,362.55,373.37,349.92,371.57,20100
2000-08-28,EQIX,386.9,390.96,360.75,378.78,19400
2000-08-29,EQIX,387.8,389.61,364.35,386.0,22700
2000-08-30,EQIX,385.1,423.88,382.39,409.45,19800
2000-08-31,EQIX,434.7,476.18,429.29,467.17,87300
2000-09-01,EQIX,465.36,468.97,432.9,454.54,27700
2000-09-05,EQIX,456.34,468.97,447.32,449.13,23000
2000-09-06,EQIX,465.36,468.97,440.11,447.32,20500
2000-09-07,EQIX,461.75,461.75,386.0,414.86,23900
2000-09-08,EQIX,411.7,418.47,396.82,404.04,15900
2000-09-11,EQIX,398.62,404.04,389.61,400.43,34500
2000-09-12,EQIX,392.31,398.62,371.57,375.18,33800
2000-09-13,EQIX,367.96,378.78,357.14,360.75,10300
2000-09-14,EQIX,400.43,400.43,360.75,366.16,8100
2000-09-15,EQIX,362.55,375.18,360.75,362.55,3600
2000-09-18,EQIX,378.78,382.39,344.51,348.12,18600
2000-09-19,EQIX,377.88,378.78,310.24,324.67,48000
2000-09-20,EQIX,331.89,333.69,281.38,299.42,24100
2000-09-21,EQIX,297.62,310.24,294.01,306.63,25200
2000-09-22,EQIX,276.87,312.05,272.36,304.83,8400
2000-09-25,EQIX,306.63,312.05,270.56,272.36,21000
2000-09-26,EQIX,284.99,286.79,259.74,266.95,19600
2000-09-27,EQIX,271.46,272.36,248.91,269.66,16700
2000-09-28,EQIX,266.95,310.24,263.34,288.6,22000
2000-09-29,EQIX,291.3,292.2,251.62,256.13,19100
2000-10-02,EQIX,270.56,271.46,241.7,245.31,6800
2000-10-03,EQIX,248.01,256.13,223.66,229.07,10100
2000-10-04,EQIX,230.88,232.68,194.8,205.63,14600
2000-10-05,EQIX,200.21,234.48,187.59,189.39,15100
2000-10-06,EQIX,200.66,202.02,171.35,175.86,11400
2000-10-09,EQIX,189.39,193.0,166.84,178.57,10600
2000-10-10,EQIX,182.18,183.98,158.73,164.14,13200
2000-10-11,EQIX,151.51,165.94,117.24,119.05,42400
2000-10-12,EQIX,147.0,151.51,129.87,149.71,37200
2000-10-13,EQIX,164.14,227.27,159.63,218.25,42800
2000-10-16,EQIX,234.48,236.29,212.84,234.48,38500
2000-10-17,EQIX,245.31,247.11,220.06,225.47,11000
2000-10-18,EQIX,223.66,241.7,171.35,232.68,19300
2000-10-19,EQIX,245.31,268.76,194.8,199.31,25900
2000-10-20,EQIX,216.45,216.45,202.02,211.04,21700
2000-10-23,EQIX,212.84,242.6,205.63,238.09,17800
2000-10-24,EQIX,239.45,245.31,234.48,243.5,19700
2000-10-25,EQIX,241.25,245.31,227.27,245.31,13200
2000-10-26,EQIX,244.41,277.77,243.5,261.54,8700
2000-10-27,EQIX,262.89,263.34,248.91,259.74,3300
2000-10-30,EQIX,257.93,270.56,248.91,257.93,7600
2000-10-31,EQIX,263.34,295.81,252.52,281.38,10400
2000-11-01,EQIX,280.93,303.03,275.97,281.38,11500
2000-11-02,EQIX,280.93,284.99,256.13,266.95,7800
2000-11-03,EQIX,258.84,272.36,258.84,263.34,7700
2000-11-06,EQIX,266.95,270.56,250.72,256.13,9700
2000-11-07,EQIX,259.74,259.74,252.52,256.13,6600
2000-11-08,EQIX,256.13,256.13,217.35,232.68,20900
2000-11-09,EQIX,216.45,230.88,216.45,228.17,12600
2000-11-10,EQIX,220.51,223.66,214.64,214.64,18100
2000-11-13,EQIX,200.21,203.82,196.61,203.82,13700
2000-11-14,EQIX,202.92,211.04,187.59,191.2,15700
2000-11-15,EQIX,198.41,200.21,182.18,182.18,20400
2000-11-16,EQIX,188.04,191.2,180.37,183.08,3900
2000-11-17,EQIX,197.51,198.41,183.98,191.2,14100
2000-11-20,EQIX,188.49,189.39,182.18,182.18,5400
