date,ticker,open,high,low,close,volume
2000-01-03,FFIV,60.62,61.5,56.5,59.75,793000
2000-01-04,FFIV,58.5,65.0,58.0,58.97,1151800
2000-01-05,FFIV,60.09,60.09,54.09,55.41,1616800
2000-01-06,FFIV,55.5,55.56,50.94,51.06,978400
2000-01-07,FFIV,50.0,53.94,47.25,49.31,1324200
2000-01-10,FFIV,52.5,52.5,49.25,51.03,1196200
2000-01-11,FFIV,51.78,54.25,49.53,50.25,1348400
2000-01-12,FFIV,51.22,51.47,46.75,47.38,1019600
2000-01-13,FFIV,48.5,49.5,44.62,46.47,1556600
2000-01-14,FFIV,48.19,52.5,45.78,49.0,1901600
2000-01-18,FFIV,50.94,57.0,49.97,56.44,1752600
2000-01-19,FFIV,57.44,59.75,54.0,55.28,1073000
2000-01-20,FFIV,57.0,60.0,55.53,59.73,921000
2000-01-21,FFIV,60.94,67.5,58.88,64.91,2146000
2000-01-24,FFIV,67.0,71.06,64.0,65.0,2114800
2000-01-25,FFIV,66.5,68.0,62.44,66.75,2125800
2000-01-26,FFIV,64.5,64.81,57.0,57.25,4603000
2000-01-27,FFIV,58.59,60.0,51.88,53.75,2301000
2000-01-28,FFIV,51.12,55.5,48.81,49.25,1977000
2000-01-31,FFIV,48.97,49.88,42.88,47.0,2896400
2000-02-01,FFIV,47.97,49.31,45.25,48.12,1714000
2000-02-02,FFIV,48.22,51.88,48.06,50.75,2297200
2000-02-03,FFIV,52.25,53.25,46.88,48.22,2485400
2000-02-04,FFIV,49.12,49.19,46.25,47.12,1334200
2000-02-07,FFIV,46.72,48.5,45.88,48.0,972600
2000-02-08,FFIV,49.0,50.75,47.56,47.75,1377600
2000-02-09,FFIV,49.16,49.16,45.44,46.06,2137600
2000-02-10,FFIV,47.16,47.16,44.59,44.75,2064600
2000-02-11,FFIV,45.62,52.5,44.5,49.19,4463000
2000-02-14,FFIV,50.41,53.38,49.88,51.0,2032200
2000-02-15,FFIV,50.75,51.5,47.5,49.97,1602000
2000-02-16,FFIV,49.97,50.75,47.5,48.06,1170000
2000-02-17,FFIV,48.56,53.0,48.06,51.75,2062800
2000-02-18,FFIV,50.94,51.0,48.44,48.5,758400
2000-02-22,FFIV,48.38,48.47,45.31,47.0,1217400
2000-02-23,FFIV,47.53,48.5,46.0,46.28,1269800
2000-02-24,FFIV,46.31,47.75,45.62,46.28,875400
2000-02-25,FFIV,46.5,49.5,46.5,47.59,3134600
2000-02-28,FFIV,48.0,48.38,46.0,46.75,1240200
2000-02-29,FFIV,46.72,47.5,44.5,45.0,2473800
2000-03-01,FFIV,45.78,46.25,43.47,45.94,2544400
2000-03-02,FFIV,47.38,47.38,44.19,45.12,1142200
2000-03-03,FFIV,46.0,52.12,45.0,48.34,4465600
2000-03-06,FFIV,48.5,54.78,48.49,53.75,2824000
2000-03-07,FFIV,56.06,59.5,52.12,53.62,2764800
2000-03-08,FFIV,53.62,54.09,49.0,49.5,2377800
2000-03-09,FFIV,49.12,57.34,48.53,54.5,2337800
2000-03-10,FFIV,56.81,59.44,56.0,57.88,2383400
2000-03-13,FFIV,55.81,58.5,53.75,54.84,1926000
2000-03-14,FFIV,56.12,58.09,50.0,50.0,2182800
2000-03-15,FFIV,52.38,52.38,46.0,46.38,2401800
2000-03-16,FFIV,47.97,48.38,43.0,46.53,2491400
2000-03-17,FFIV,47.25,49.25,46.25,47.62,859800
2000-03-20,FFIV,47.69,48.75,44.38,45.03,1499600
2000-03-21,FFIV,44.53,46.5,42.5,44.38,2274400
2000-03-22,FFIV,45.62,47.0,44.34,44.94,2055400
2000-03-23,FFIV,44.97,46.12,43.5,43.72,1879600
2000-03-24,FFIV,43.78,45.0,40.78,41.66,2639800
2000-03-27,FFIV,42.25,44.47,41.75,43.34,1343000
2000-03-28,FFIV,43.75,43.75,41.28,42.0,920800
2000-03-29,FFIV,42.06,42.69,37.25,38.75,3038200
2000-03-30,FFIV,38.06,40.81,32.5,35.53,2031200
2000-03-31,FFIV,36.25,36.94,31.06,33.88,3218000
2000-04-03,FFIV,33.75,33.75,28.41,29.19,2190800
2000-04-04,FFIV,30.5,33.5,20.81,33.5,3936800
2000-04-05,FFIV,30.69,36.0,29.75,32.06,2800800
2000-04-06,FFIV,34.12,36.0,32.5,34.47,1327200
2000-04-07,FFIV,35.75,38.0,35.12,36.56,1393800
2000-04-10,FFIV,38.12,38.25,32.53,33.12,1423400
2000-04-11,FFIV,31.5,33.25,30.38,32.5,1922400
2000-04-12,FFIV,31.56,32.62,28.0,28.31,1332600
2000-04-13,FFIV,28.5,30.88,26.0,28.22,1586400
2000-04-14,FFIV,25.81,27.38,21.56,22.12,2234200
2000-04-17,FFIV,18.62,25.0,18.5,24.41,2330200
2000-04-18,FFIV,24.94,29.62,24.56,28.38,1409000
2000-04-19,FFIV,28.78,29.84,26.22,27.5,1343600
2000-04-20,FFIV,27.56,27.94,25.12,26.38,1196200
2000-04-24,FFIV,23.56,27.06,22.62,26.06,2185800
2000-04-25,FFIV,27.75,29.63,27.5,29.35,2939000
2000-04-26,FFIV,23.0,24.5,20.03,22.06,15330600
2000-04-27,FFIV,20.75,23.5,20.25,22.5,3201600
2000-04-28,FFIV,23.5,24.12,22.75,23.34,1800800
2000-05-01,FFIV,23.84,24.12,21.5,21.75,1962200
2000-05-02,FFIV,21.59,22.94,20.62,20.69,2168200
2000-05-03,FFIV,20.56,21.19,19.5,20.34,1620400
2000-05-04,FFIV,20.97,21.12,19.5,19.69,1415400
2000-05-05,FFIV,18.25,18.56,16.66,16.97,9213000
2000-05-08,FFIV,17.53,17.88,16.56,16.88,4668400
2000-05-09,FFIV,17.31,17.38,15.5,15.88,2530600
2000-05-10,FFIV,15.66,15.66,14.56,14.62,2425200
2000-05-11,FFIV,15.0,16.22,14.19,14.91,3316400
2000-05-12,FFIV,15.5,17.12,15.38,15.94,2838400
2000-05-15,FFIV,16.25,16.75,15.09,16.53,1391200
2000-05-16,FFIV,17.34,19.0,16.5,19.0,4160800
2000-05-17,FFIV,18.06,21.88,18.03,20.31,8417600
2000-05-18,FFIV,21.06,21.06,18.0,18.25,2659400
2000-05-19,FFIV,17.25,18.12,16.75,17.19,2398200
2000-05-22,FFIV,17.16,17.25,15.12,17.0,2387600
2000-05-23,FFIV,16.88,19.5,15.88,16.09,3130400
2000-05-24,FFIV,15.81,16.94,14.91,16.47,1770400
2000-05-25,FFIV,16.62,17.8,15.25,15.62,1104800
2000-05-26,FFIV,15.95,16.06,15.03,15.5,735800
2000-05-30,FFIV,16.25,17.06,16.06,17.03,1445600
2000-05-31,FFIV,16.81,17.75,16.06,16.12,1514000
2000-06-01,FFIV,16.53,18.56,16.44,18.38,2335800
2000-06-02,FFIV,19.68,20.62,18.75,20.25,2952000
2000-06-05,FFIV,20.25,22.62,20.06,22.0,3874000
2000-06-06,FFIV,22.0,22.75,20.88,21.03,2414200
2000-06-07,FFIV,21.38,21.94,20.31,21.25,1507000
2000-06-08,FFIV,21.97,24.19,21.88,23.72,3135400
2000-06-09,FFIV,25.0,25.0,23.62,24.38,2023200
2000-06-12,FFIV,24.56,24.88,21.62,22.12,2613200
2000-06-13,FFIV,22.38,23.34,20.0,23.31,2304000
2000-06-14,FFIV,23.25,23.75,21.72,22.53,1434600
2000-06-15,FFIV,22.69,22.72,21.0,21.23,1209400
2000-06-16,FFIV,21.25,22.0,20.88,21.41,1001400
2000-06-19,FFIV,21.36,21.38,20.25,20.91,1509200
2000-06-20,FFIV,21.0,22.62,20.94,22.0,1620200
2000-06-21,FFIV,22.22,24.0,21.5,23.34,1570200
2000-06-22,FFIV,24.38,25.62,24.0,25.0,3743400
2000-06-23,FFIV,25.48,26.06,23.81,24.0,2064200
2000-06-26,FFIV,24.25,24.44,23.25,24.25,797400
2000-06-27,FFIV,24.22,26.12,23.69,24.97,1511800
2000-06-28,FFIV,24.38,25.94,24.03,25.0,958000
2000-06-29,FFIV,24.5,26.88,24.0,26.59,1661400
2000-06-30,FFIV,26.75,28.88,26.06,27.28,2873600
2000-07-03,FFIV,27.25,27.31,25.75,26.44,546200
2000-07-05,FFIV,25.33,25.5,23.81,24.06,1090000
2000-07-06,FFIV,24.25,24.69,23.47,23.69,919000
2000-07-07,FFIV,23.88,23.88,21.62,22.0,2526200
2000-07-10,FFIV,21.88,22.56,21.75,22.06,1087400
2000-07-11,FFIV,23.19,24.66,22.5,22.75,2355000
2000-07-12,FFIV,24.03,24.03,22.62,22.84,2304600
2000-07-13,FFIV,22.97,27.81,22.94,27.56,3139000
2000-07-14,FFIV,28.0,28.25,25.0,26.0,3159200
2000-07-17,FFIV,27.19,27.75,25.81,26.75,2257800
2000-07-18,FFIV,26.56,27.12,25.03,26.69,2384400
2000-07-19,FFIV,25.91,26.22,24.25,24.56,1853600
2000-07-20,FFIV,24.91,26.5,23.5,24.5,1872000
2000-07-21,FFIV,24.62,24.62,22.88,23.41,1252000
2000-07-24,FFIV,23.5,23.75,21.0,21.28,2551400
2000-07-25,FFIV,22.19,22.34,20.31,21.41,2684800
2000-07-26,FFIV,19.56,25.12,19.12,23.88,5487600
2000-07-27,FFIV,23.66,23.78,22.03,22.47,1615200
2000-07-28,FFIV,22.44,25.22,21.03,22.0,3427400
2000-07-31,FFIV,21.66,23.25,20.12,22.59,2533400
2000-08-01,FFIV,22.75,24.56,22.19,23.25,2307200
2000-08-02,FFIV,23.34,23.5,21.44,21.84,1102800
2000-08-03,FFIV,20.88,22.59,20.25,22.44,1039600
2000-08-04,FFIV,22.78,23.44,22.25,22.81,753400
2000-08-07,FFIV,23.31,23.75,22.75,22.88,460200
2000-08-08,FFIV,23.13,23.63,22.38,22.42,764600
2000-08-09,FFIV,23.19,23.88,22.59,22.75,483800
2000-08-10,FFIV,23.12,23.25,22.66,22.75,449400
2000-08-11,FFIV,22.84,23.0,22.31,22.94,526600
2000-08-14,FFIV,22.94,23.44,22.53,23.34,528400
2000-08-15,FFIV,23.2,23.81,22.5,23.12,822600
2000-08-16,FFIV,23.17,24.5,22.94,24.19,788000
2000-08-17,FFIV,24.0,26.47,23.78,25.19,2827200
2000-08-18,FFIV,25.97,26.22,24.94,25.38,1293000
2000-08-21,FFIV,25.72,27.62,25.69,26.88,2315600
2000-08-22,FFIV,27.34,27.34,25.72,25.75,728400
2000-08-23,FFIV,25.78,25.81,24.44,25.0,986000
2000-08-24,FFIV,25.12,25.41,24.06,24.5,1130400
2000-08-25,FFIV,24.66,24.97,23.94,24.56,611200
2000-08-28,FFIV,25.31,27.12,25.16,26.22,2812000
2000-08-29,FFIV,26.38,27.0,25.19,25.59,1023400
2000-08-30,FFIV,25.61,26.56,25.41,26.38,1047800
2000-08-31,FFIV,26.34,30.0,26.22,29.0,4843000
2000-09-01,FFIV,30.62,30.75,28.06,29.16,2119800
2000-09-05,FFIV,29.72,30.62,28.75,30.5,1420000
2000-09-06,FFIV,30.69,30.69,27.12,27.25,3312800
2000-09-07,FFIV,27.5,28.16,26.06,26.31,1702400
2000-09-08,FFIV,26.72,26.72,24.25,24.38,2336000
2000-09-11,FFIV,24.35,25.38,23.0,23.28,1951200
2000-09-12,FFIV,24.03,24.5,23.19,23.38,979200
2000-09-13,FFIV,22.38,22.72,21.0,22.0,4781600
