date,ticker,open,high,low,close,volume
2000-01-03,FLIR,1.9,2.03,1.88,1.97,105600
2000-01-04,FLIR,1.9,1.91,1.82,1.82,40000
2000-01-05,FLIR,1.81,1.91,1.81,1.91,234400
2000-01-06,FLIR,1.84,1.9,1.84,1.9,679200
2000-01-07,FLIR,1.84,2.0,1.84,1.91,284000
2000-01-10,FLIR,1.88,1.97,1.88,1.94,106400
2000-01-11,FLIR,1.97,2.07,1.88,1.97,142400
2000-01-12,FLIR,1.96,2.04,1.96,2.03,220000
2000-01-13,FLIR,2.0,2.15,1.98,2.12,303200
2000-01-14,FLIR,2.13,2.13,2.08,2.1,43200
2000-01-18,FLIR,2.1,2.15,2.1,2.1,145600
2000-01-19,FLIR,2.11,2.23,2.11,2.17,222400
2000-01-20,FLIR,2.16,2.18,2.1,2.12,729600
2000-01-21,FLIR,2.1,2.13,2.09,2.12,106400
2000-01-24,FLIR,2.12,2.15,2.09,2.12,103200
2000-01-25,FLIR,2.07,2.12,2.06,2.06,50400
2000-01-26,FLIR,2.05,2.06,1.98,2.06,56800
2000-01-27,FLIR,2.0,2.09,1.97,1.97,77600
2000-01-28,FLIR,1.97,2.19,1.93,2.18,240000
2000-01-31,FLIR,2.11,2.23,2.1,2.17,152000
2000-02-01,FLIR,2.13,2.14,2.0,2.0,155200
2000-02-02,FLIR,2.0,2.14,2.0,2.12,46400
2000-02-03,FLIR,2.12,2.19,2.09,2.19,170400
2000-02-04,FLIR,2.15,2.15,2.04,2.04,118400
2000-02-07,FLIR,2.1,2.1,1.96,2.01,53600
2000-02-08,FLIR,2.01,2.06,1.94,2.06,170400
2000-02-09,FLIR,1.59,1.76,1.57,1.69,2757600
2000-02-10,FLIR,1.68,1.79,1.68,1.79,959200
2000-02-11,FLIR,1.79,1.82,1.72,1.79,970400
2000-02-14,FLIR,1.76,1.78,1.69,1.73,682400
2000-02-15,FLIR,1.71,1.73,1.68,1.68,204800
2000-02-16,FLIR,1.64,1.65,1.6,1.65,2054400
2000-02-17,FLIR,1.6,1.65,1.6,1.63,357600
2000-02-18,FLIR,1.62,1.7,1.62,1.7,191200
