date,ticker,open,high,low,close,volume
2000-01-03,FTR,4.35,4.41,4.31,4.37,520400
2000-01-04,FTR,4.33,4.54,4.29,4.42,1243700
2000-01-05,FTR,4.39,4.48,4.37,4.46,624800
2000-01-06,FTR,4.42,4.46,4.41,4.42,268600
2000-01-07,FTR,4.42,4.58,4.37,4.58,490800
2000-01-10,FTR,4.48,4.6,4.42,4.54,499100
2000-01-11,FTR,4.5,4.56,4.44,4.48,385400
2000-01-12,FTR,4.46,4.78,4.37,4.76,2118000
2000-01-13,FTR,4.68,4.74,4.6,4.66,1071900
2000-01-14,FTR,4.72,4.76,4.68,4.7,865400
2000-01-18,FTR,4.68,4.83,4.66,4.79,788100
2000-01-19,FTR,4.79,4.87,4.72,4.81,741200
2000-01-20,FTR,4.81,4.97,4.79,4.89,1412400
2000-01-21,FTR,4.91,5.03,4.87,5.01,821300
2000-01-24,FTR,4.97,4.99,4.76,4.83,641000
2000-01-25,FTR,4.81,4.85,4.48,4.74,579900
2000-01-26,FTR,4.7,4.85,4.68,4.85,351700
2000-01-27,FTR,4.87,4.97,4.83,4.85,754700
2000-01-28,FTR,4.87,4.87,4.6,4.62,382900
2000-01-31,FTR,4.66,4.68,4.52,4.62,784000
2000-02-01,FTR,4.62,4.76,4.62,4.64,630800
2000-02-02,FTR,4.64,4.74,4.62,4.74,1448200
2000-02-03,FTR,4.78,5.01,4.7,5.01,1063900
2000-02-04,FTR,5.03,5.32,5.01,5.32,3097000
2000-02-07,FTR,5.32,5.32,5.18,5.3,1174200
2000-02-08,FTR,5.3,5.3,5.15,5.2,929600
2000-02-09,FTR,5.2,5.22,5.01,5.03,535300
2000-02-10,FTR,5.07,5.15,5.03,5.09,374600
2000-02-11,FTR,5.09,5.15,4.91,4.95,558700
2000-02-14,FTR,4.93,5.09,4.89,5.05,756500
2000-02-15,FTR,5.15,5.24,5.07,5.13,1688300
2000-02-16,FTR,5.11,5.13,4.99,5.03,619900
2000-02-17,FTR,5.05,5.22,5.05,5.17,1774900
2000-02-18,FTR,5.13,5.15,5.03,5.07,564400
2000-02-22,FTR,5.05,5.09,4.87,4.91,509900
2000-02-23,FTR,4.91,4.91,4.68,4.79,883700
2000-02-24,FTR,4.79,4.83,4.74,4.83,821100
2000-02-25,FTR,4.91,4.99,4.87,4.97,691900
2000-02-28,FTR,4.93,4.93,4.78,4.81,692100
2000-02-29,FTR,4.83,4.93,4.68,4.76,842900
2000-03-01,FTR,4.76,4.79,4.64,4.78,954700
2000-03-02,FTR,4.81,4.93,4.76,4.89,959900
2000-03-03,FTR,4.91,4.97,4.81,4.85,621200
2000-03-06,FTR,4.93,5.01,4.83,4.87,814600
2000-03-07,FTR,4.87,5.05,4.83,4.99,1795700
2000-03-08,FTR,4.97,5.07,4.91,4.97,1139500
2000-03-09,FTR,4.97,5.07,4.93,5.07,1057600
2000-03-10,FTR,5.07,5.18,5.01,5.05,944800
2000-03-13,FTR,4.95,5.01,4.91,4.97,746200
2000-03-14,FTR,4.95,4.97,4.79,4.83,639800
2000-03-15,FTR,4.85,4.87,4.64,4.74,732400
2000-03-16,FTR,4.78,4.91,4.74,4.89,986900
2000-03-17,FTR,4.87,5.22,4.85,5.15,1532100
2000-03-20,FTR,5.17,5.28,5.09,5.24,1729100
2000-03-21,FTR,5.15,5.22,5.15,5.2,1788300
2000-03-22,FTR,5.2,5.22,5.03,5.13,1493100
2000-03-23,FTR,5.03,5.13,4.95,5.01,1339700
2000-03-24,FTR,4.99,5.09,4.99,5.07,1505800
2000-03-27,FTR,5.07,5.24,5.03,5.24,1937200
2000-03-28,FTR,5.11,5.18,5.11,5.15,374700
2000-03-29,FTR,5.11,5.15,4.97,5.05,605400
2000-03-30,FTR,4.99,5.01,4.89,4.97,568600
2000-03-31,FTR,4.91,5.13,4.91,5.11,773600
2000-04-03,FTR,5.07,5.24,5.05,5.2,772400
2000-04-04,FTR,5.18,5.24,4.91,5.03,1632700
2000-04-05,FTR,5.01,5.18,5.01,5.17,575300
2000-04-06,FTR,5.15,5.24,5.15,5.24,932500
2000-04-07,FTR,5.26,5.28,5.09,5.15,1493800
2000-04-10,FTR,5.24,5.28,5.2,5.24,499600
2000-04-11,FTR,5.18,5.2,5.13,5.15,346900
2000-04-12,FTR,5.13,5.2,5.11,5.15,1303000
2000-04-13,FTR,5.15,5.18,4.97,5.07,1175300
2000-04-14,FTR,4.99,5.01,4.79,4.97,1491100
2000-04-17,FTR,4.97,4.97,4.46,4.64,1642900
2000-04-18,FTR,4.64,4.76,4.58,4.68,657300
2000-04-19,FTR,4.68,4.85,4.68,4.83,474000
2000-04-20,FTR,4.81,5.01,4.81,5.01,598300
2000-04-24,FTR,4.99,4.99,4.85,4.89,399700
2000-04-25,FTR,4.93,4.97,4.83,4.95,445000
2000-04-26,FTR,4.97,4.99,4.87,4.97,532700
2000-04-27,FTR,4.91,4.93,4.89,4.89,348400
2000-04-28,FTR,4.89,5.03,4.89,5.01,485800
2000-05-01,FTR,4.95,5.13,4.95,5.07,576800
2000-05-02,FTR,5.05,5.07,4.95,4.99,509100
2000-05-03,FTR,4.97,4.99,4.78,4.85,684800
2000-05-04,FTR,4.89,4.89,4.58,4.7,1140100
2000-05-05,FTR,4.66,4.76,4.64,4.76,527300
2000-05-08,FTR,4.76,4.87,4.7,4.87,337200
2000-05-09,FTR,4.83,4.85,4.74,4.84,274600
2000-05-10,FTR,4.76,4.78,4.62,4.72,601200
2000-05-11,FTR,4.7,4.95,4.7,4.87,895100
2000-05-12,FTR,4.81,4.89,4.76,4.78,483400
2000-05-15,FTR,4.72,4.79,4.7,4.76,743900
2000-05-16,FTR,4.72,4.85,4.72,4.83,349400
2000-05-17,FTR,4.79,4.91,4.78,4.87,539500
2000-05-18,FTR,4.85,4.87,4.83,4.85,300900
2000-05-19,FTR,4.81,4.83,4.68,4.72,518700
2000-05-22,FTR,4.68,4.74,4.66,4.72,346300
2000-05-23,FTR,4.7,4.72,4.64,4.64,734700
2000-05-24,FTR,4.64,4.68,4.6,4.62,734900
2000-05-25,FTR,4.66,4.7,4.64,4.68,455300
2000-05-26,FTR,4.62,4.85,4.6,4.83,289100
2000-05-30,FTR,4.83,4.91,4.81,4.87,419300
2000-05-31,FTR,4.76,4.87,4.74,4.76,364300
2000-06-01,FTR,4.83,4.97,4.76,4.95,686600
2000-06-02,FTR,4.89,5.01,4.87,4.95,833600
2000-06-05,FTR,4.99,5.09,4.99,4.99,636300
2000-06-06,FTR,5.07,5.15,5.03,5.11,496700
2000-06-07,FTR,5.09,5.13,5.07,5.07,370700
2000-06-08,FTR,5.09,5.17,5.09,5.09,477600
2000-06-09,FTR,5.09,5.15,5.07,5.11,432700
2000-06-12,FTR,5.13,5.24,5.11,5.2,507700
2000-06-13,FTR,5.17,5.18,5.13,5.18,392000
2000-06-14,FTR,5.18,5.22,5.17,5.2,353800
2000-06-15,FTR,5.18,5.24,5.17,5.24,349900
2000-06-16,FTR,5.24,5.26,5.17,5.22,311400
2000-06-19,FTR,5.22,5.38,5.18,5.34,893400
2000-06-20,FTR,5.32,5.42,5.32,5.36,800800
2000-06-21,FTR,5.34,5.54,5.32,5.54,933900
2000-06-22,FTR,5.54,5.54,5.38,5.46,1371000
2000-06-23,FTR,5.46,5.46,5.34,5.44,479500
2000-06-26,FTR,5.42,5.46,5.38,5.44,463500
2000-06-27,FTR,5.4,5.44,5.3,5.42,410700
2000-06-28,FTR,5.4,5.61,5.4,5.54,617400
2000-06-29,FTR,5.52,5.59,5.46,5.56,618300
2000-06-30,FTR,5.5,5.61,5.38,5.38,997000
2000-07-03,FTR,5.5,5.59,5.5,5.59,165800
2000-07-05,FTR,5.61,5.79,5.57,5.61,1503700
2000-07-06,FTR,5.54,5.71,5.46,5.61,446300
2000-07-07,FTR,5.63,5.77,5.59,5.73,735500
2000-07-10,FTR,5.59,5.85,5.59,5.79,496400
2000-07-11,FTR,5.75,5.85,5.73,5.83,415900
2000-07-12,FTR,5.77,5.91,5.65,5.87,1039100
2000-07-13,FTR,5.77,5.93,5.75,5.89,1301000
2000-07-14,FTR,5.89,5.93,5.83,5.87,917600
2000-07-17,FTR,5.79,5.81,5.69,5.71,456900
2000-07-18,FTR,5.69,5.71,5.59,5.63,379000
