date,ticker,open,high,low,close,volume
2000-01-03,INTC,29.92,31.4,29.92,31.27,57710200
2000-01-04,INTC,30.71,31.58,29.56,29.81,51019600
2000-01-05,INTC,29.83,30.86,28.93,30.05,52389000
2000-01-06,INTC,29.38,29.96,28.1,28.3,55171200
2000-01-07,INTC,27.85,29.47,27.81,29.47,41096400
2000-01-10,INTC,30.82,31.36,30.23,30.82,53619800
2000-01-11,INTC,31.83,33.2,31.73,32.23,105481800
2000-01-12,INTC,32.66,34.05,32.08,32.79,97326600
2000-01-13,INTC,33.31,33.42,32.1,32.73,76104200
2000-01-14,INTC,35.4,38.32,35.31,37.04,184405200
2000-01-18,INTC,36.05,38.01,36.03,36.7,102100600
2000-01-19,INTC,36.3,36.7,35.89,35.96,45568000
2000-01-20,INTC,35.85,36.23,34.3,34.37,70002000
2000-01-21,INTC,34.5,35.31,34.37,35.2,55558200
2000-01-24,INTC,36.74,37.69,35.31,35.51,74832600
2000-01-25,INTC,35.71,36.59,35.02,36.5,51382600
2000-01-26,INTC,36.21,36.37,34.64,34.68,49306200
2000-01-27,INTC,35.71,36.34,34.32,35.27,61482000
2000-01-28,INTC,34.95,35.49,33.45,33.78,53922800
2000-01-31,INTC,33.65,35.6,33.38,35.56,68453200
2000-02-01,INTC,35.35,36.48,34.73,36.46,48051400
2000-02-02,INTC,36.3,36.99,35.83,35.96,52080600
2000-02-03,INTC,36.56,37.61,36.22,37.46,56126000
2000-02-04,INTC,37.52,38.92,37.48,37.66,55953800
2000-02-07,INTC,37.72,38.87,37.43,38.8,42810000
2000-02-08,INTC,39.12,39.57,38.83,39.12,38026000
2000-02-09,INTC,38.87,39.14,37.57,37.61,38615200
2000-02-10,INTC,37.52,38.87,37.1,38.69,43539200
2000-02-11,INTC,38.56,39.1,37.84,38.06,37756000
2000-02-14,INTC,38.22,39.52,37.98,39.5,34374200
2000-02-15,INTC,39.52,40.58,37.84,40.26,62771400
2000-02-16,INTC,40.04,40.58,38.47,38.53,46050000
2000-02-17,INTC,39.14,40.4,38.78,39.54,48669600
2000-02-18,INTC,39.54,39.72,37.81,37.88,50370000
2000-02-22,INTC,37.7,38.4,36.51,38.38,45793600
2000-02-23,INTC,37.86,39.95,37.5,39.21,40842000
2000-02-24,INTC,40.42,41.88,39.63,41.07,85347800
2000-02-25,INTC,40.94,41.48,40.56,40.71,46299000
2000-02-28,INTC,40.13,41.18,38.92,40.4,47422200
2000-02-29,INTC,40.69,41.57,40.02,40.62,44414200
2000-03-01,INTC,40.58,42.02,40.44,41.66,40813000
2000-03-02,INTC,41.48,42.08,41.03,41.61,36469800
2000-03-03,INTC,42.06,43.05,41.57,42.87,34285000
2000-03-06,INTC,42.42,42.74,41.95,42.2,28032000
2000-03-07,INTC,42.35,43.14,41.41,41.61,39924200
2000-03-08,INTC,41.75,41.86,40.35,41.32,46391200
2000-03-09,INTC,40.87,42.6,40.26,42.56,38375800
2000-03-10,INTC,42.38,43.36,42.2,43.21,43497600
2000-03-13,INTC,42.71,45.12,42.69,43.9,67439200
2000-03-14,INTC,44.67,45.16,42.35,42.38,56785000
2000-03-15,INTC,42.8,44.26,42.67,43.21,48895600
2000-03-16,INTC,44.31,45.07,43.0,44.96,54972800
2000-03-17,INTC,44.69,46.73,44.58,46.69,60851000
2000-03-20,INTC,46.71,49.39,46.71,48.53,65163600
2000-03-21,INTC,48.53,49.93,48.22,49.77,51231000
2000-03-22,INTC,50.46,52.26,50.15,51.79,53693200
2000-03-23,INTC,51.18,51.66,50.13,51.27,45593800
