date,ticker,open,high,low,close,volume
2000-01-03,INTU,28.45,28.82,25.78,28.76,5070600
2000-01-04,INTU,27.27,29.65,27.06,29.06,6766400
2000-01-05,INTU,29.57,38.16,29.36,37.44,22553000
2000-01-06,INTU,35.05,36.25,33.41,33.41,8734000
2000-01-07,INTU,33.23,35.68,30.4,35.11,8537800
2000-01-10,INTU,35.8,42.96,34.96,40.63,8397400
2000-01-11,INTU,39.59,40.28,37.83,39.32,5694200
2000-01-12,INTU,39.02,39.05,31.68,33.95,8344000
2000-01-13,INTU,35.14,39.02,34.99,38.19,7782200
2000-01-14,INTU,39.53,40.99,37.05,38.84,5880800
2000-01-18,INTU,38.81,38.81,36.04,36.64,3520400
2000-01-19,INTU,36.76,37.29,35.29,35.56,3553600
2000-01-20,INTU,36.04,37.38,35.32,36.46,4420800
2000-01-21,INTU,37.71,37.83,35.38,36.1,6374400
2000-01-24,INTU,36.07,36.1,32.16,32.25,4457400
2000-01-25,INTU,33.41,34.49,32.52,33.56,5063400
2000-01-26,INTU,34.01,34.85,31.3,31.38,2935600
2000-01-27,INTU,32.01,33.86,28.85,30.55,6132200
2000-01-28,INTU,30.1,31.21,27.03,27.57,7144600
2000-01-31,INTU,27.15,29.15,26.49,28.79,6092400
2000-02-01,INTU,29.68,30.97,28.28,30.94,4481400
2000-02-02,INTU,31.36,33.89,31.27,32.4,6300200
2000-02-03,INTU,33.03,33.56,31.27,33.23,5153000
2000-02-04,INTU,33.88,34.49,32.58,33.06,3843000
2000-02-07,INTU,33.12,33.12,31.89,32.25,2878800
2000-02-08,INTU,33.38,34.37,32.76,32.94,4420200
2000-02-09,INTU,33.09,33.56,31.0,31.15,5163000
2000-02-10,INTU,30.73,30.88,29.12,30.43,6262200
2000-02-11,INTU,30.1,30.49,28.58,29.12,5457800
2000-02-14,INTU,29.3,29.3,28.16,28.52,3166200
2000-02-15,INTU,28.34,29.12,26.25,27.42,8945000
2000-02-16,INTU,28.16,30.07,27.8,29.15,7932800
2000-02-17,INTU,30.16,30.85,29.59,30.7,4530400
2000-02-18,INTU,31.38,31.38,28.58,29.21,4089000
2000-02-22,INTU,28.94,29.89,28.52,29.65,4723600
2000-02-23,INTU,29.45,32.49,29.42,32.25,7542400
2000-02-24,INTU,32.76,34.73,32.46,34.52,10621000
2000-02-25,INTU,30.07,30.31,27.21,27.95,42818200
2000-02-28,INTU,27.95,28.4,25.15,25.63,11239600
2000-02-29,INTU,26.13,26.19,24.46,25.06,10886000
2000-03-01,INTU,25.12,25.72,22.79,23.03,15564800
2000-03-02,INTU,23.24,23.69,21.72,22.23,10233800
2000-03-03,INTU,24.46,26.25,23.64,25.24,11739400
2000-03-06,INTU,26.49,27.33,25.69,26.28,9520600
2000-03-07,INTU,26.91,27.09,24.11,24.67,6480400
2000-03-08,INTU,25.54,25.72,24.22,24.52,5495400
2000-03-09,INTU,24.11,26.91,23.87,26.85,10622800
2000-03-10,INTU,26.37,28.46,26.22,27.89,9411800
2000-03-13,INTU,27.36,27.42,25.51,25.54,6526800
2000-03-14,INTU,26.37,26.73,24.34,24.37,4877600
2000-03-15,INTU,25.3,25.3,23.3,23.9,6086000
2000-03-16,INTU,24.7,25.31,22.08,24.79,10410800
2000-03-17,INTU,25.66,26.25,25.06,26.01,10756200
2000-03-20,INTU,25.96,26.19,23.87,24.34,4196800
2000-03-21,INTU,24.34,25.33,23.03,25.27,4976000
2000-03-22,INTU,25.0,25.24,24.34,25.03,5362800
2000-03-23,INTU,24.34,27.09,24.17,26.7,10817600
2000-03-24,INTU,27.15,29.18,27.09,28.52,18189600
2000-03-27,INTU,28.64,29.3,27.89,28.13,6544400
2000-03-28,INTU,27.98,27.98,26.7,26.76,3646000
2000-03-29,INTU,26.97,26.97,24.58,24.79,7193400
2000-03-30,INTU,24.4,25.63,24.11,24.31,5657800
2000-03-31,INTU,24.82,26.25,24.28,25.96,6323800
2000-04-03,INTU,25.3,25.66,23.39,23.54,4641800
2000-04-04,INTU,24.31,25.12,21.78,24.67,6051000
2000-04-05,INTU,23.87,24.94,22.43,23.69,4831800
