date,ticker,open,high,low,close,volume
2000-01-03,KLAC,35.27,35.27,32.48,34.09,3769400
2000-01-04,KLAC,33.48,34.7,32.56,32.64,3129800
2000-01-05,KLAC,32.01,32.05,30.36,31.01,5478600
2000-01-06,KLAC,30.53,31.89,30.48,31.24,8351000
2000-01-07,KLAC,31.36,33.15,30.63,33.09,6038200
2000-01-10,KLAC,33.97,37.15,33.91,36.62,5177000
2000-01-11,KLAC,35.66,37.7,35.58,36.31,4988200
2000-01-12,KLAC,36.41,38.13,35.07,37.45,6113000
2000-01-13,KLAC,36.92,38.33,35.76,37.62,7030000
2000-01-14,KLAC,39.29,43.91,39.23,43.36,10145600
2000-01-18,KLAC,42.81,43.12,40.57,41.04,6755400
2000-01-19,KLAC,40.57,42.18,39.27,40.41,2796600
2000-01-20,KLAC,40.88,41.55,37.39,39.74,4974600
2000-01-21,KLAC,39.98,40.92,38.88,40.37,3352900
2000-01-24,KLAC,40.84,41.47,37.07,37.58,3038100
2000-01-25,KLAC,38.13,39.04,35.66,38.92,2354200
2000-01-26,KLAC,39.12,39.27,36.68,36.68,2487700
2000-01-27,KLAC,37.27,38.96,34.17,35.78,3446300
2000-01-28,KLAC,34.56,36.37,34.25,35.38,3466400
2000-01-31,KLAC,34.8,37.9,34.48,36.84,4471300
2000-02-01,KLAC,36.72,39.12,35.97,38.09,3138800
2000-02-02,KLAC,37.23,40.92,37.23,40.57,5396500
2000-02-03,KLAC,40.8,41.79,39.9,41.59,3979900
2000-02-04,KLAC,42.26,42.65,41.35,41.43,5089400
2000-02-07,KLAC,41.24,43.36,40.84,42.85,2810400
2000-02-08,KLAC,43.28,43.99,42.41,43.83,3813800
2000-02-09,KLAC,42.89,45.05,41.59,42.61,4037400
2000-02-10,KLAC,42.53,44.61,41.9,44.26,1995400
2000-02-11,KLAC,44.38,44.46,42.57,43.04,1689800
2000-02-14,KLAC,42.73,43.44,41.39,42.49,2027100
2000-02-15,KLAC,42.1,44.3,40.84,43.79,2724100
2000-02-16,KLAC,44.61,46.11,44.22,45.08,3866200
2000-02-17,KLAC,45.48,46.58,44.22,46.5,2928900
2000-02-18,KLAC,45.79,46.15,42.65,42.73,2433800
2000-02-22,KLAC,42.69,45.87,40.92,45.01,2742100
2000-02-23,KLAC,44.85,46.3,44.1,45.44,2477200
2000-02-24,KLAC,46.34,46.73,44.18,45.75,3568500
2000-02-25,KLAC,45.83,46.97,43.12,43.12,2569800
2000-02-28,KLAC,42.65,44.32,40.43,43.87,3464600
2000-02-29,KLAC,45.01,49.52,45.01,48.97,5754100
2000-03-01,KLAC,49.56,50.27,47.24,47.32,2647500
2000-03-02,KLAC,48.46,49.17,45.32,45.32,2101700
2000-03-03,KLAC,47.91,52.31,47.83,52.31,3855900
2000-03-06,KLAC,53.41,54.2,52.15,52.74,4428700
2000-03-07,KLAC,53.33,53.65,50.35,52.78,3361900
2000-03-08,KLAC,52.7,52.78,48.46,49.64,4588300
2000-03-09,KLAC,49.68,53.57,49.05,53.41,2837500
2000-03-10,KLAC,53.17,57.49,52.47,57.26,3701800
2000-03-13,KLAC,54.2,54.98,51.84,52.74,3553300
2000-03-14,KLAC,54.2,54.2,47.91,47.99,3356100
2000-03-15,KLAC,48.5,50.31,46.54,47.21,3840700
2000-03-16,KLAC,48.31,49.8,44.22,47.21,7237100
2000-03-17,KLAC,46.58,50.43,45.79,50.27,4847400
2000-03-20,KLAC,50.19,51.29,48.38,48.42,2706700
2000-03-21,KLAC,48.93,50.7,46.5,50.7,3892000
2000-03-22,KLAC,50.58,53.41,50.54,52.51,3256500
2000-03-23,KLAC,53.33,56.71,53.17,54.51,5604100
2000-03-24,KLAC,54.94,57.61,54.9,56.12,3079600
2000-03-27,KLAC,56.2,57.18,54.98,56.2,1950500
2000-03-28,KLAC,55.69,56.08,53.14,53.41,2301700
2000-03-29,KLAC,53.8,53.8,48.31,48.89,3600700
2000-03-30,KLAC,48.23,51.84,47.72,49.8,3505300
2000-03-31,KLAC,50.54,53.88,47.91,52.94,2928600
2000-04-03,KLAC,52.86,52.94,47.44,48.42,3344200
2000-04-04,KLAC,49.33,51.84,41.83,50.03,6737100
2000-04-05,KLAC,48.93,54.63,48.46,51.13,6091700
2000-04-06,KLAC,52.35,56.36,51.53,56.0,4445900
2000-04-07,KLAC,56.36,61.42,55.53,61.23,5924000
2000-04-10,KLAC,61.15,61.34,52.47,52.66,5175100
2000-04-11,KLAC,50.9,56.98,49.64,54.27,6761700
2000-04-12,KLAC,55.77,56.91,48.94,49.01,5835500
2000-04-13,KLAC,51.6,52.0,40.14,40.69,12102500
2000-04-14,KLAC,39.9,41.24,34.32,36.21,12581400
2000-04-17,KLAC,35.82,43.67,35.19,42.73,8585900
2000-04-18,KLAC,42.57,45.36,40.37,45.24,6424900
2000-04-19,KLAC,44.89,45.05,40.21,40.57,4023000
2000-04-20,KLAC,40.92,42.65,39.27,40.92,3461100
2000-04-24,KLAC,39.67,42.26,37.15,40.14,4079100
