date,ticker,open,high,low,close,volume
2000-01-03,LRCX,36.87,37.2,33.08,36.67,3183900
2000-01-04,LRCX,35.64,36.38,34.63,35.08,3295800
2000-01-05,LRCX,34.91,35.57,33.53,34.57,3094800
2000-01-06,LRCX,34.2,35.57,33.61,34.32,2642100
2000-01-07,LRCX,34.42,35.0,32.47,34.83,3684600
2000-01-10,LRCX,34.95,37.52,34.93,36.63,5637300
2000-01-11,LRCX,36.14,38.79,35.89,36.18,4290300
2000-01-12,LRCX,36.46,37.93,35.2,37.2,5138100
2000-01-13,LRCX,37.42,37.61,36.18,37.12,2729100
2000-01-14,LRCX,37.87,42.95,37.85,42.34,8557200
2000-01-18,LRCX,41.68,42.99,40.87,42.32,5704800
2000-01-19,LRCX,42.52,45.27,40.91,44.5,5329800
2000-01-20,LRCX,45.13,47.19,43.68,46.68,6240900
2000-01-21,LRCX,48.78,48.8,44.03,45.34,7509000
2000-01-24,LRCX,47.27,47.35,43.64,43.89,4511700
2000-01-25,LRCX,44.34,45.68,42.58,44.99,3595200
2000-01-26,LRCX,44.46,45.52,42.01,42.09,5359800
2000-01-27,LRCX,42.9,44.6,42.09,42.26,3150000
2000-01-28,LRCX,42.24,42.75,39.16,40.42,3143700
2000-01-31,LRCX,39.95,40.95,38.16,40.75,4373700
2000-02-01,LRCX,40.77,43.01,39.97,42.87,3675000
2000-02-02,LRCX,42.89,45.07,42.24,44.78,3025200
2000-02-03,LRCX,44.93,46.05,43.62,45.74,3256200
2000-02-04,LRCX,45.93,46.84,43.68,44.72,3343200
2000-02-07,LRCX,45.11,46.29,44.34,45.36,2998800
2000-02-08,LRCX,45.85,46.15,44.38,45.32,2817300
2000-02-09,LRCX,44.62,46.7,43.83,44.64,2868300
2000-02-10,LRCX,44.6,47.23,43.58,46.97,2640300
2000-02-11,LRCX,46.46,47.07,44.83,45.74,2209500
2000-02-14,LRCX,46.05,47.31,45.74,47.11,2211300
2000-02-15,LRCX,47.11,47.13,45.01,46.66,2331300
2000-02-16,LRCX,46.8,48.95,46.09,46.38,4583100
