date,ticker,open,high,low,close,volume
2000-01-03,MCHP,13.41,13.57,12.69,13.29,2923600
2000-01-04,MCHP,13.54,13.57,12.33,12.34,3087400
2000-01-05,MCHP,12.47,12.64,11.94,12.44,2150500
2000-01-06,MCHP,12.24,12.45,11.81,12.11,2461900
2000-01-07,MCHP,12.19,12.19,11.5,11.79,3445300
2000-01-10,MCHP,12.11,12.82,12.03,12.64,4130500
2000-01-11,MCHP,12.55,12.85,12.05,12.19,2642800
2000-01-12,MCHP,12.35,13.4,12.23,13.17,4586100
2000-01-13,MCHP,13.57,13.99,13.16,13.94,3752200
2000-01-14,MCHP,14.14,14.23,13.01,13.05,9643600
2000-01-18,MCHP,13.21,13.37,12.82,12.9,3206800
2000-01-19,MCHP,13.08,13.5,12.91,13.19,1948600
2000-01-20,MCHP,13.45,13.75,13.3,13.73,2058300
2000-01-21,MCHP,13.76,13.76,12.89,12.96,3086700
2000-01-24,MCHP,12.95,13.65,12.52,12.67,1301400
2000-01-25,MCHP,12.73,13.21,12.39,13.21,1641100
2000-01-26,MCHP,13.22,13.43,12.42,12.6,1444500
2000-01-27,MCHP,12.68,13.24,11.96,12.16,2739100
2000-01-28,MCHP,12.13,12.16,11.05,11.38,2898400
2000-01-31,MCHP,11.37,12.3,11.01,12.3,2992200
2000-02-01,MCHP,12.17,12.57,11.74,12.31,1821100
2000-02-02,MCHP,12.38,12.82,12.05,12.57,1233400
2000-02-03,MCHP,12.77,13.7,12.77,13.6,2885500
2000-02-04,MCHP,13.4,13.72,13.11,13.27,3479500
2000-02-07,MCHP,13.16,13.72,13.1,13.6,1066000
2000-02-08,MCHP,13.79,14.66,13.68,13.89,2747800
2000-02-09,MCHP,14.09,14.34,13.46,13.96,1632100
2000-02-10,MCHP,14.07,14.67,13.96,14.6,1861600
2000-02-11,MCHP,14.64,14.78,13.83,14.01,1783800
2000-02-14,MCHP,13.98,14.91,13.94,14.45,1259500
2000-02-15,MCHP,14.34,14.53,13.79,14.07,2114700
2000-02-16,MCHP,14.38,14.67,14.09,14.12,1863000
2000-02-17,MCHP,14.6,14.67,13.94,14.6,1273900
2000-02-18,MCHP,14.56,14.58,13.79,13.98,1410900
2000-02-22,MCHP,13.98,14.23,13.32,13.83,1429300
2000-02-23,MCHP,13.76,14.89,13.76,14.51,1662700
2000-02-24,MCHP,14.52,15.89,14.51,15.79,2621700
2000-02-25,MCHP,16.0,16.23,14.99,14.99,1960600
2000-02-28,MCHP,15.02,15.85,14.49,15.65,2289600
2000-02-29,MCHP,16.22,18.65,16.22,18.32,5396800
2000-03-01,MCHP,18.29,18.56,17.57,18.17,4497900
2000-03-02,MCHP,18.3,19.22,17.35,18.14,3032500
2000-03-03,MCHP,18.49,19.81,18.45,19.76,2674900
2000-03-06,MCHP,19.88,22.01,19.81,20.58,2920500
2000-03-07,MCHP,21.24,22.71,19.66,21.2,3088800
2000-03-08,MCHP,22.01,22.6,19.96,20.4,3161400
