date,date,ticker,open,high,low,close,volume,fiscal_year,fiscal_quarter,beat
2000-01-03,2000-01-03,MSFT,40.94,41.38,39.07,40.66,53228400,2000,4,0
2000-01-04,2000-01-04,MSFT,39.61,40.86,39.15,39.29,54119000,2000,4,0
2000-01-05,2000-01-05,MSFT,38.76,40.59,38.15,39.7,64059600,2000,4,0
2000-01-06,2000-01-06,MSFT,39.13,39.72,37.8,38.37,54976600,2000,4,0
2000-01-07,2000-01-07,MSFT,37.89,39.15,37.43,38.87,62013600,2000,4,0
2000-01-10,2000-01-10,MSFT,39.57,39.66,38.85,39.15,44963600,2000,4,0
2000-01-11,2000-01-11,MSFT,38.89,39.85,37.91,38.15,46743600,2000,4,0
2000-01-12,2000-01-12,MSFT,37.85,37.98,36.43,36.91,66532400,2000,4,0
2000-01-13,2000-01-13,MSFT,36.41,37.89,35.4,37.61,83144000,2000,4,0
2000-01-14,2000-01-14,MSFT,37.39,39.74,36.89,39.15,73416400,2000,4,0
2000-01-18,2000-01-18,MSFT,39.0,40.64,38.98,40.22,81483600,2000,4,0
2000-01-19,2000-01-19,MSFT,38.54,38.89,36.97,37.32,97568200,2000,4,0
2000-01-20,2000-01-20,MSFT,37.35,38.26,36.93,36.97,56349800,2000,4,0
2000-01-21,2000-01-21,MSFT,37.32,37.41,36.02,36.19,68416200,2000,4,0
2000-01-24,2000-01-24,MSFT,36.21,36.87,35.17,35.32,63597600,2000,4,0
2000-01-25,2000-01-25,MSFT,35.23,36.23,34.73,35.86,59823200,2000,4,0
2000-01-26,2000-01-26,MSFT,35.73,36.1,34.58,34.66,49365000,2000,4,0
2000-01-27,2000-01-27,MSFT,34.84,35.3,33.92,34.45,63654800,2000,4,0
2000-01-28,2000-01-28,MSFT,34.23,34.97,33.92,34.27,58225400,2000,4,0
2000-01-31,2000-01-31,MSFT,34.05,34.25,33.09,34.14,73194200,2000,4,0
2000-02-01,2000-02-01,MSFT,34.36,36.02,34.08,35.91,70196600,2000,4,0
2000-02-02,2000-02-02,MSFT,35.73,36.26,35.06,35.17,49915600,2000,4,0
2000-02-03,2000-02-03,MSFT,35.6,36.34,34.93,36.15,49186000,2000,4,0
2000-02-04,2000-02-04,MSFT,36.41,37.67,36.33,37.17,55365400,2000,4,0
2000-02-07,2000-02-07,MSFT,37.26,37.28,36.36,37.19,40005800,2000,4,0
2000-02-08,2000-02-08,MSFT,37.13,38.37,37.13,38.35,56229000,2000,4,0
2000-02-09,2000-02-09,MSFT,38.17,38.17,36.23,36.28,55090000,2000,4,0
2000-02-10,2000-02-10,MSFT,36.24,37.17,35.75,36.97,54527800,2000,4,0
2000-02-11,2000-02-11,MSFT,36.58,36.58,34.58,34.86,115559000,2000,4,0
