date,ticker,open,high,low,close,volume
2000-01-03,MU,38.69,39.06,36.25,37.97,6564600
2000-01-04,MU,37.38,37.91,36.44,36.5,7220800
2000-01-05,MU,36.06,37.38,35.03,36.38,6763800
2000-01-06,MU,36.38,37.66,35.88,37.0,6338400
2000-01-07,MU,36.88,36.88,34.0,35.25,9467200
2000-01-10,MU,36.12,37.75,35.53,37.19,6577200
2000-01-11,MU,37.12,38.38,35.88,36.19,5623000
2000-01-12,MU,36.62,38.16,35.56,37.0,9311400
2000-01-13,MU,37.44,38.94,36.88,38.94,8237000
2000-01-14,MU,38.56,39.19,36.25,36.62,12218800
2000-01-18,MU,36.72,37.25,36.03,36.78,9293000
2000-01-19,MU,36.75,37.19,35.75,36.06,10653200
2000-01-20,MU,36.19,36.44,34.75,34.88,12001800
2000-01-21,MU,35.75,35.75,32.56,33.56,15470200
2000-01-24,MU,33.66,35.5,33.66,34.75,11949000
2000-01-25,MU,34.47,34.88,32.25,32.94,17025400
2000-01-26,MU,32.97,33.88,31.5,31.78,13137200
2000-01-27,MU,31.91,32.88,31.78,32.38,7790800
2000-01-28,MU,31.94,33.0,29.53,29.75,13778600
2000-01-31,MU,30.38,31.25,29.12,31.09,11168800
2000-02-01,MU,31.06,32.0,30.25,31.75,8346800
2000-02-02,MU,32.47,33.41,31.75,32.94,12191000
2000-02-03,MU,33.0,34.5,32.44,34.0,9175400
2000-02-04,MU,34.09,34.09,32.75,33.69,8193000
2000-02-07,MU,33.75,37.09,33.75,37.0,14433200
2000-02-08,MU,37.03,38.19,36.44,38.03,13221200
2000-02-09,MU,38.03,38.81,36.62,36.62,12856600
2000-02-10,MU,37.12,37.16,34.94,36.19,11891800
2000-02-11,MU,35.75,36.88,34.62,35.56,9808800
2000-02-14,MU,34.25,35.12,33.5,33.88,7839600
2000-02-15,MU,34.97,35.5,32.75,34.5,12767600
2000-02-16,MU,35.38,35.38,32.75,33.09,10502400
2000-02-17,MU,33.19,34.22,32.47,32.62,13026200
2000-02-18,MU,32.88,32.91,31.09,31.56,10657200
2000-02-22,MU,32.25,32.81,31.56,32.25,8937200
2000-02-23,MU,32.5,33.59,32.0,33.5,8480800
2000-02-24,MU,33.88,36.31,33.0,35.06,13187600
2000-02-25,MU,35.75,37.34,35.28,36.81,10543400
2000-02-28,MU,37.12,39.75,35.81,39.03,14204800
2000-02-29,MU,39.5,49.97,39.5,48.0,45132000
2000-03-01,MU,51.0,55.84,50.56,50.88,31296800
