date,date,ticker,open,high,low,close,volume,fiscal_year,fiscal_quarter,beat
2000-01-03,2000-01-03,NTAP,42.99,43.11,38.26,40.66,5426000,2000,2,0
2000-01-04,2000-01-04,NTAP,39.4,40.6,35.39,35.51,4511400,2000,2,0
2000-01-05,2000-01-05,NTAP,38.62,40.42,33.48,37.49,6633800,2000,2,0
2000-01-06,2000-01-06,NTAP,36.83,37.22,33.48,33.51,5589600,2000,2,0
2000-01-07,2000-01-07,NTAP,33.0,40.66,32.41,40.66,8510400,2000,2,0
2000-01-10,2000-01-10,NTAP,42.36,43.91,41.37,42.39,6348600,2000,2,0
2000-01-11,2000-01-11,NTAP,43.53,44.78,39.1,39.46,4730800,2000,2,0
2000-01-12,2000-01-12,NTAP,39.22,42.45,37.61,41.67,4356800,2000,2,0
2000-01-13,2000-01-13,NTAP,42.09,43.05,39.82,41.0,5144000,2000,2,0
2000-01-14,2000-01-14,NTAP,42.09,45.56,41.61,44.81,6007600,2000,2,0
2000-01-18,2000-01-18,NTAP,46.81,57.4,46.4,56.5,7576600,2000,2,0
2000-01-19,2000-01-19,NTAP,54.35,55.96,50.7,51.9,5907600,2000,2,0
2000-01-20,2000-01-20,NTAP,54.83,55.13,53.21,55.01,4236600,2000,2,0
2000-01-21,2000-01-21,NTAP,55.36,58.11,52.61,56.02,4913400,2000,2,0
2000-01-24,2000-01-24,NTAP,57.34,57.37,48.13,48.79,6404800,2000,2,0
2000-01-25,2000-01-25,NTAP,49.62,53.09,47.35,51.27,5941600,2000,2,0
2000-01-26,2000-01-26,NTAP,51.78,55.07,51.0,51.84,5902600,2000,2,0
2000-01-27,2000-01-27,NTAP,52.91,53.33,47.41,49.21,6209400,2000,2,0
2000-01-28,2000-01-28,NTAP,48.46,51.18,46.87,47.44,3665000,2000,2,0
2000-01-31,2000-01-31,NTAP,48.25,50.22,43.35,48.01,5795600,2000,2,0
2000-02-01,2000-02-01,NTAP,49.8,51.96,47.98,51.57,3727000,2000,2,0
2000-02-02,2000-02-02,NTAP,52.2,55.13,50.7,54.11,4979600,2000,3,1
2000-02-03,2000-02-03,NTAP,55.01,55.01,50.7,54.83,4748000,2000,3,1
2000-02-04,2000-02-04,NTAP,55.54,64.03,55.24,61.19,7945400,2000,3,1
2000-02-07,2000-02-07,NTAP,62.84,63.05,57.88,59.97,5134800,2000,3,1
2000-02-08,2000-02-08,NTAP,61.25,63.38,58.89,63.14,5969400,2000,3,1
2000-02-09,2000-02-09,NTAP,63.91,64.21,60.27,61.55,3716200,2000,3,1
2000-02-10,2000-02-10,NTAP,62.21,66.9,60.21,66.6,3887400,2000,3,1
2000-02-11,2000-02-11,NTAP,69.38,76.11,68.16,74.11,5743800,2000,3,1
2000-02-14,2000-02-14,NTAP,76.47,76.65,68.46,70.94,7121800,2000,3,1
2000-02-15,2000-02-15,NTAP,71.63,73.18,67.68,72.49,4891200,2000,3,1
2000-02-16,2000-02-16,NTAP,77.25,84.33,75.12,83.91,10379800,2000,3,1
2000-02-17,2000-02-17,NTAP,85.38,86.07,79.43,83.41,7400400,2000,3,1
2000-02-18,2000-02-18,NTAP,82.27,83.35,79.88,80.0,3796000,2000,3,1
2000-02-22,2000-02-22,NTAP,81.28,81.99,78.02,80.65,3910000,2000,3,1
2000-02-23,2000-02-23,NTAP,79.58,89.83,78.83,85.53,5906200,2000,3,1
2000-02-24,2000-02-24,NTAP,86.87,96.56,84.3,95.66,5962600,2000,3,1
2000-02-25,2000-02-25,NTAP,96.86,99.46,91.12,92.28,4330600,2000,3,1
2000-02-28,2000-02-28,NTAP,92.31,93.9,86.81,88.01,5980800,2000,3,1
2000-02-29,2000-02-29,NTAP,88.43,91.9,86.96,90.28,4518400,2000,3,1
2000-03-01,2000-03-01,NTAP,90.52,94.49,89.32,90.91,4177400,2000,3,1
2000-03-02,2000-03-02,NTAP,92.07,94.14,89.92,90.52,3044600,2000,3,1
2000-03-03,2000-03-03,NTAP,92.91,97.58,89.44,95.63,4160000,2000,3,1
2000-03-06,2000-03-06,NTAP,98.29,106.18,96.62,101.43,4818000,2000,3,1
2000-03-07,2000-03-07,NTAP,106.57,110.01,101.4,101.7,5798400,2000,3,1
2000-03-08,2000-03-08,NTAP,105.2,106.66,101.34,104.42,4147000,2000,3,1
2000-03-09,2000-03-09,NTAP,105.23,115.27,104.33,114.97,5275400,2000,3,1
2000-03-10,2000-03-10,NTAP,118.14,118.62,109.47,113.3,4549400,2000,3,1
2000-03-13,2000-03-13,NTAP,108.04,112.76,105.65,109.11,3536000,2000,3,1
2000-03-14,2000-03-14,NTAP,110.97,110.97,92.31,94.26,8537000,2000,3,1
2000-03-15,2000-03-15,NTAP,93.75,97.22,78.2,82.78,16457000,2000,3,1
2000-03-16,2000-03-16,NTAP,86.69,93.03,77.49,87.32,12812200,2000,3,1
2000-03-17,2000-03-17,NTAP,89.06,96.62,89.03,96.02,8471800,2000,3,1
2000-03-20,2000-03-20,NTAP,99.25,99.49,84.0,87.56,8276800,2000,3,1
2000-03-21,2000-03-21,NTAP,87.56,91.84,78.92,88.43,7693200,2000,3,1
2000-03-22,2000-03-22,NTAP,91.42,98.77,88.25,98.59,6244600,2000,3,1
2000-03-23,2000-03-23,NTAP,98.41,103.55,92.19,100.8,4752500,2000,3,1
2000-03-24,2000-03-24,NTAP,104.27,105.47,90.88,95.66,5609900,2000,3,1
2000-03-27,2000-03-27,NTAP,99.43,99.91,92.07,93.03,4162600,2000,3,1
2000-03-28,2000-03-28,NTAP,92.73,96.62,90.4,91.42,2830200,2000,3,1
2000-03-29,2000-03-29,NTAP,90.88,93.51,83.82,87.83,5372800,2000,3,1
2000-03-30,2000-03-30,NTAP,80.42,88.01,67.56,75.69,9562300,2000,3,1
2000-03-31,2000-03-31,NTAP,80.43,82.27,63.14,79.16,10610900,2000,3,1
2000-04-03,2000-04-03,NTAP,74.74,79.4,63.73,64.93,6697300,2000,3,1
2000-04-04,2000-04-04,NTAP,67.14,70.79,43.17,64.09,13378500,2000,3,1
2000-04-05,2000-04-05,NTAP,57.88,72.7,57.4,66.54,7914100,2000,3,1
2000-04-06,2000-04-06,NTAP,71.27,74.14,67.98,69.83,5876000,2000,3,1
2000-04-07,2000-04-07,NTAP,73.78,76.77,71.75,76.47,4390800,2000,3,1
2000-04-10,2000-04-10,NTAP,77.49,78.38,62.18,64.69,7576600,2000,3,1
2000-04-11,2000-04-11,NTAP,60.63,65.29,57.64,60.86,7673800,2000,3,1
2000-04-12,2000-04-12,NTAP,58.95,62.66,54.05,54.23,6222500,2000,3,1
2000-04-13,2000-04-13,NTAP,56.68,61.22,51.54,54.47,7676200,2000,3,1
2000-04-14,2000-04-14,NTAP,49.39,56.08,44.12,48.19,8492900,2000,3,1
2000-04-17,2000-04-17,NTAP,39.46,51.66,39.34,49.68,10422600,2000,3,1
