date,ticker,open,high,low,close,volume
2000-01-03,NVDA,3.7,3.73,3.46,3.67,7522800
2000-01-04,NVDA,3.6,3.61,3.39,3.57,7512000
2000-01-05,NVDA,3.47,3.52,3.4,3.45,4708800
2000-01-06,NVDA,3.45,3.45,3.09,3.23,3012000
2000-01-07,NVDA,3.21,3.31,3.16,3.28,1779600
2000-01-10,NVDA,3.29,3.52,3.23,3.39,5996400
2000-01-11,NVDA,3.37,3.41,3.25,3.25,3703200
2000-01-12,NVDA,3.25,3.25,3.12,3.17,3088800
2000-01-13,NVDA,3.16,3.33,3.12,3.3,3304800
2000-01-14,NVDA,3.35,3.58,3.34,3.44,15114000
2000-01-18,NVDA,3.48,3.6,3.33,3.59,6541200
2000-01-19,NVDA,3.6,3.6,3.52,3.55,4117200
2000-01-20,NVDA,3.58,3.78,3.51,3.54,4489200
2000-01-21,NVDA,3.53,3.55,3.42,3.5,13606800
2000-01-24,NVDA,3.62,3.62,3.33,3.35,6423600
2000-01-25,NVDA,3.36,3.4,3.21,3.32,5928000
2000-01-26,NVDA,3.32,3.41,3.12,3.18,5811600
2000-01-27,NVDA,3.21,3.21,2.9,3.01,11455200
2000-01-28,NVDA,2.98,3.0,2.81,2.93,4861200
2000-01-31,NVDA,2.94,3.0,2.74,2.9,4560000
2000-02-01,NVDA,2.91,3.0,2.8,2.97,2324400
2000-02-02,NVDA,2.99,3.11,2.97,3.05,3726000
2000-02-03,NVDA,3.15,3.22,3.08,3.1,2706000
2000-02-04,NVDA,3.2,3.2,3.11,3.18,3092400
2000-02-07,NVDA,3.19,3.19,2.98,2.98,5437200
2000-02-08,NVDA,3.05,3.23,2.98,3.12,11720400
2000-02-09,NVDA,3.24,3.29,3.2,3.2,14726400
2000-02-10,NVDA,3.4,3.92,3.4,3.86,24252000
2000-02-11,NVDA,4.05,4.05,3.63,3.92,10594800
2000-02-14,NVDA,3.93,4.54,3.89,4.54,16252800
2000-02-15,NVDA,4.55,4.56,4.18,4.37,11262000
2000-02-16,NVDA,4.41,4.72,4.37,4.57,25489200
2000-02-17,NVDA,4.56,4.76,4.49,4.73,13394400
2000-02-18,NVDA,4.66,5.34,4.62,5.28,24021600
2000-02-22,NVDA,5.11,5.18,4.93,5.13,13562400
2000-02-23,NVDA,5.07,5.21,5.01,5.16,12784800
2000-02-24,NVDA,5.19,5.22,4.89,5.11,6108000
2000-02-25,NVDA,5.11,5.11,4.58,4.79,6968400
2000-02-28,NVDA,4.77,4.82,4.68,4.76,12946800
2000-02-29,NVDA,4.73,5.07,4.73,5.01,7651200
2000-03-01,NVDA,5.01,5.01,4.79,4.86,9589200
2000-03-02,NVDA,4.9,4.9,4.52,4.54,4776000
2000-03-03,NVDA,4.54,4.66,4.5,4.61,6842400
2000-03-06,NVDA,4.64,4.99,4.54,4.58,10802400
2000-03-07,NVDA,5.87,6.83,5.62,6.52,48805200
2000-03-08,NVDA,6.52,6.64,6.05,6.58,16718400
2000-03-09,NVDA,6.66,8.46,6.64,7.85,23823600
2000-03-10,NVDA,8.26,11.35,8.2,9.24,54030000
2000-03-13,NVDA,8.38,11.75,8.3,11.69,60379200
2000-03-14,NVDA,11.62,11.62,8.46,8.62,39194400
2000-03-15,NVDA,9.24,9.48,7.99,8.27,24890400
2000-03-16,NVDA,8.54,8.83,7.25,7.37,18759600
2000-03-17,NVDA,7.2,8.38,7.2,7.82,13940400
2000-03-20,NVDA,8.13,8.39,7.57,7.82,9132000
2000-03-21,NVDA,7.83,7.9,6.81,7.43,13416000
2000-03-22,NVDA,7.49,7.71,7.36,7.48,5764800
2000-03-23,NVDA,7.41,8.03,7.4,7.62,7735200
2000-03-24,NVDA,7.57,7.91,7.05,7.3,5790000
2000-03-27,NVDA,7.28,7.52,6.75,6.82,9723600
2000-03-28,NVDA,6.58,6.66,6.19,6.31,9832800
2000-03-29,NVDA,6.33,6.48,5.64,5.89,11736000
2000-03-30,NVDA,5.72,6.4,5.52,5.86,9048000
2000-03-31,NVDA,6.26,6.88,6.15,6.62,24074400
2000-04-03,NVDA,6.56,6.58,5.93,6.1,8248800
2000-04-04,NVDA,6.42,6.53,4.46,5.87,12844800
2000-04-05,NVDA,5.93,7.63,5.63,7.18,15990000
2000-04-06,NVDA,7.51,7.89,7.16,7.51,10114800
2000-04-07,NVDA,7.89,8.22,7.56,8.03,7964400
2000-04-10,NVDA,8.17,8.64,7.17,7.32,9882000
2000-04-11,NVDA,6.81,7.44,6.26,6.89,11439600
2000-04-12,NVDA,6.9,7.05,6.15,6.17,7836000
2000-04-13,NVDA,6.22,6.44,5.8,5.91,7832400
2000-04-14,NVDA,5.53,5.96,5.13,5.39,10548000
2000-04-17,NVDA,4.93,5.87,4.93,5.66,7352400
2000-04-18,NVDA,6.23,7.03,6.05,6.67,11937600
2000-04-19,NVDA,6.88,6.97,6.26,6.35,6958800
2000-04-20,NVDA,6.52,6.64,6.23,6.31,3848400
2000-04-24,NVDA,5.95,6.22,5.69,6.0,5149200
2000-04-25,NVDA,6.27,6.85,6.25,6.66,6242400
2000-04-26,NVDA,7.12,7.28,6.58,6.59,6352800
2000-04-27,NVDA,6.15,7.19,6.11,7.13,7024800
2000-04-28,NVDA,7.24,7.52,6.98,6.98,4476000
