date,ticker,open,high,low,close,volume
2000-01-03,QCOM,81.8,82.1,71.43,73.61,91334000
2000-01-04,QCOM,70.84,71.97,65.68,66.53,63567400
2000-01-05,QCOM,65.63,67.02,57.06,64.22,93778400
2000-01-06,QCOM,60.96,64.04,57.37,57.5,58782600
2000-01-07,QCOM,55.01,61.78,54.57,61.58,68198600
2000-01-10,QCOM,66.5,66.91,62.6,65.43,35360800
2000-01-11,QCOM,64.04,64.81,58.09,59.29,30575800
2000-01-12,QCOM,59.53,60.55,55.86,56.75,34455600
2000-01-13,QCOM,59.27,59.78,56.5,58.76,25146800
2000-01-14,QCOM,60.6,61.14,57.27,57.65,26209200
2000-01-18,QCOM,56.42,57.99,55.42,57.09,28503000
2000-01-19,QCOM,56.29,60.35,56.24,60.19,30728400
2000-01-20,QCOM,61.27,64.04,60.4,63.89,39224000
2000-01-21,QCOM,64.97,65.86,61.99,63.61,34955000
2000-01-24,QCOM,63.94,64.45,57.32,57.5,32170600
2000-01-25,QCOM,58.96,61.55,57.47,61.17,39671400
2000-01-26,QCOM,52.96,53.73,49.26,51.16,136953200
2000-01-27,QCOM,52.01,52.55,48.18,49.26,62571000
2000-01-28,QCOM,49.7,49.83,43.36,45.39,85675000
2000-01-31,QCOM,46.23,52.34,46.06,52.14,80518000
2000-02-01,QCOM,53.98,57.47,53.75,55.86,69648400
2000-02-02,QCOM,56.19,59.73,55.83,58.32,57368200
2000-02-03,QCOM,59.58,60.76,54.19,57.14,52571000
2000-02-04,QCOM,58.24,58.24,55.42,56.42,30028800
2000-02-07,QCOM,55.19,55.52,53.47,54.78,20868400
2000-02-08,QCOM,54.8,57.32,54.78,57.09,21450800
2000-02-09,QCOM,57.27,57.47,54.6,54.73,20141200
2000-02-10,QCOM,55.24,56.29,54.6,56.22,15072200
2000-02-11,QCOM,55.45,56.04,53.98,54.19,12419400
2000-02-14,QCOM,53.11,53.37,51.32,52.19,23353600
2000-02-15,QCOM,51.05,52.42,49.29,51.98,30036000
2000-02-16,QCOM,51.47,53.98,49.67,50.03,30052000
2000-02-17,QCOM,51.37,53.78,50.08,53.37,34971600
