date,date,ticker,open,high,low,close,volume,fiscal_year,fiscal_quarter,beat
2000-01-03,2000-01-03,SNDK,23.71,24.19,21.35,23.07,2630400,2000,2,1
2000-01-04,2000-01-04,SNDK,22.38,22.82,21.62,21.68,2650000,2000,2,1
2000-01-05,2000-01-05,SNDK,21.29,21.49,18.13,20.7,7574800,2000,2,1
2000-01-06,2000-01-06,SNDK,20.32,20.78,18.99,19.02,2318400,2000,2,1
2000-01-07,2000-01-07,SNDK,19.6,20.32,19.11,19.85,4404000,2000,2,1
2000-01-10,2000-01-10,SNDK,20.32,21.71,20.02,20.87,2880400,2000,2,1
2000-01-11,2000-01-11,SNDK,21.05,21.26,19.91,20.53,2114000,2000,2,1
2000-01-12,2000-01-12,SNDK,20.68,21.05,19.54,19.87,1445600,2000,2,1
2000-01-13,2000-01-13,SNDK,20.68,21.11,20.32,20.71,1128000,2000,2,1
2000-01-14,2000-01-14,SNDK,21.29,21.53,20.99,21.38,1244800,2000,2,1
2000-01-18,2000-01-18,SNDK,21.56,23.72,21.5,23.1,2830800,2000,2,1
2000-01-19,2000-01-19,SNDK,23.77,23.92,22.54,23.59,2540400,2000,2,1
2000-01-20,2000-01-20,SNDK,24.13,25.89,23.09,25.64,3019600,2000,2,1
2000-01-21,2000-01-21,SNDK,26.61,26.79,24.8,25.52,2202000,2000,2,1
2000-01-24,2000-01-24,SNDK,25.85,26.25,24.19,24.42,2772400,2000,2,1
2000-01-25,2000-01-25,SNDK,24.4,24.88,22.71,24.81,2136400,2000,2,1
2000-01-26,2000-01-26,SNDK,24.68,25.16,23.32,23.41,1840800,2000,2,1
2000-01-27,2000-01-27,SNDK,27.16,35.02,26.61,33.96,16527600,2000,2,1
2000-01-28,2000-01-28,SNDK,32.06,33.57,27.82,28.53,5630800,2000,2,1
2000-01-31,2000-01-31,SNDK,29.45,33.02,27.4,32.39,6542000,2000,2,1
2000-02-01,2000-02-01,SNDK,32.37,33.33,29.76,32.68,4101200,2000,2,1
2000-02-02,2000-02-02,SNDK,32.58,33.11,30.91,32.64,2342000,2000,2,1
2000-02-03,2000-02-03,SNDK,33.17,33.4,30.72,32.68,6068000,2000,2,1
2000-02-04,2000-02-04,SNDK,33.08,36.17,33.05,34.35,6729600,2000,2,1
2000-02-07,2000-02-07,SNDK,35.14,36.05,34.66,35.11,2737600,2000,2,1
2000-02-08,2000-02-08,SNDK,35.9,37.74,33.87,34.61,3597600,2000,2,1
2000-02-09,2000-02-09,SNDK,35.56,36.53,34.35,34.39,5714800,2000,2,1
2000-02-10,2000-02-10,SNDK,35.32,36.14,35.14,35.84,2882400,2000,2,1
2000-02-11,2000-02-11,SNDK,36.17,37.05,35.23,36.06,2249600,2000,2,1
2000-02-14,2000-02-14,SNDK,36.77,37.56,36.05,36.88,3638400,2000,2,1
2000-02-15,2000-02-15,SNDK,36.98,37.33,34.75,36.53,1468400,2000,2,1
2000-02-16,2000-02-16,SNDK,36.77,37.5,35.14,36.17,1945600,2000,2,1
2000-02-17,2000-02-17,SNDK,36.41,38.59,36.41,37.32,4404800,2000,2,1
2000-02-18,2000-02-18,SNDK,37.5,37.62,34.35,35.23,2608000,2000,2,1
2000-02-22,2000-02-22,SNDK,36.05,36.17,34.32,35.26,3656800,2000,2,1
2000-02-23,2000-02-23,SNDK,35.5,37.26,35.32,35.56,3617400,2000,2,1
2000-02-24,2000-02-24,SNDK,37.2,39.68,37.01,38.53,4056600,2000,2,1
2000-02-25,2000-02-25,SNDK,39.92,43.43,39.43,43.18,4630800,2000,2,1
2000-02-28,2000-02-28,SNDK,44.39,44.76,40.95,41.46,2949200,2000,2,1
2000-02-29,2000-02-29,SNDK,41.79,43.91,41.58,43.06,3452200,2000,2,1
2000-03-01,2000-03-01,SNDK,43.37,48.99,43.37,47.6,3821400,2000,2,1
2000-03-02,2000-03-02,SNDK,48.93,54.01,48.75,50.74,2831400,2000,3,0
2000-03-03,2000-03-03,SNDK,54.19,54.49,48.51,52.1,2767200,2000,3,0
2000-03-06,2000-03-06,SNDK,53.22,62.52,52.62,60.6,2536800,2000,3,0
2000-03-07,2000-03-07,SNDK,61.9,71.61,61.87,66.08,3903200,2000,3,0
2000-03-08,2000-03-08,SNDK,69.07,78.69,66.41,78.38,3513600,2000,3,0
2000-03-09,2000-03-09,SNDK,81.29,82.07,70.64,73.49,5389800,2000,3,0
2000-03-10,2000-03-10,SNDK,70.64,71.01,58.7,60.87,5566200,2000,3,0
2000-03-13,2000-03-13,SNDK,57.64,66.05,52.04,60.48,5306200,2000,3,0
2000-03-14,2000-03-14,SNDK,69.61,71.13,64.35,67.5,6505200,2000,3,0
2000-03-15,2000-03-15,SNDK,68.58,68.71,56.13,56.16,4734600,2000,3,0
2000-03-16,2000-03-16,SNDK,59.09,67.77,54.43,55.49,7177600,2000,3,0
2000-03-17,2000-03-17,SNDK,56.13,59.6,54.43,56.61,4094800,2000,3,0
2000-03-20,2000-03-20,SNDK,58.92,61.93,55.22,56.61,3643400,2000,3,0
2000-03-21,2000-03-21,SNDK,56.55,62.96,50.99,62.9,6140800,2000,3,0
2000-03-22,2000-03-22,SNDK,64.72,65.56,61.03,62.57,2598600,2000,3,0
2000-03-23,2000-03-23,SNDK,62.39,64.65,60.51,61.87,1943800,2000,3,0
2000-03-24,2000-03-24,SNDK,61.87,66.71,61.87,64.14,2418800,2000,3,0
2000-03-27,2000-03-27,SNDK,65.32,70.64,64.53,70.19,2737800,2000,3,0
2000-03-28,2000-03-28,SNDK,69.61,69.67,63.38,63.69,3042000,2000,3,0
