date,date,ticker,open,high,low,close,volume,fiscal_year,fiscal_quarter,beat
2000-01-03,2000-01-03,SYMC,6.95,6.95,6.47,6.61,11653600,2002,2,0
2000-01-04,2000-01-04,SYMC,6.59,6.83,6.29,6.31,8544000,2002,2,0
2000-01-05,2000-01-05,SYMC,6.22,6.31,5.61,5.93,12973600,2002,2,0
2000-01-06,2000-01-06,SYMC,5.84,5.93,5.48,5.59,11642400,2002,2,0
2000-01-07,2000-01-07,SYMC,5.58,6.15,5.57,6.03,16177600,2002,2,0
2000-01-10,2000-01-10,SYMC,6.22,6.63,6.16,6.6,7756800,2002,2,0
2000-01-11,2000-01-11,SYMC,6.6,6.6,5.94,6.06,6324800,2002,2,0
2000-01-12,2000-01-12,SYMC,6.13,6.21,5.94,6.21,6470400,2002,2,0
2000-01-13,2000-01-13,SYMC,6.25,6.5,6.16,6.36,4000800,2002,2,0
2000-01-14,2000-01-14,SYMC,6.41,6.6,6.15,6.15,4434400,2002,2,0
2000-01-18,2000-01-18,SYMC,6.28,6.6,6.24,6.37,5034400,2002,2,0
2000-01-19,2000-01-19,SYMC,6.45,6.7,6.4,6.57,6753600,2002,2,0
2000-01-20,2000-01-20,SYMC,6.87,7.12,6.74,7.03,19503200,2002,2,0
2000-01-21,2000-01-21,SYMC,7.03,7.08,6.67,6.78,8452800,2002,2,0
2000-01-24,2000-01-24,SYMC,6.74,7.17,6.74,6.79,10001600,2002,2,0
2000-01-25,2000-01-25,SYMC,6.86,6.87,6.51,6.74,5762400,2002,2,0
2000-01-26,2000-01-26,SYMC,6.74,7.06,6.67,6.72,7943200,2002,2,0
2000-01-27,2000-01-27,SYMC,6.86,6.86,5.93,6.18,8400800,2002,2,0
2000-01-28,2000-01-28,SYMC,6.12,6.27,5.77,5.82,10860000,2002,2,0
2000-01-31,2000-01-31,SYMC,5.84,5.96,5.41,5.82,10579200,2002,2,0
2000-02-01,2000-02-01,SYMC,5.92,5.93,5.61,5.91,5226400,2002,2,0
2000-02-02,2000-02-02,SYMC,6.05,6.4,5.93,6.24,7731200,2002,2,0
2000-02-03,2000-02-03,SYMC,6.56,6.85,6.37,6.72,8777600,2002,2,0
2000-02-04,2000-02-04,SYMC,6.73,6.86,6.63,6.82,7151200,2002,2,0
2000-02-07,2000-02-07,SYMC,6.95,7.56,6.8,7.38,20037600,2002,2,0
2000-02-08,2000-02-08,SYMC,7.5,7.59,7.06,7.1,13778400,2002,2,0
2000-02-09,2000-02-09,SYMC,7.24,7.41,7.09,7.31,5768800,2002,2,0
2000-02-10,2000-02-10,SYMC,7.31,8.07,7.31,8.04,14156800,2002,2,0
2000-02-11,2000-02-11,SYMC,8.01,8.02,7.49,7.65,10166400,2002,2,0
2000-02-14,2000-02-14,SYMC,7.73,7.78,7.35,7.44,4259200,2002,2,0
2000-02-15,2000-02-15,SYMC,7.47,7.49,7.19,7.44,3693600,2002,2,0
2000-02-16,2000-02-16,SYMC,7.43,7.86,7.43,7.73,4661600,2002,2,0
2000-02-17,2000-02-17,SYMC,7.76,7.76,7.41,7.43,6163200,2002,2,0
2000-02-18,2000-02-18,SYMC,7.5,7.63,7.31,7.44,3620000,2002,2,0
2000-02-22,2000-02-22,SYMC,7.58,7.69,7.11,7.48,6072000,2002,2,0
2000-02-23,2000-02-23,SYMC,7.47,7.97,7.38,7.85,7748800,2002,2,0
2000-02-24,2000-02-24,SYMC,7.91,8.02,7.66,7.72,7815200,2002,2,0
2000-02-25,2000-02-25,SYMC,7.86,8.37,7.81,8.34,10382400,2002,2,0
2000-02-28,2000-02-28,SYMC,8.41,8.59,7.97,8.14,8664000,2002,2,0
2000-02-29,2000-02-29,SYMC,8.31,8.66,8.11,8.31,7821600,2002,2,0
2000-03-01,2000-03-01,SYMC,8.34,8.66,8.26,8.34,9414400,2002,2,0
