date,ticker,open,high,low,close,volume
2000-01-03,TXN,40.2,41.97,38.84,41.56,10815600
2000-01-04,TXN,41.01,41.06,39.49,39.79,7952400
2000-01-05,TXN,39.79,40.1,38.63,38.84,12142400
2000-01-06,TXN,38.94,39.39,36.56,37.77,11758400
2000-01-07,TXN,37.4,38.43,36.92,37.98,12938800
2000-01-10,TXN,39.77,40.91,39.39,40.58,9371200
2000-01-11,TXN,40.6,41.56,39.82,40.2,7636400
2000-01-12,TXN,40.1,41.64,39.77,40.8,6697600
2000-01-13,TXN,41.41,41.94,39.85,41.36,6548200
2000-01-14,TXN,42.37,43.68,42.32,43.58,8829000
2000-01-18,TXN,42.42,45.0,42.42,44.59,8800800
2000-01-19,TXN,45.22,45.25,44.19,44.24,6658400
2000-01-20,TXN,45.25,46.49,44.77,45.6,9374600
2000-01-21,TXN,46.36,46.51,44.42,44.76,8594600
2000-01-24,TXN,46.26,47.47,43.63,44.79,10265000
2000-01-25,TXN,45.6,47.37,44.9,46.01,15104800
2000-01-26,TXN,45.78,45.85,44.39,45.45,8639600
2000-01-27,TXN,45.37,47.08,44.33,45.67,9990800
2000-01-28,TXN,45.29,45.77,42.41,43.3,9993400
2000-01-31,TXN,43.22,43.65,41.22,43.55,9603000
2000-02-01,TXN,43.5,45.82,42.79,45.72,7616600
2000-02-02,TXN,46.63,48.7,46.25,48.25,10920800
2000-02-03,TXN,48.9,54.36,48.73,54.16,14903400
2000-02-04,TXN,53.25,56.18,52.64,53.35,11947600
2000-02-07,TXN,53.05,54.74,53.05,54.36,7854400
2000-02-08,TXN,54.61,56.43,54.46,56.13,7639600
2000-02-09,TXN,56.23,57.85,55.82,56.94,9807600
2000-02-10,TXN,56.84,58.6,55.77,58.6,6801800
2000-02-11,TXN,57.79,57.9,54.97,55.62,8288600
2000-02-14,TXN,56.08,56.28,53.35,54.41,8250200
2000-02-15,TXN,54.41,54.89,52.64,54.54,7677600
2000-02-16,TXN,54.92,56.48,54.69,54.86,8574000
2000-02-17,TXN,54.94,58.6,54.94,57.79,8459800
2000-02-18,TXN,58.6,58.6,54.16,54.16,9154600
2000-02-22,TXN,57.39,60.62,55.57,60.22,15547200
2000-02-23,TXN,60.14,61.89,58.4,59.46,11989800
2000-02-24,TXN,60.22,64.26,60.07,63.76,13451600
2000-02-25,TXN,63.6,64.97,61.74,61.94,9430200
2000-02-28,TXN,61.94,63.66,59.01,63.0,12205400
2000-02-29,TXN,63.45,68.58,63.45,67.14,11302200
2000-03-01,TXN,67.67,68.71,63.76,66.43,10125800
2000-03-02,TXN,66.31,70.88,64.67,69.92,11208200
2000-03-03,TXN,71.94,76.03,71.94,75.83,13211200
2000-03-06,TXN,77.7,80.66,73.36,75.17,12745000
2000-03-07,TXN,75.78,75.96,70.98,72.75,10917000
2000-03-08,TXN,72.75,72.85,68.03,69.52,12086200
2000-03-09,TXN,69.52,73.13,67.75,72.75,9660000
2000-03-10,TXN,72.9,74.37,70.12,73.05,8506000
2000-03-13,TXN,70.12,72.24,69.11,69.41,8810600
2000-03-14,TXN,70.32,71.28,61.89,63.25,12852600
2000-03-15,TXN,63.66,63.66,59.01,59.41,18261000
2000-03-16,TXN,60.67,65.45,58.12,64.67,15793800
2000-03-17,TXN,64.67,69.01,63.91,68.66,12554600
2000-03-20,TXN,68.71,70.8,66.48,67.55,8981800
2000-03-21,TXN,67.49,69.72,65.42,69.21,7923400
2000-03-22,TXN,70.32,72.95,67.8,71.94,9254600
2000-03-23,TXN,71.94,73.91,69.72,70.42,8781800
2000-03-24,TXN,71.23,74.74,69.52,71.36,10100800
2000-03-27,TXN,71.13,74.14,71.13,73.13,8098200
2000-03-28,TXN,72.95,73.1,70.93,72.29,8277600
2000-03-29,TXN,71.94,72.34,68.1,69.04,10445400
2000-03-30,TXN,69.04,69.11,62.64,65.93,12646200
2000-03-31,TXN,66.69,67.49,63.45,64.67,13718400
2000-04-03,TXN,64.67,64.89,60.52,60.93,11295600
2000-04-04,TXN,61.03,61.94,51.83,58.91,24174800
2000-04-05,TXN,58.98,64.74,57.54,60.62,15996000
2000-04-06,TXN,63.05,65.47,62.34,64.67,10249800
2000-04-07,TXN,66.28,67.34,64.97,67.29,7803000
2000-04-10,TXN,67.7,68.3,62.75,63.2,7877200
2000-04-11,TXN,61.43,63.0,59.03,60.62,13802800
2000-04-12,TXN,60.83,62.14,55.98,56.78,12635400
2000-04-13,TXN,57.24,60.52,55.47,57.34,12616200
2000-04-14,TXN,56.23,57.31,52.36,56.18,15033800
2000-04-17,TXN,52.84,64.26,52.84,60.22,16798400
2000-04-18,TXN,58.86,60.62,55.37,60.62,21243200
2000-04-19,TXN,60.62,61.84,57.64,57.79,11299800
2000-04-20,TXN,58.6,60.19,58.05,58.6,8532400
2000-04-24,TXN,57.39,58.83,56.48,57.09,8591800
2000-04-25,TXN,59.56,61.43,58.86,61.43,8429400
2000-04-26,TXN,62.64,63.02,59.71,60.22,7174800
2000-04-27,TXN,59.33,65.85,59.02,64.48,9612200
2000-04-28,TXN,65.49,68.22,65.49,65.85,9997600
2000-05-01,TXN,66.2,66.88,63.52,64.68,8312600
2000-05-02,TXN,63.8,66.5,62.87,62.87,8252200
2000-05-03,TXN,62.87,63.83,58.8,61.37,8063800
2000-05-04,TXN,61.65,63.42,60.26,62.87,8952400
2000-05-05,TXN,63.67,64.86,61.8,62.18,7486400
2000-05-08,TXN,62.64,62.84,59.02,59.35,6999000
2000-05-09,TXN,59.35,60.24,56.14,57.13,11576400
2000-05-10,TXN,56.19,56.19,52.15,53.72,14795800
2000-05-11,TXN,53.26,57.05,52.96,56.6,9575200
2000-05-12,TXN,57.76,59.13,56.4,57.1,8086000
2000-05-15,TXN,56.9,58.42,54.68,57.69,7233400
2000-05-16,TXN,59.07,60.24,57.76,59.78,7119600
2000-05-17,TXN,59.68,61.05,57.84,58.57,8821200
2000-05-18,TXN,58.97,59.78,57.71,58.65,6360000
2000-05-19,TXN,57.41,57.81,54.88,56.4,9401800
2000-05-22,TXN,55.61,55.89,52.2,54.07,13305400
